identifier,name,popularity,Wikipedia
29RldAypwDjcskUIUHG4ms,Roy Harvey  &  the North Carolina Ramblers,1,Roy%20Harvey%20%20%26%20%20the%20North%20Carolina%20Ramblers
2ARAVxj5d1zc1Z0m2tvIWX,Jean Lemierre,21,Jean%20Lemierre
2BSABAnuletakNPGEuMJbY,Gonski education reforms,1,Gonski%20education%20reforms
2BfL8OmfchZdoxPsjbftIW,Alan D. Schnitzer,6,Alan%20D.%20Schnitzer
2C43ykYCZ9Hexp4XefVknz,Glazer family,1,Glazer%20family
2CCdJrnOxdtfOLIcTrxPX5,Richard Fairbank,22,Richard%20Fairbank
2CkOXW8NHAyeYp7SRbRjOc,Julian Smith,1,Julian%20Smith
2D2cj75BHfObS6Fh5OKyP8,Stephanie MaMahon-Helmsley,1,Stephanie%20MaMahon-Helmsley
2Dt3yfwPP8edN0hGxZsw5x,Francis deSouza,9,Francis%20deSouza
2EBuUkqj7G5c5Wlk1vtO5I,Jim Hagemann Snabe,5,Jim%20Hagemann%20Snabe
2EHx7mNrrKCcljIqq9vd0n,Susan Crown Kunkler,2,Susan%20Crown%20Kunkler
2EgrkE92AEYftVgIckkiCg,Jeff Bezos,584,Jeff%20Bezos
2F3nSdp5N6DfeoE6s4zl6X,Ahmed bin Saeed Al Maktoum,52,Ahmed%20bin%20Saeed%20Al%20Maktoum
2F3zoswF7cUclLIOiGKAuJ,Dave Lewis,9,Dave%20Lewis
2Fy2XVlSvNsbOT3n6pBhC7,Sir Roy Gardner,18,Sir%20Roy%20Gardner
2G21Z7u26kVd6ysVQPTs6C,Mark Benioff,1,Mark%20Benioff
2HtrxYPVClFe02lFTpoG1s,Kuroda,3,Kuroda
2Hv7dTjKIBvci7DMHl8Sw4,Michael Lynton,49,Michael%20Lynton
2ICjrHh9WUebLCGbWMyGaV,Lynn Laverty Elsenhans,1,Lynn%20Laverty%20Elsenhans
2IIlxGYIBhbb7YXecitRzn,Warren Buffet,4,Warren%20Buffet
2Ig528kUjIjbEkG9TmuyuP,Lucian Charles Grainge,2,Lucian%20Charles%20Grainge
2IzUe04ze6de2UCrcZzC8n,Gonski review,1,Gonski%20review
2J92b2PikpMcUrVVoFz8GO,Alexei Miller,1,Alexei%20Miller
2JbfoDnvjZDaceJH3fqXtP,Cees Veerman,34,Cees%20Veerman
2KMCvsKl42cdnYJaebbzqV,Leon_Levine,2,Leon_Levine
2LS7LrLrbbKbKqLMHrIT78,Michael Federmann,9,Michael%20Federmann
2LT58k9Sl5YddOL3Yiz1eU,Patrik Frisk,14,Patrik%20Frisk
2Myd05j8qpXbbeGuDLaRGY,Emma,1,Emma
2NVx5mURDUPc5Q71091eju,Carlos Brito,7,Carlos%20Brito
2NYnj252mBud24C4AbLv6o,Saudi Aramco Energy Ventures,1,Saudi%20Aramco%20Energy%20Ventures
2NjXw6fttVodmr9X31UtWd,Sunil Mittal,47,Sunil%20Mittal
2P4XMP2ueW7dq2X6oxIv1I,pianist,1,pianist
2PVqhiet41qeUi3jFqMxEi,Luke Corbett,3,Luke%20Corbett
2PkFOhkX0JSe5o9UwhRHND,Stephen D. Lebovitz,5,Stephen%20D.%20Lebovitz
2PrKbg1O2l4boUCjQbPNJK,Mr. Deepak Parekh,1,Mr.%20Deepak%20Parekh
2QPD2SoFNK2cJEgOJBawC0,Naresh Chandra,30,Naresh%20Chandra
2QfNwqYjXxVezA31Y5HlcF,Michael Saul Dell,1,Michael%20Saul%20Dell
2RXlCQ93b0ScHmGr8fTo9Y,B. Thomas Golisano,4,B.%20Thomas%20Golisano
2SXgTy0F3vlbMHAOcnMkAj,Mark Thompson's,1,Mark%20Thompson%27s
2SZlcNbnRS4eyxKIvAQcmA,Harold Hamm,41,Harold%20Hamm
2THUubRCdpCaw81Wy2oo5E,Sandi Peterson,19,Sandi%20Peterson
2TJkleHqBXsceUJLXI6eyB,Jean-Pascal Tricoire,5,Jean-Pascal%20Tricoire
2TscQ3qakwNb9OCdfOUnor,very well,1,very%20well
2UImBT787Xkd2OPVetVEfK,Sulzberger,1,Sulzberger
2WPGZHAegagbFLDY4j1OgL,William Guthrie Spence,1,William%20Guthrie%20Spence
2XMAFC70wQPd07T3M0yBrc,Stephanie [McMahon,1,Stephanie%20%5BMcMahon
2Y37k29IBVce1oBqcUKsHv,L. Johansson,1,L.%20Johansson
2Z5Wtj7SxWbbouDXs5tSz6,Sir Roger Carr,5,Sir%20Roger%20Carr
2Z9qMgoyM0jehX4dipBHMe,Franz Fehrenbach (Chairman of the supervisory board Robert Bosch GmbH),1,Franz%20Fehrenbach%20%28Chairman%20of%20the%20supervisory%20board%20Robert%20Bosch%20GmbH%29
2ZjVakHq2x4dnJuUS8DmLi,Phil and Penny Knight,3,Phil%20and%20Penny%20Knight
2Zmcxc5rXoUeZpF9OMZ59d,Richard Marriott,9,Richard%20Marriott
2a0CSMvyVnteoCvqcZft2x,Chelsea Victoria Clinton,2,Chelsea%20Victoria%20Clinton
2aO4Zfbv6UXfWTOgQ2Flh5,Jean-Paul Agon,8,Jean-Paul%20Agon
2aOgmQl8FttdNhdZweykNp,"Arabian-American Oil Co., Ltd",1,Arabian-American%20Oil%20Co.%2C%20Ltd
2aPmAr3cBJBfH8wjykhW9y,George Roberts,8,George%20Roberts
2aYPeSTMbjVbdWudgIjKvs,Naresh Chandra Saxena,1,Naresh%20Chandra%20Saxena
2afsSgi7C9RfIDD7X1cIVA,Robert Cannon Hayes,1,Robert%20Cannon%20Hayes
2ani2q2b0JDfNisQIERj1v,Mr. Redmond,2,Mr.%20Redmond
2bePMwJDjXebnntHVpTYYA,David Gibbs (businessman),1,David%20Gibbs%20%28businessman%29
