source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__Robert Klaczak,mapping__08b98e2bb217b3b2f2c259ead52d7172,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_Kraft,mapping__https://en.wikipedia.org/wiki/Kraft_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__https://en.wikipedia.org/wiki/Robert_Kraft,mapping__0eb80dafbba5a6ecc3d4dd06819185ac,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_Kraft,mapping__22c50163ebb3d657d6e55f3ab147d113,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_Kraft,mapping__c8ee0b13a30ff160b1e7d726a3415403,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Robert_Kraft,mapping__7e063353de54fab9f546128d30f73607,NAMEVARIANT,"{""from"":""external""}"
mapping__Robert Lang,mapping__https://en.wikipedia.org/wiki/DaVita_Inc.,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Robert Lang,mapping__d6eb75cc65b859aceae8113adfd08b28,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Lang,mapping__3b5a6e0caf2476a1bb1182ec993ccf8e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Livingston,mapping__https://en.wikipedia.org/wiki/Amphenol,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Livingston,mapping__2f5d941167decbe4cda5ec0defcbe7bc,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Livingston,mapping__279b348864f404b009920ea238fc1856,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Mack,KP__96bb6b31edc20abc5b8839ddbbb34973,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Mack,mapping__a4d868897f1770cda11aaf0a7410c2b1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Mack,mapping__d358a85113d9875beac04889069ce67f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__https://en.wikipedia.org/wiki/Magna_International,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__d63ca4c56d1a283cfe4874d03d6dd2c4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__d40c90f204561d0c3e56cce009735d6a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__c92d99aad882984887a07cb66514a38a,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__f7866c4d8f32b024b3b3549309a6915d,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Robert_A._MacLellan,mapping__08ee800c62c59d55061e14588a6b2c59,NAMEVARIANT,"{""from"":""external""}"
