source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/Mobil,mapping__2451e734e7331493694682e73c98fd3a,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Mobil,mapping__a5784481f63427e7988964d8ef4f3d05,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Mobil,mapping__f856570e5f735681a99ff1b3eca1ee79,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Mobil,mapping__15406f427727990b511ea0e8a11f6df0,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Momentive,mapping__e229872e796fd49768dfcf5f919916aa,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Momentive,mapping__c2333c73d6fb8de83e27d50345cfbca6,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Momentive,mapping__cee39bbeb016eeb1af3cc2390d65447a,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Momentive,mapping__4dace272ebc30a282e55eefb854ff1bb,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Mosaic,mapping__f9e364caeac67bc62bed3d84290be6bf,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Mosaic,mapping__4c6356bb4c50dccb7a764e4d085e9709,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Nalco_Water,mapping__9e0e5965c4e4e1e1c197015f67353f59,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Nalco_Water,mapping__9b39084a8e3a77c75f94283a3c954632,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Nalco_Water,mapping__b70514c24b81f3a129fbb51ffa7cb2fd,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Nalco_Water,mapping__b7745b5641ac742e9381dd3bb6a89307,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/NewMarket_Corporation,mapping__ec3bb910b8b5561b7634bf58786b7b50,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/NewMarket_Corporation,mapping__d66174ea6a66636c8ef419e1f46a9842,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/NewMarket_Corporation,mapping__eeed33f3836673dc5d5836ced3ba78d3,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Nova_Color_Artists_Acrylic_Paint,mapping__8e3777570e0006ab3d7d4d35ee1c953e,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Nova_Color_Artists_Acrylic_Paint,mapping__63c34732e914b9a711e0b03fe3398bb3,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/NutraSweet,mapping__b22487392aa94ee1a8eefdbd828c7b57,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/NutraSweet,mapping__585eadde416764f857c89d4bfd6e016b,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Occidental_Petroleum,mapping__591e8040ba652e53b644c8d1651ca4fa,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Occidental_Petroleum,mapping__cbff36c862fa440842ba510142b16407,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Occidental_Petroleum,mapping__04611b069584c3f898b9420c63c40108,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Occidental_Petroleum,mapping__ce954cfc10cc77f93bb87690d89f0039,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,KP__3d3a4a27401d42d4dfde393ff07d53f6,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,mapping__9df0eeac8563b3c4d71a3330ed2b7905,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,mapping__f149b515e1e019a4e1cff37b9dcf538f,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Olin_Palladium_Award,mapping__2f4dbadf5a210ec8d4c80916c3207ae1,NAMEVARIANT,"{""from"":""external""}"
