source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__barbie,logo_classes__e7c030fa60ec8b18707522ae92e7a78d,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__barclays,KP__928058eba19658895d2b341a9fb791f9,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__barclays,logo_classes__205d99f04b1bcbd471531b4b263e97d8,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__barnesnoble,KP__a453fee89bce22bec50fb44fb9b1b56e,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__barnesnoble,logo_classes__3aeffb9b423c55b263dda6d227859711,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__base,KP__32c1ded26765ab3476081c990b2fce47,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__base,logo_classes__1831ed35e8228ebeab6d3d38992478a2,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,KP__1d53ab576cfbff94560a9e0f7a69d236,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,logo_classes__90c2feff2a0c868eeb2ef5b800a681f2,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,logo_classes__7f264193fac1d129c476ca5d63f2d14e,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,logo_classes__201a95eb6db3d73b4e9113da3bf92063,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,logo_classes__67a1efe1466febce5d0905959051dc6d,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/BASF,logo_classes__7cd60f680e5fed55b9cccbcb50299ee1,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Batman_(unit),logo_classes__1cb8312f67614c03ed34a393dcb7f681,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Batman_(unit),logo_classes__8f5161aea76628ef05b06d60a54bbd6c,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Batman_(unit),logo_classes__caad240987398f88f3aa0bd95cf189a0,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bayer,KP__735fd268d87cca49f96ee489716771a0,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bayer,logo_classes__a64d5dd4c749457fb321e22caf848a47,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Bayer,logo_classes__87abb6b574be58e70a24c5a16d61a8c1,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bayer,logo_classes__cd3ed0939dcd9297744aafce5adb8512,NAMEVARIANT,"{""from"":""external""}"
logo_classes__bbc,KP__3102931e655f0ffc403100122073e9e1,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__bbc,logo_classes__3fac3c73cc6ec7b3534e97ad0c4bf469,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria,KP__aa5ebdb928145d39c138ba23c9494201,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria,logo_classes__dcc93886d2ddc7dcd8b5e0e1bcb02982,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria,logo_classes__c3cfeda1282ad8f78041dd81f95753b5,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria,logo_classes__d62acd086426968a08cee7bb910c38e6,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Beck_(manga),logo_classes__68df68f95f6fb5fd696254884b8a5420,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Beck_(manga),logo_classes__2e5e3704bf3686d0a6b03478baf60432,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Beck_(manga),logo_classes__98a611210fb058ccfcdd6a03b54c0eff,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Bed_Bath_&_Beyond,KP__91960a1652e140ce67923e53ef9dbc1c,SAMEAS,"{""from"":""logo_classes""}"
