source_global_identifier,destination_global_identifier,rel_type,rel_properties
https://en.wikipedia.org/wiki/Pilatus_PC-6_Porter__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/SOCATA_TBM__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_Tiger__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/NHIndustries_NH90__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/NHIndustries_NH90__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_New_Zealand_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Aérospatiale_SA_330_Puma__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_EC725__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_AS532_Cougar__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_Fennec__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
Eurocopter Calliope__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/SAGEM_Sperwer__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
EADS DRAC__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
Thales Spy'Ranger__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
ECA IT180 DroGen__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Army__P0 - Military Aircrafts,OperatingOrganization,{}
Mirage 2000C/5F__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Mirage_2000N/2000D__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Rafale B/C__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Boeing E-3F Sentry__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
air 350__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Transall_C-160__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A400M_Atlas__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
CASA CN235M-200/300__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Super_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_C-135_Stratolifter__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/SOCATA_TBM__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Falcon_7X__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Falcon_900__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Falcon_2000__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A330__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A310__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Aérospatiale_SA_330_Puma__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_Fennec__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_EC725__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Diamond_HK36_Super_Dimona__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Embraer_EMB_121_Xingu__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Embraer_EMB_121_Xingu__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Extra_EA-300__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Mirage 2000B-S5__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault/Dornier_Alpha_Jet__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Bréguet Atlantique II__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Falcon_10__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Falcon_50__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
Dassault Falcon 200 Guardian__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Dassault_Rafale__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_AS365_Dauphin__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Naval_Aviation__P0 - Military Aircrafts,OperatingOrganization,{}
