handle,caption_name,location,type,location_lower,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1227368500,Chinese actor Yang Zi,beijingbeijing,,beijingbeijing,,,Chinese actor Yang Zi,,dgm_weibo_publicfigures_mentioner,3f74295eb554cd9fd1d03c3036f5bc74,dgm_weibo_publicfigures_mentioner__3f74295eb554cd9fd1d03c3036f5bc74
2713968254,Chinese singer Huang Zitao,beijingbeijing,,beijingbeijing,,,Chinese singer Huang Zitao,,dgm_weibo_publicfigures_mentioner,6ef5de1422754bd500cf68fb48e74bf8,dgm_weibo_publicfigures_mentioner__6ef5de1422754bd500cf68fb48e74bf8
1350995007,Chinese actor Gulinazha,beijingbeijing,,beijingbeijing,,,Chinese actor Gulinazha,,dgm_weibo_publicfigures_mentioner,6111cfe913b13e9d98c6b03e436a09f8,dgm_weibo_publicfigures_mentioner__6111cfe913b13e9d98c6b03e436a09f8
2751313073,Chinese athlete Ma Long,beijingbeijing,,beijingbeijing,,,Chinese athlete Ma Long,,dgm_weibo_publicfigures_mentioner,0d8d6732d06b9134fa8e4086db24d7b6,dgm_weibo_publicfigures_mentioner__0d8d6732d06b9134fa8e4086db24d7b6
1847912164,Chinese athlete Xu Xin,beijingbeijing,,beijingbeijing,,,Chinese athlete Xu Xin,,dgm_weibo_publicfigures_mentioner,7a37406cab3cb14c435a55eb06d0f856,dgm_weibo_publicfigures_mentioner__7a37406cab3cb14c435a55eb06d0f856
1878206395,Chinese athlete Zhang Jike,beijingbeijing,,beijingbeijing,,,Chinese athlete Zhang Jike,,dgm_weibo_publicfigures_mentioner,17e0c9e38e241d9c845114484b703203,dgm_weibo_publicfigures_mentioner__17e0c9e38e241d9c845114484b703203
5600102513,Chinese athlete Wang Nan,beijingbeijing,,beijingbeijing,,,Chinese athlete Wang Nan,,dgm_weibo_publicfigures_mentioner,9e1330244605e7c44332524acaf05447,dgm_weibo_publicfigures_mentioner__9e1330244605e7c44332524acaf05447
2133607385,Chinese athlete Zhang Yining,beijingbeijing,,beijingbeijing,,,Chinese athlete Zhang Yining,,dgm_weibo_publicfigures_mentioner,061706d2b99ab77705811a7cc81a448b,dgm_weibo_publicfigures_mentioner__061706d2b99ab77705811a7cc81a448b
1878247607,Chinese athlete Guo Ye,beijingbeijing,,beijingbeijing,,,Chinese athlete Guo Ye,,dgm_weibo_publicfigures_mentioner,e4f19344603dcbc73e396a6ef8ab168e,dgm_weibo_publicfigures_mentioner__e4f19344603dcbc73e396a6ef8ab168e
1814284757,Chinese athlete Ding Ning,beijingbeijing,,beijingbeijing,,,Chinese athlete Ding Ning,,dgm_weibo_publicfigures_mentioner,f6adcf60449c2945415b081906d91f53,dgm_weibo_publicfigures_mentioner__f6adcf60449c2945415b081906d91f53
1010956892,Chinese athlete Ma Lin,beijingbeijing,,beijingbeijing,,,Chinese athlete Ma Lin,,dgm_weibo_publicfigures_mentioner,74ae0687a84d305631651dea03716167,dgm_weibo_publicfigures_mentioner__74ae0687a84d305631651dea03716167
2238169980,Chinese athlete Zhang Yudong,beijingbeijing,,beijingbeijing,,,Chinese athlete Zhang Yudong,,dgm_weibo_publicfigures_mentioner,8323716bfe4b63236872c7f554dabadb,dgm_weibo_publicfigures_mentioner__8323716bfe4b63236872c7f554dabadb
2010654675,Chinese athlete Chen Meng,beijingbeijing,,beijingbeijing,,,Chinese athlete Chen Meng,,dgm_weibo_publicfigures_mentioner,8e7182d94185aecab066e03244ca34e8,dgm_weibo_publicfigures_mentioner__8e7182d94185aecab066e03244ca34e8
2267601793,Chinese athlete Wang Hao,beijingbeijing,,beijingbeijing,,,Chinese athlete Wang Hao,,dgm_weibo_publicfigures_mentioner,92501f1d8c6e87b1a632daf1286f136e,dgm_weibo_publicfigures_mentioner__92501f1d8c6e87b1a632daf1286f136e
1891453505,Chinese athlete Li Xiaoxia,beijingbeijing,,beijingbeijing,,,Chinese athlete Li Xiaoxia,,dgm_weibo_publicfigures_mentioner,649112661f0686bc43b0026885ed4450,dgm_weibo_publicfigures_mentioner__649112661f0686bc43b0026885ed4450
5051815423,Chinese athlete Shun Yingsha,beijingbeijing,,beijingbeijing,,,Chinese athlete Shun Yingsha,,dgm_weibo_publicfigures_mentioner,530d60bfb8916e204e4dfbc5caff75c0,dgm_weibo_publicfigures_mentioner__530d60bfb8916e204e4dfbc5caff75c0
1827685703,Chinese athlete Liu Shiwen,beijingbeijing,,beijingbeijing,,,Chinese athlete Liu Shiwen,,dgm_weibo_publicfigures_mentioner,6af491a394c60fc873f48814a97a8f0b,dgm_weibo_publicfigures_mentioner__6af491a394c60fc873f48814a97a8f0b
