Keyword.1,Keyword.2,caption_name,guid,org_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@aaadvantageshopping.com,aaadvantageshopping.com,American Airlines email credential for @aaadvantageshopping.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines email credential for @aaadvantageshopping.com,,corp_email_mention,f5fe44d11f0a14096db928b142fb9a23,corp_email_mention__f5fe44d11f0a14096db928b142fb9a23
@aaamericanairlines.asia,aaamericanairlines.asia,American Airlines email credential for @aaamericanairlines.asia,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,News,American Airlines email credential for @aaamericanairlines.asia,,corp_email_mention,3e416858b454d14786d9b0312d936daf,corp_email_mention__3e416858b454d14786d9b0312d936daf
@aaamericanairlines.me,aaamericanairlines.me,American Airlines email credential for @aaamericanairlines.me,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,AAEntity,American Airlines email credential for @aaamericanairlines.me,,corp_email_mention,02a51480b800a9bc9ac9b6e63afc11ae,corp_email_mention__02a51480b800a9bc9ac9b6e63afc11ae
@aaargentina.com,aaargentina.com,American Airlines email credential for @aaargentina.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Person,American Airlines email credential for @aaargentina.com,,corp_email_mention,9c171626723440b1d2442d781c0dbe80,corp_email_mention__9c171626723440b1d2442d781c0dbe80
@aabelize.com,aabelize.com,American Airlines email credential for @aabelize.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aabelize.com,,corp_email_mention,4fc740981e513300f6404776e0a71a23,corp_email_mention__4fc740981e513300f6404776e0a71a23
@aabolivia.com,aabolivia.com,American Airlines email credential for @aabolivia.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aabolivia.com,,corp_email_mention,3b4918ed5348d5be5b9f953f623a220c,corp_email_mention__3b4918ed5348d5be5b9f953f623a220c
@aabrasil.com,aabrasil.com,American Airlines email credential for @aabrasil.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,ForeignMinistry,American Airlines email credential for @aabrasil.com,,corp_email_mention,581ae3645765bd7011eb882d11205e40,corp_email_mention__581ae3645765bd7011eb882d11205e40
@aacadetacademy.com,aacadetacademy.com,American Airlines email credential for @aacadetacademy.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Wells,American Airlines email credential for @aacadetacademy.com,,corp_email_mention,fd0a7464e5d2100f0a411493ee1186e1,corp_email_mention__fd0a7464e5d2100f0a411493ee1186e1
@aacareers.com,aacareers.com,American Airlines email credential for @aacareers.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Person,American Airlines email credential for @aacareers.com,,corp_email_mention,7dff056752b62ba6c368db357010853e,corp_email_mention__7dff056752b62ba6c368db357010853e
@aacargo.asia,aacargo.asia,American Airlines email credential for @aacargo.asia,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aacargo.asia,,corp_email_mention,207c422a13605ccee960b43b7e51b0d2,corp_email_mention__207c422a13605ccee960b43b7e51b0d2
@aacargo.biz,aacargo.biz,American Airlines email credential for @aacargo.biz,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Media,American Airlines email credential for @aacargo.biz,,corp_email_mention,b390ff0d4511592350bc6f2a513a0819,corp_email_mention__b390ff0d4511592350bc6f2a513a0819
@aacargo.cn,aacargo.cn,American Airlines email credential for @aacargo.cn,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Organization,American Airlines email credential for @aacargo.cn,,corp_email_mention,a24d752127ebfc2e85b3009e8d077b5e,corp_email_mention__a24d752127ebfc2e85b3009e8d077b5e
@aacargo.co.in,aacargo.co.in,American Airlines email credential for @aacargo.co.in,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,LegislativeCommittee,American Airlines email credential for @aacargo.co.in,,corp_email_mention,28f7300bc0520682fa181ac8553fb91e,corp_email_mention__28f7300bc0520682fa181ac8553fb91e
@aacargo.co.uk,aacargo.co.uk,American Airlines email credential for @aacargo.co.uk,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines email credential for @aacargo.co.uk,,corp_email_mention,afd16ad9ed1cacffed34204c688f0720,corp_email_mention__afd16ad9ed1cacffed34204c688f0720
@aacargo.co,aacargo.co,American Airlines email credential for @aacargo.co,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aacargo.co,,corp_email_mention,b1514bb0fd374da05a7f36c3dc1df228,corp_email_mention__b1514bb0fd374da05a7f36c3dc1df228
@aacargo.com.co,aacargo.com.co,American Airlines email credential for @aacargo.com.co,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Keyphrase,American Airlines email credential for @aacargo.com.co,,corp_email_mention,b8f3a95d5e2b50a7a3d5a54ad319ffbe,corp_email_mention__b8f3a95d5e2b50a7a3d5a54ad319ffbe
@aacargo.com.mx,aacargo.com.mx,American Airlines email credential for @aacargo.com.mx,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Consulates,American Airlines email credential for @aacargo.com.mx,,corp_email_mention,6653689deb6a35abb19a05025d823577,corp_email_mention__6653689deb6a35abb19a05025d823577
@aacargo.com,aacargo.com,American Airlines email credential for @aacargo.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Person,American Airlines email credential for @aacargo.com,,corp_email_mention,0e2d1d146af85795052658de51768cfd,corp_email_mention__0e2d1d146af85795052658de51768cfd
@aacargo.fi,aacargo.fi,American Airlines email credential for @aacargo.fi,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines email credential for @aacargo.fi,,corp_email_mention,2e52fabb8077948705be7ca80ab7595f,corp_email_mention__2e52fabb8077948705be7ca80ab7595f
@aacargo.fr,aacargo.fr,American Airlines email credential for @aacargo.fr,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,AAEntity,American Airlines email credential for @aacargo.fr,,corp_email_mention,d1299a286d3508c51edf6f03cca0277a,corp_email_mention__d1299a286d3508c51edf6f03cca0277a
@aacargo.it,aacargo.it,American Airlines email credential for @aacargo.it,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Wells,American Airlines email credential for @aacargo.it,,corp_email_mention,31e6357b95f7a4692b7c51e865fd8d63,corp_email_mention__31e6357b95f7a4692b7c51e865fd8d63
@aacargo.jp,aacargo.jp,American Airlines email credential for @aacargo.jp,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,IndustryTerm,American Airlines email credential for @aacargo.jp,,corp_email_mention,1111ca727d7e76ea76d4f63007c17d01,corp_email_mention__1111ca727d7e76ea76d4f63007c17d01
@aacargo.mobi,aacargo.mobi,American Airlines email credential for @aacargo.mobi,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,AAEntity,American Airlines email credential for @aacargo.mobi,,corp_email_mention,afe2c1eb8a9ae973dfc1262658c09ef9,corp_email_mention__afe2c1eb8a9ae973dfc1262658c09ef9
@aacargo.net,aacargo.net,American Airlines email credential for @aacargo.net,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines email credential for @aacargo.net,,corp_email_mention,2a5d85b84bbdeab918a68fd301206726,corp_email_mention__2a5d85b84bbdeab918a68fd301206726
@aacargo.org,aacargo.org,American Airlines email credential for @aacargo.org,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Media,American Airlines email credential for @aacargo.org,,corp_email_mention,b4c2657a5ecf709f44fbb6d80d1681c5,corp_email_mention__b4c2657a5ecf709f44fbb6d80d1681c5
@aacargo.travel,aacargo.travel,American Airlines email credential for @aacargo.travel,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines email credential for @aacargo.travel,,corp_email_mention,24523e188044548247935011489206c3,corp_email_mention__24523e188044548247935011489206c3
@aacargo.tv,aacargo.tv,American Airlines email credential for @aacargo.tv,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Person,American Airlines email credential for @aacargo.tv,,corp_email_mention,7173519560149767aa68d93e5277913e,corp_email_mention__7173519560149767aa68d93e5277913e
@aacargo.tw,aacargo.tw,American Airlines email credential for @aacargo.tw,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Organization,American Airlines email credential for @aacargo.tw,,corp_email_mention,557448fe4999764bbed89cf4ead8df65,corp_email_mention__557448fe4999764bbed89cf4ead8df65
@aacargo.uy,aacargo.uy,American Airlines email credential for @aacargo.uy,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,News,American Airlines email credential for @aacargo.uy,,corp_email_mention,14d776457c2d521f7b49824c9192f797,corp_email_mention__14d776457c2d521f7b49824c9192f797
@aacargo2.com,aacargo2.com,American Airlines email credential for @aacargo2.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,ForeignMinistry,American Airlines email credential for @aacargo2.com,,corp_email_mention,97df655eeabce7b89d19aecafbddb702,corp_email_mention__97df655eeabce7b89d19aecafbddb702
@aacargonet.com,aacargonet.com,American Airlines email credential for @aacargonet.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Person,American Airlines email credential for @aacargonet.com,,corp_email_mention,9a8f9e9a3ec6c2d4a9d95ee1e6b898f6,corp_email_mention__9a8f9e9a3ec6c2d4a9d95ee1e6b898f6
@aacargoplus.com,aacargoplus.com,American Airlines email credential for @aacargoplus.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,ForeignMinistry,American Airlines email credential for @aacargoplus.com,,corp_email_mention,7b7175fbb60aadced5bf734012f0d3a5,corp_email_mention__7b7175fbb60aadced5bf734012f0d3a5
@aachievers.com,aachievers.com,American Airlines email credential for @aachievers.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Refinery,American Airlines email credential for @aachievers.com,,corp_email_mention,ee69842d848842eee3bd85737767d9a2,corp_email_mention__ee69842d848842eee3bd85737767d9a2
@aachievers.net,aachievers.net,American Airlines email credential for @aachievers.net,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines email credential for @aachievers.net,,corp_email_mention,397fc58d03da42d2893dd1900d1448cf,corp_email_mention__397fc58d03da42d2893dd1900d1448cf
@aachievers.org,aachievers.org,American Airlines email credential for @aachievers.org,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Wells,American Airlines email credential for @aachievers.org,,corp_email_mention,378a20299feb7b9a2ebb192ebfa27dba,corp_email_mention__378a20299feb7b9a2ebb192ebfa27dba
@aachile.com,aachile.com,American Airlines email credential for @aachile.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Shipping,American Airlines email credential for @aachile.com,,corp_email_mention,5af4f54f89b2413d4c2a589097ee3ef3,corp_email_mention__5af4f54f89b2413d4c2a589097ee3ef3
@aacolombia.com,aacolombia.com,American Airlines email credential for @aacolombia.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines email credential for @aacolombia.com,,corp_email_mention,19560b85c4cc980759480e16fbe178fe,corp_email_mention__19560b85c4cc980759480e16fbe178fe
@aacontributorsite.com,aacontributorsite.com,American Airlines email credential for @aacontributorsite.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,DiplomaticFacilities,American Airlines email credential for @aacontributorsite.com,,corp_email_mention,5742cfe87f057d21bb5a0a423808ce19,corp_email_mention__5742cfe87f057d21bb5a0a423808ce19
@aacorporate.com,aacorporate.com,American Airlines email credential for @aacorporate.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,FTO,American Airlines email credential for @aacorporate.com,,corp_email_mention,155f4eb2ae892964b81655d45215ca38,corp_email_mention__155f4eb2ae892964b81655d45215ca38
@aacostarica.com,aacostarica.com,American Airlines email credential for @aacostarica.com,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,Pipeline,American Airlines email credential for @aacostarica.com,,corp_email_mention,cf483370dbc51ac409414c2d8e498fb7,corp_email_mention__cf483370dbc51ac409414c2d8e498fb7
