handle,caption_name,location_lower,location,type,groups,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ausembire,Australian Embassy in Ireland,Ireland,,,ireland;australia,,,Australian Embassy in Ireland,,dgm_vcstartup_mentioner,66c64da143fc959f3d0a550fe93deaa1,dgm_vcstartup_mentioner__66c64da143fc959f3d0a550fe93deaa1
swissembriga,Swiss Embassy in Latvia,Latvia,,,latvia;switzerland,,,Swiss Embassy in Latvia,,dgm_vcstartup_mentioner,ffc689c0ec29159d34e61f5ba686e36d,dgm_vcstartup_mentioner__ffc689c0ec29159d34e61f5ba686e36d
usembassydoha,US Embassy in Qatar,Qatar,,,qatar;united states,,,US Embassy in Qatar,,dgm_vcstartup_mentioner,2f870212e79362aaad89502540778760,dgm_vcstartup_mentioner__2f870212e79362aaad89502540778760
ukinholysee,UK Embassy in Vatican City,Vatican City,,,vatican city;uk,,,UK Embassy in Vatican City,,dgm_vcstartup_mentioner,2d0f9fd0c366e409fa27a30dd49d700f,dgm_vcstartup_mentioner__2d0f9fd0c366e409fa27a30dd49d700f
somaliainkenya,Somali Embasy in Kenya,Kenya,,,kenya;somalia,,,Somali Embasy in Kenya,,dgm_vcstartup_mentioner,97d9dfa843a24654f2fe3723b2499abe,dgm_vcstartup_mentioner__97d9dfa843a24654f2fe3723b2499abe
urbanahlin,Swedish Ambassador to Canada,Canada,,,canada;sweden,,,Swedish Ambassador to Canada,,dgm_vcstartup_mentioner,f9ccaac33728da867e5e392106ff1990,dgm_vcstartup_mentioner__f9ccaac33728da867e5e392106ff1990
thaiemblondon,Thai Embassy in UK,UK,,,uk;thailand;united kingdom,,,Thai Embassy in UK,,dgm_vcstartup_mentioner,1a8d5d19670d6940d176addc3239f2c7,dgm_vcstartup_mentioner__1a8d5d19670d6940d176addc3239f2c7
germanyinqatar,German Embassy in Qatar,Qatar,,,qatar;germany,,,German Embassy in Qatar,,dgm_vcstartup_mentioner,f6c8ea993536456bf4cb6fa257b2d658,dgm_vcstartup_mentioner__f6c8ea993536456bf4cb6fa257b2d658
ukinlebanon,UK Embassy in Lebanon,Lebanon,,,lebanon;uk,,,UK Embassy in Lebanon,,dgm_vcstartup_mentioner,2aa99154343738cf608ecd91d3aba031,dgm_vcstartup_mentioner__2aa99154343738cf608ecd91d3aba031
thailandinindia,Thai Embassy in India,India,,,india;thailand,,,Thai Embassy in India,,dgm_vcstartup_mentioner,7a4e0ba2a9566275b5e8ef2857279f20,dgm_vcstartup_mentioner__7a4e0ba2a9566275b5e8ef2857279f20
irlembpretoria,Irish Embassy in South Africa,South Africa,,,south africa;ireland,,,Irish Embassy in South Africa,,dgm_vcstartup_mentioner,8b45c1ec8b8c0c9bd07cb95e2e16b037,dgm_vcstartup_mentioner__8b45c1ec8b8c0c9bd07cb95e2e16b037
usembassyperu,US Embassy in Peru,Peru,,,peru;united states,,,US Embassy in Peru,,dgm_vcstartup_mentioner,d7fb0a64f98ac95f63dde44ad81f0d8a,dgm_vcstartup_mentioner__d7fb0a64f98ac95f63dde44ad81f0d8a
irelandinzambia,Irish Embassy in Zambia,Zambia,,,zambia;ireland,,,Irish Embassy in Zambia,,dgm_vcstartup_mentioner,75f6eed2da4cd3b5f9514f742ed18f51,dgm_vcstartup_mentioner__75f6eed2da4cd3b5f9514f742ed18f51
norwayinhungary,Norwegian Embassy in Hungary,Hungry,,,hungry;norway,,,Norwegian Embassy in Hungary,,dgm_vcstartup_mentioner,2921f44796f0889f1eeb880d88cafbbc,dgm_vcstartup_mentioner__2921f44796f0889f1eeb880d88cafbbc
finembthai,Finnish Embassy in Thailand,Thailand,,,thailand;finland,,,Finnish Embassy in Thailand,,dgm_vcstartup_mentioner,77b65844c6fbad3224d6dfd3bad034af,dgm_vcstartup_mentioner__77b65844c6fbad3224d6dfd3bad034af
