german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,u,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
im nordlicht,"Im Nordlicht in Bochum, Germany",51.465802,7.309223,1,,,,,,,Person,"Im Nordlicht in Bochum, Germany",,german_fires_bochum_locations,3fc6a0fc0cd56bcfb508524aa61bbbfc,german_fires_bochum_locations__3fc6a0fc0cd56bcfb508524aa61bbbfc
im norenberger feld,"Im Norenberger Feld in Bochum, Germany",51.4943495,7.3024509,1,,,,,,,ForeignMinister,"Im Norenberger Feld in Bochum, Germany",,german_fires_bochum_locations,068739dbc240eaf597c281cd9f2b7ce4,german_fires_bochum_locations__068739dbc240eaf597c281cd9f2b7ce4
im osterfeld,"Im Osterfeld in Bochum, Germany",51.442533,7.1372181,1,,,,,,,Refinery,"Im Osterfeld in Bochum, Germany",,german_fires_bochum_locations,4b38cbcbca9fb8e3407bfec21f5b755d,german_fires_bochum_locations__4b38cbcbca9fb8e3407bfec21f5b755d
im ostholz,"Im Ostholz in Bochum, Germany",51.4322634,7.1828441,1,,,,,,,Organization,"Im Ostholz in Bochum, Germany",,german_fires_bochum_locations,613d34249fa50df9a69ed3607f70f0c7,german_fires_bochum_locations__613d34249fa50df9a69ed3607f70f0c7
im pastoratsbusch,"Im Pastoratsbusch in Bochum, Germany",51.426282,7.2303146,1,,,,,,,Diplomat,"Im Pastoratsbusch in Bochum, Germany",,german_fires_bochum_locations,b3e03b70757f2389186eaea5451ee1d7,german_fires_bochum_locations__b3e03b70757f2389186eaea5451ee1d7
im prattort,"Im Prattort in Bochum, Germany",51.5017711,7.2755179,1,,,,,,,Pipeline,"Im Prattort in Bochum, Germany",,german_fires_bochum_locations,3d16f26c546e88b570d83108cc70c6b1,german_fires_bochum_locations__3d16f26c546e88b570d83108cc70c6b1
im sonderfeld,"Im Sonderfeld in Bochum, Germany",51.4149689,7.2395008,1,,,,,,,Person,"Im Sonderfeld in Bochum, Germany",,german_fires_bochum_locations,cd8f99d225ca4959bc76414b2c8c4ca5,german_fires_bochum_locations__cd8f99d225ca4959bc76414b2c8c4ca5
im stapel,"Im Stapel in Bochum, Germany",51.4335856,7.1380759,1,,,,,,,DiplomaticFacilities,"Im Stapel in Bochum, Germany",,german_fires_bochum_locations,2d9929253c594d6317f193764c2888bb,german_fires_bochum_locations__2d9929253c594d6317f193764c2888bb
im steinhof,"Im Steinhof in Bochum, Germany",51.4729223,7.1240105,1,,,,,,,Legislator,"Im Steinhof in Bochum, Germany",,german_fires_bochum_locations,f0748947c53c1a762de3feb37514b370,german_fires_bochum_locations__f0748947c53c1a762de3feb37514b370
im steinnocken,"Im Steinnocken in Bochum, Germany",51.4202992,7.1627469,1,,,,,,,Legislator,"Im Steinnocken in Bochum, Germany",,german_fires_bochum_locations,77438e8cb6a4a19f9bf9745b2f140806,german_fires_bochum_locations__77438e8cb6a4a19f9bf9745b2f140806
