keyword,caption_name,type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
_elan_,Band Elan,Celebrity,general.alert4,Celebrity,Band Elan,,Celeb_Mentioner,09a3bb0c31bf33ebe6a98192e8821220,Celeb_Mentioner__09a3bb0c31bf33ebe6a98192e8821220
dohertyshannen,Actor Shannen Doherty,Celebrity,general.alert4,Celebrity,Actor Shannen Doherty,,Celeb_Mentioner,ac13ea6144c8d4e42e8cc649fb3f5ebc,Celeb_Mentioner__ac13ea6144c8d4e42e8cc649fb3f5ebc
serjtankian,Singer Serj Tankian,Celebrity,general.alert4,Celebrity,Singer Serj Tankian,,Celeb_Mentioner,bc3633c8d04a201e5a6131d50d2efb01,Celeb_Mentioner__bc3633c8d04a201e5a6131d50d2efb01
miloventimiglia,Actor Milo Ventimiglia,Celebrity,general.alert4,Celebrity,Actor Milo Ventimiglia,,Celeb_Mentioner,7d5487fd82eefe050c5dc7caf541e994,Celeb_Mentioner__7d5487fd82eefe050c5dc7caf541e994
rujutadiwekar,Author Rujuta Diwekar,Celebrity,general.alert4,Celebrity,Author Rujuta Diwekar,,Celeb_Mentioner,98ace40d4260d763b79f5d23c0819d6c,Celeb_Mentioner__98ace40d4260d763b79f5d23c0819d6c
vitalyzdtv,Internet personality Vitaly Zdorovetskiy,Celebrity,general.alert4,Celebrity,Internet personality Vitaly Zdorovetskiy,,Celeb_Mentioner,608ee357db7a714146fa487bc20feb9c,Celeb_Mentioner__608ee357db7a714146fa487bc20feb9c
vijayantony,Composer Vijay Antony,Celebrity,general.alert4,Celebrity,Composer Vijay Antony,,Celeb_Mentioner,1cd584f88c0bde4c96402b7938acf58b,Celeb_Mentioner__1cd584f88c0bde4c96402b7938acf58b
indiamartinez,Singer India Martinez,Celebrity,general.alert4,Celebrity,Singer India Martinez,,Celeb_Mentioner,b60e7bad037b7153ee54a5ce8fc4d267,Celeb_Mentioner__b60e7bad037b7153ee54a5ce8fc4d267
tayschilling,Actor Taylor Schilling,Celebrity,general.alert4,Celebrity,Actor Taylor Schilling,,Celeb_Mentioner,650ff0f7385f6a44042460c9680a1ae1,Celeb_Mentioner__650ff0f7385f6a44042460c9680a1ae1
eugenialemosok,Actor Eugenia Lemos,Celebrity,general.alert4,Celebrity,Actor Eugenia Lemos,,Celeb_Mentioner,dfec2833fa5a6baae5f16176b73c6aef,Celeb_Mentioner__dfec2833fa5a6baae5f16176b73c6aef
fiomattheis,Actor Fiorella Mattheis,Celebrity,general.alert4,Celebrity,Actor Fiorella Mattheis,,Celeb_Mentioner,eb9d2f0c7033db56a5bf05b82d98c573,Celeb_Mentioner__eb9d2f0c7033db56a5bf05b82d98c573
ftgtjh,Musician Choi Jong-hoon,Celebrity,general.alert4,Celebrity,Musician Choi Jong-hoon,,Celeb_Mentioner,254272f7d54c43568a60b3da255c4070,Celeb_Mentioner__254272f7d54c43568a60b3da255c4070
rexorangecounty,Musician Rex Orange County,Celebrity,general.alert4,Celebrity,Musician Rex Orange County,,Celeb_Mentioner,be8d907a4b44954280aa22083d8063b4,Celeb_Mentioner__be8d907a4b44954280aa22083d8063b4
gillinghamjoe,Comedian Joe Wilkinson,Celebrity,general.alert4,Celebrity,Comedian Joe Wilkinson,,Celeb_Mentioner,b8a271e674acaac19178f0cb918ed341,Celeb_Mentioner__b8a271e674acaac19178f0cb918ed341
