handle,caption_name,Category,Topic GUID,Topic Name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
jpgaultier,Fashion Designer Jean Paul Gaultier,Entertainment,214218,Reputation,Shipping,Fashion Designer Jean Paul Gaultier,,advocacy_groups_handles,850f70d258560c88bc3fecca594474f0,advocacy_groups_handles__55b38dee133c51d4696facf2a40f292a
n_o_m_u_r_a,Actor Shuhei Nomura,Entertainment,214218,Reputation,ForeignMinistry,Actor Shuhei Nomura,,advocacy_groups_handles,dfa266544795b1049c507238d5c81de8,advocacy_groups_handles__1b467f0b9d7fe25ce24b846b84af75f4
amalmaher,Singer Amal Maher,Entertainment,214218,Reputation,Wells,Singer Amal Maher,,advocacy_groups_handles,255c2cfe8f66a2cff55ba5a794946f5b,advocacy_groups_handles__5e8abc1521041e267027daaf17069acb
nayarivera,Actor Naya Rivera,Entertainment,214218,Reputation,ForeignMinister,Actor Naya Rivera,,advocacy_groups_handles,1681672bf2a523f599aaa8bd79e97181,advocacy_groups_handles__db3616672a7af8af3b98072e5c7f3bca
youssouphamusik,Rapper Youssoupha,Entertainment,214218,Reputation,Keyphrase,Rapper Youssoupha,,advocacy_groups_handles,0c6b3f306bc0bf3af6c034c714d89fed,advocacy_groups_handles__6a0dd1265840048393d70c890e4b5537
sattamelissa,TV presenter melissa satta,Entertainment,214218,Reputation,AAEntity,TV presenter melissa satta,,advocacy_groups_handles,4b84da1fb88260f1dcd65389843ed430,advocacy_groups_handles__bf1eadf513b865598fb1e7758cda600e
zaralarsson,Singer Zara Larsson,Entertainment,214218,Reputation,Person,Singer Zara Larsson,,advocacy_groups_handles,cfff68b8b4d1e0d76cd604df6c018c60,advocacy_groups_handles__bd57cb0fb7db15c98938dd4ae16d312f
madisonpettis,Actor Madison Pettis,Entertainment,214218,Reputation,Pipeline,Actor Madison Pettis,,advocacy_groups_handles,03e2b17559195c5e70b2870c576448fd,advocacy_groups_handles__cc975896853ad68a9efa3858aec01da1
gauravkapur,Actor Gaurav Kapur,Entertainment,214218,Reputation,Shipping,Actor Gaurav Kapur,,advocacy_groups_handles,ea42c84bd06af430542df3231f84c95c,advocacy_groups_handles__ce049fcc01d5f6b6b381b2b8d3475286
varusarath5,Actor 𝑽𝒂𝒓𝒂𝒍𝒂𝒙𝒎𝒊 𝑺𝒂𝒓𝒂𝒕𝒉𝒌𝒖𝒎𝒂𝒓,Entertainment,214218,Reputation,ForeignMinistry,Actor 𝑽𝒂𝒓𝒂𝒍𝒂𝒙𝒎𝒊 𝑺𝒂𝒓𝒂𝒕𝒉𝒌𝒖𝒎𝒂𝒓,,advocacy_groups_handles,cc6190e70b99a691711f936f6e532a5d,advocacy_groups_handles__46b52ec16e04b6cc6de045df58272999
callux,YouTube personality Callux,Entertainment,214218,Reputation,Organization,YouTube personality Callux,,advocacy_groups_handles,e1fd0a53f5bcecb31f8449feb66c9ad1,advocacy_groups_handles__6024dd72e2dd9dd13566efe8a4cd2d29
lulipop07,Model luciana salazar,Entertainment,214218,Reputation,Keyphrase,Model luciana salazar,,advocacy_groups_handles,6b3086fd64e8a50fe17fcd94d60efda3,advocacy_groups_handles__df314fc444ceb6eeb57882a225e3c50d
