handle,caption_name,location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
joaocravinho,Portuguese Defense Minister Cravinho,2624,CompanyKeyword,Portuguese Defense Minister Cravinho,,defmin_mentioner,f4c6c454ae2c6a962202abc2e5dc0214,defmin_mentioner__f4c6c454ae2c6a962202abc2e5dc0214
pmharriskn,St Kitts and Nevis Prime Minister Harris,2625,Media,St Kitts and Nevis Prime Minister Harris,,defmin_mentioner,191b631a145da8edf13574acd3f9a4f0,defmin_mentioner__191b631a145da8edf13574acd3f9a4f0
comraderalph,St Vincent and the Grenadines National Security Minister Everard,2626,Legislator,St Vincent and the Grenadines National Security Minister Everard,,defmin_mentioner,c5d05a9edb1cc712ea870d72b6ebbbc6,defmin_mentioner__c5d05a9edb1cc712ea870d72b6ebbbc6
pramkalawan,Seychelles Defense Minister Ramkalawan,2627,Organization,Seychelles Defense Minister Ramkalawan,,defmin_mentioner,954af8dbcdb8b8fa1b45c1f224f0a37d,defmin_mentioner__954af8dbcdb8b8fa1b45c1f224f0a37d
paloconteh,Sierra Leonean Defense Minister Conteh,2628,Refinery,Sierra Leonean Defense Minister Conteh,,defmin_mentioner,0375783a150eba16e8d6157efd2ef0b3,defmin_mentioner__0375783a150eba16e8d6157efd2ef0b3
ng_eng_hen,Singaporean Defense Minister Eng Hen,2629,LegislativeCommittee,Singaporean Defense Minister Eng Hen,,defmin_mentioner,ca74741ccbd01ecc089bc966dc3b8a6c,defmin_mentioner__ca74741ccbd01ecc089bc966dc3b8a6c
jaronad,Slovak Defense Minister Nad,2630,Media,Slovak Defense Minister Nad,,defmin_mentioner,d28b4d402e0a9f64575e26536fc33e6e,defmin_mentioner__d28b4d402e0a9f64575e26536fc33e6e
gotabayar,Sri Lankan Defense Minister Rajapaksa,2631,LegislativeCommittee,Sri Lankan Defense Minister Rajapaksa,,defmin_mentioner,6c9ac1bc3585da48b816bc651fe5dc38,defmin_mentioner__6c9ac1bc3585da48b816bc651fe5dc38
fitzgeraldhind4,Trinidad and Tobago National Security Minister Hinds,2632,DiplomaticFacilities,Trinidad and Tobago National Security Minister Hinds,,defmin_mentioner,5ff857c504654a2b697baf0ca9bc3872,defmin_mentioner__5ff857c504654a2b697baf0ca9bc3872
bwallacemp,UK Defence Secretary Wallace,2633,LegislativeCommittee,UK Defence Secretary Wallace,,defmin_mentioner,722633758552e13a617fd672fb4a7e1b,defmin_mentioner__722633758552e13a617fd672fb4a7e1b
secdef,US Secretary of Defense Austin,2634,LegislativeCommittee,US Secretary of Defense Austin,,defmin_mentioner,2fd31ae716a1f0d971cbb5874bd5ad74,defmin_mentioner__2fd31ae716a1f0d971cbb5874bd5ad74
