keyword,keyword_upper,caption_name,location,location_lower,location (state),type,guid,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
indiana sp,Indiana SP,Indiana State Police,Indiana,indiana,,PoliceDept,,188120,3140002,Policedept,Indiana State Police,,EO_Mentionee,6fd7be9f2a7778cf51a4f85822138adf,EO_Mentionee__6fd7be9f2a7778cf51a4f85822138adf
indiana state police,Indiana State Police,Indiana State Police,Indiana,indiana,,PoliceDept,,188120,3140002,Policedept,Indiana State Police,,EO_Mentionee,fad003c735c93cbebd8885a757725271,EO_Mentionee__fad003c735c93cbebd8885a757725271
indstatepolice,IndStatePolice,Indiana State Police,Indiana,indiana,,PoliceDept,,188120,3140002,Policedept,Indiana State Police,,EO_Mentionee,586c5fa05acbaaf0b2b8d53cb9058804,EO_Mentionee__586c5fa05acbaaf0b2b8d53cb9058804
illinois state police,Illinois State Police,Illinois State Police,Illinois,illinois,,PoliceDept,,188120,3140002,Policedept,Illinois State Police,,EO_Mentionee,356a355e6b12259a06a791711a74cfb2,EO_Mentionee__356a355e6b12259a06a791711a74cfb2
ilstatepolice,ILStatePolice,Illinois State Police,Illinois,illinois,,PoliceDept,,188120,3140002,Policedept,Illinois State Police,,EO_Mentionee,2af8e09803f91186d6e32a88d892ad9f,EO_Mentionee__2af8e09803f91186d6e32a88d892ad9f
la state police,LA State Police,Louisiana State Police,Louisiana,louisiana,,PoliceDept,,188120,3140002,Policedept,Louisiana State Police,,EO_Mentionee,2956ab2392f1758ebbf9c51ae76d5de8,EO_Mentionee__2956ab2392f1758ebbf9c51ae76d5de8
louisiana state police,Louisiana State Police,Louisiana State Police,Louisiana,louisiana,,PoliceDept,,188120,3140002,Policedept,Louisiana State Police,,EO_Mentionee,849709c8da0a2048e71c2fe02bb1476a,EO_Mentionee__849709c8da0a2048e71c2fe02bb1476a
lastatepolice,LAStatePolice,Louisiana State Police,Louisiana,louisiana,,PoliceDept,,188120,3140002,Policedept,Louisiana State Police,,EO_Mentionee,2fba90962ad13a580cc07c28917ab5c7,EO_Mentionee__2fba90962ad13a580cc07c28917ab5c7
michigan state police,Michigan State Police,Michigan State Police,Michigan,michigan,,PoliceDept,,188120,3140002,Policedept,Michigan State Police,,EO_Mentionee,be71b211d3cfedefdb81eac50246fcea,EO_Mentionee__be71b211d3cfedefdb81eac50246fcea
michstatepolice,MichStatePolice,Michigan State Police,Michigan,michigan,,PoliceDept,,188120,3140002,Policedept,Michigan State Police,,EO_Mentionee,c346184b1b9d3df6f9a5038b2ad78808,EO_Mentionee__c346184b1b9d3df6f9a5038b2ad78808
