ceo_handle,company_name,caption_name,guid,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
joshuamotta,Coalition,Joshua Motta,333b9eec55c381d80fd54af8a8229aac,Coalition CEO Joshua Motta,ForeignMinister,Joshua Motta,,strategic_modelset_ceo_handle,2fb3067d7f795d988d6a0c8de2a16f45,strategic_modelset_ceo_handle__2fb3067d7f795d988d6a0c8de2a16f45
allonbloch,K Health,Allon Bloch,5fb792731d69af13b4ab3f0295a6f770,K Health CEO Allon Bloch,Keyphrase,Allon Bloch,,strategic_modelset_ceo_handle,5704f50539ea57f935c91cac01877dd2,strategic_modelset_ceo_handle__5704f50539ea57f935c91cac01877dd2
abhiramesh8,Misfits Market,Abhi Ramesh,1f646d7e86d173a65468fcebae504228,Misfits Market CEO Abhi Ramesh,LegislativeCommittee,Abhi Ramesh,,strategic_modelset_ceo_handle,b5812afeb0f7e3c395b8c20a6f3611bd,strategic_modelset_ceo_handle__b5812afeb0f7e3c395b8c20a6f3611bd
strongforce,Subspace,Bayan Towfiq,0e746c64f2aeb6b6110a7bbd04fccbc2,Subspace CEO Bayan Towfiq,AAEntity,Bayan Towfiq,,strategic_modelset_ceo_handle,284536d1a323f883fe1b792db71c38dc,strategic_modelset_ceo_handle__284536d1a323f883fe1b792db71c38dc
sehikian,Airkit,Stephen Ehikian,e016ebdb9ba13b3f7f31627226e20788,Airkit CEO Stephen Ehikian,ForeignMinistry,Stephen Ehikian,,strategic_modelset_ceo_handle,5ea5632b330af8ffc86d67805b24005c,strategic_modelset_ceo_handle__5ea5632b330af8ffc86d67805b24005c
izzyrosen88,Atom Power,Izzy Rosenzweig,4792b9a73951e806e3b88e2406a4c59f,Atom Power CEO Izzy Rosenzweig,Consulates,Izzy Rosenzweig,,strategic_modelset_ceo_handle,9ef4294adb248b6247b0104f2f80dd7b,strategic_modelset_ceo_handle__9ef4294adb248b6247b0104f2f80dd7b
tan_hack,Counterpart,Tanner Hackett,c85b728a108ad5a3e41530fdd705636e,Counterpart CEO Tanner Hackett,FTO,Tanner Hackett,,strategic_modelset_ceo_handle,e840cfd1f6ecebd9fac93b72497b8b8e,strategic_modelset_ceo_handle__e840cfd1f6ecebd9fac93b72497b8b8e
karnsaroya,Cover,Karn Saroya,83037fbd8e25ac208b821ed6ebcd6b2d,Cover CEO Karn Saroya,Exec,Karn Saroya,,strategic_modelset_ceo_handle,7779aa5627f68539349cf62302453db6,strategic_modelset_ceo_handle__7779aa5627f68539349cf62302453db6
chaselochmiller,Crusoe Energy Systems,Chase Lochmiller,ea4fa4eacdf5fd4ecf2868656275625a,Crusoe Energy Systems CEO Chase Lochmiller,Media,Chase Lochmiller,,strategic_modelset_ceo_handle,49abfe8da863857486eb4eec4a59ccbd,strategic_modelset_ceo_handle__49abfe8da863857486eb4eec4a59ccbd
danielbburton,DroneBase,Dan Burton,40b9db116e64df8b7fda156444109de6,DroneBase CEO Dan Burton,News,Dan Burton,,strategic_modelset_ceo_handle,e8d02e6b131f630c52dd998cca603a0f,strategic_modelset_ceo_handle__e8d02e6b131f630c52dd998cca603a0f
iam_pht,Exporta Technologies,Pierre Thys,3fdbc54ed9346e42a058cf7473575130,Exporta Technologies CEO Pierre Thys,Consulates,Pierre Thys,,strategic_modelset_ceo_handle,57d4330f590d0ea46e16dd3ceef818eb,strategic_modelset_ceo_handle__57d4330f590d0ea46e16dd3ceef818eb
georgekondiles,Ocient,George Kondiles,a5846b1647301c2d87b60287fb893f7a,Ocient CEO George Kondiles,Shipping,George Kondiles,,strategic_modelset_ceo_handle,6a4696e79fe164994939264730b472a4,strategic_modelset_ceo_handle__6a4696e79fe164994939264730b472a4
derikpridmore,Osaro,Derik Pridmore,4c554a5cb45c98921ac829c12f44ea68,Osaro CEO Derik Pridmore,Consulates,Derik Pridmore,,strategic_modelset_ceo_handle,ef116194a6b1904ef329a734b90b27fe,strategic_modelset_ceo_handle__ef116194a6b1904ef329a734b90b27fe
