keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
beidou dw 43,Beidou DW 43 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 43 global positioning satellite,,milpress_mentionee,56c33b7e3e25bdbbb31d2cf2d76cf829,milpress_mentionee__56c33b7e3e25bdbbb31d2cf2d76cf829
beidou dw 44,Beidou DW 44 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 44 global positioning satellite,,milpress_mentionee,bfd93aad72da6001c864bce8b3a63b44,milpress_mentionee__bfd93aad72da6001c864bce8b3a63b44
beidou dw 45,Beidou DW 45 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 45 global positioning satellite,,milpress_mentionee,7a5ae47df6a114f4c2f9e0368f29b038,milpress_mentionee__7a5ae47df6a114f4c2f9e0368f29b038
beidou dw 46,Beidou DW 46 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 46 global positioning satellite,,milpress_mentionee,c4c1e3eb8050bb1a44714856bd89e6d1,milpress_mentionee__c4c1e3eb8050bb1a44714856bd89e6d1
beidou 3 igso-3,Beidou 3 IGSO-3 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou 3 IGSO-3 global positioning satellite,,milpress_mentionee,829f64778a2ad6491e96c5c158f2abc5,milpress_mentionee__829f64778a2ad6491e96c5c158f2abc5
beidou dw 50,Beidou DW 50 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 50 global positioning satellite,,milpress_mentionee,d9f69a9668f06b6c43b83cf0276c9341,milpress_mentionee__d9f69a9668f06b6c43b83cf0276c9341
beidou dw 51,Beidou DW 51 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 51 global positioning satellite,,milpress_mentionee,e0256aacefc96a6da2365380aa0bcfaa,milpress_mentionee__e0256aacefc96a6da2365380aa0bcfaa
beidou dw 52,Beidou DW 52 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 52 global positioning satellite,,milpress_mentionee,f0b72ea8187c438b84d28d8f8ac84866,milpress_mentionee__f0b72ea8187c438b84d28d8f8ac84866
beidou dw 53,Beidou DW 53 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 53 global positioning satellite,,milpress_mentionee,7d120dec66043ecd88d2ae0379deea97,milpress_mentionee__7d120dec66043ecd88d2ae0379deea97
beidou dw 55,Beidou DW 55 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou DW 55 global positioning satellite,,milpress_mentionee,9b6aec624de6ab4e77e6eb66194482f3,milpress_mentionee__9b6aec624de6ab4e77e6eb66194482f3
beidou g3,Beidou G3 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou G3 global positioning satellite,,milpress_mentionee,e8750e4f555aed1231c7a9cc354bb566,milpress_mentionee__e8750e4f555aed1231c7a9cc354bb566
beidou g4,Beidou G4 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou G4 global positioning satellite,,milpress_mentionee,784a1691b7425f7ef43c5dc499501e38,milpress_mentionee__784a1691b7425f7ef43c5dc499501e38
beidou g5,Beidou G5 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou G5 global positioning satellite,,milpress_mentionee,ed939e5697eda917bd9eb71ec5069c57,milpress_mentionee__ed939e5697eda917bd9eb71ec5069c57
beidou igso-1,Beidou IGSO-1 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou IGSO-1 global positioning satellite,,milpress_mentionee,63d604570cc5865d38a4ba991d5cb03d,milpress_mentionee__63d604570cc5865d38a4ba991d5cb03d
beidou igso-2,Beidou IGSO-2 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou IGSO-2 global positioning satellite,,milpress_mentionee,a8deb953a82807b199e26ba2d10edd81,milpress_mentionee__a8deb953a82807b199e26ba2d10edd81
beidou igso-3,Beidou IGSO-3 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou IGSO-3 global positioning satellite,,milpress_mentionee,423e696ebebd5de9f8d67ac59f4f4654,milpress_mentionee__423e696ebebd5de9f8d67ac59f4f4654
beidou igso-4,Beidou IGSO-4 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou IGSO-4 global positioning satellite,,milpress_mentionee,149a31a1a8f5b017ca97fefb0c06308a,milpress_mentionee__149a31a1a8f5b017ca97fefb0c06308a
beidou igso-5,Beidou IGSO-5 global positioning satellite,188261,a1433,,,satellite,Satellite,Beidou IGSO-5 global positioning satellite,,milpress_mentionee,8b03197ffdc06c99152225cc198c9669,milpress_mentionee__8b03197ffdc06c99152225cc198c9669
