keyword,caption_name,location,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
4th canadian division training centre,"Canadian Armed Forces 4th Canadian Division Training Centre in Grey County, Canada","-80.69911,44.67569",forbase9,ForeignMinistry,"Canadian Armed Forces 4th Canadian Division Training Centre in Grey County, Canada",,dgm_foreignbases,6477d1210e6bc71f4d8f641af9902c12,dgm_foreignbases__6477d1210e6bc71f4d8f641af9902c12
4th canadian division training centre,"Canadian Armed Forces 4th Canadian Division Training Centre in Grey County, Canada","-80.69911,44.67569",forbase9,Wells,"Canadian Armed Forces 4th Canadian Division Training Centre in Grey County, Canada",,dgm_foreignbases,6477d1210e6bc71f4d8f641af9902c12,dgm_foreignbases__6477d1210e6bc71f4d8f641af9902c12
5 cdsb gagetown,"Canadian Forces Base Gagetown in Oromocto, Canada","-66.436666666,45.837777777",forbase10,FTO,"Canadian Forces Base Gagetown in Oromocto, Canada",,dgm_foreignbases,9b9eb5747a8155d81bdb93c6d9230f63,dgm_foreignbases__9b9eb5747a8155d81bdb93c6d9230f63
5 wing goose bay,"Canadian Forces Base Goose Bay in Happy Valley-Goose Bay, Canada","-60.425833333,53.319166666",forbase11,CompanyKeyword,"Canadian Forces Base Goose Bay in Happy Valley-Goose Bay, Canada",,dgm_foreignbases,ba93ceb8932eee8cfae35ef487a26e04,dgm_foreignbases__ba93ceb8932eee8cfae35ef487a26e04
51° stormo di istrana,"Italian Air Force Treviso-Istrana Air Base in Istrana, Italy","12.08288056,45.68486667",forbase12,Shipping,"Italian Air Force Treviso-Istrana Air Base in Istrana, Italy",,dgm_foreignbases,bc913ac58a5bbcf38df1c171b0ff9754,dgm_foreignbases__bc913ac58a5bbcf38df1c171b0ff9754
5th canadian division support base gagetown,"Canadian Forces Base Gagetown in Oromocto, Canada","-66.436666666,45.837777777",forbase10,Shipping,"Canadian Forces Base Gagetown in Oromocto, Canada",,dgm_foreignbases,9b9eb5747a8155d81bdb93c6d9230f63,dgm_foreignbases__9b9eb5747a8155d81bdb93c6d9230f63
5th canadian division support base gagetown,"Canadian Forces Base Gagetown in Oromocto, Canada","-66.436666666,45.837777777",forbase10,Refinery,"Canadian Forces Base Gagetown in Oromocto, Canada",,dgm_foreignbases,9b9eb5747a8155d81bdb93c6d9230f63,dgm_foreignbases__9b9eb5747a8155d81bdb93c6d9230f63
9 wing gander,"Canadian Forces Base Gander in Gander, Canada","-54.568056,48.936944",forbase13,Shipping,"Canadian Forces Base Gander in Gander, Canada",,dgm_foreignbases,b8f64b82d3bc936064ba795ae1906004,dgm_foreignbases__b8f64b82d3bc936064ba795ae1906004
adscs,"Australian Defence Satellite Communications Station in Geraldton, Australia","114.842,-28.695",forbase14,ForeignMinistry,"Australian Defence Satellite Communications Station in Geraldton, Australia",,dgm_foreignbases,08eb5a0274801f23ee8ae6a414c5aa21,dgm_foreignbases__08eb5a0274801f23ee8ae6a414c5aa21
aeronautica militare - comando aeroporto,"Italian Air Force Cameri Airbase in Cameri, Italy","8.669225,45.52959167",forbase15,Diplomat,"Italian Air Force Cameri Airbase in Cameri, Italy",,dgm_foreignbases,8422ffe84b2d0149c9e1d86ea146491b,dgm_foreignbases__8422ffe84b2d0149c9e1d86ea146491b
