keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
misappropriation of funds,misappropriation of funds,Exec,misappropriation of funds,,dgm_fraud_variants,cb1228f1ffff9328f569b5b6d0aebb72,dgm_fraud_variants__cb1228f1ffff9328f569b5b6d0aebb72
bribery and corruption,bribery and corruption,Consulates,bribery and corruption,,dgm_fraud_variants,58bcd72ac48c079ce364ce7e2e9bf0e0,dgm_fraud_variants__58bcd72ac48c079ce364ce7e2e9bf0e0
embezzlement,embezzlement,Media,embezzlement,,dgm_fraud_variants,9b358d1ec0cb29691f8203e5d9307794,dgm_fraud_variants__9b358d1ec0cb29691f8203e5d9307794
employee theft,employee theft,News,employee theft,,dgm_fraud_variants,da7d5fa2738542a6fb7bac36d11502cc,dgm_fraud_variants__da7d5fa2738542a6fb7bac36d11502cc
identity fraud,identity fraud,Keyphrase,identity fraud,,dgm_fraud_variants,e6fdfef0718ffe2cf83efd8a509377d0,dgm_fraud_variants__e6fdfef0718ffe2cf83efd8a509377d0
identity theft,identity theft,AAEntity,identity theft,,dgm_fraud_variants,d1f821b3e87a21c28d368c31587cf144,dgm_fraud_variants__d1f821b3e87a21c28d368c31587cf144
ponzi scheme,ponzi scheme,News,ponzi scheme,,dgm_fraud_variants,8065f1ba150f076296a607ed80c1ed4f,dgm_fraud_variants__8065f1ba150f076296a607ed80c1ed4f
ponzi schemes,ponzi schemes,News,ponzi schemes,,dgm_fraud_variants,acd54da9a365613c24d7f1ae9357c21e,dgm_fraud_variants__acd54da9a365613c24d7f1ae9357c21e
third-party fraud,third-party fraud,Refinery,third-party fraud,,dgm_fraud_variants,e927918213a3f72ee95c74ed0f4eed47,dgm_fraud_variants__e927918213a3f72ee95c74ed0f4eed47
second-party fraud,second-party fraud,Wells,second-party fraud,,dgm_fraud_variants,88c26287b0ab3f6cb25e5da2112bc42b,dgm_fraud_variants__88c26287b0ab3f6cb25e5da2112bc42b
first-party fraud,first-party fraud,Exec,first-party fraud,,dgm_fraud_variants,365c23aaaf261cf9b50684b9084a4ed0,dgm_fraud_variants__365c23aaaf261cf9b50684b9084a4ed0
payroll fraud,payroll fraud,IndustryTerm,payroll fraud,,dgm_fraud_variants,85413a5233af86b1cc7df879d616c476,dgm_fraud_variants__85413a5233af86b1cc7df879d616c476
data theft,data theft,Shipping,data theft,,dgm_fraud_variants,45ef2c49e605737bd0fbd21e9dc49910,dgm_fraud_variants__45ef2c49e605737bd0fbd21e9dc49910
expense account,expense account,CompanyKeyword,expense account,,dgm_fraud_variants,bd57bfd4e6b5907ddbd6b1af26cee656,dgm_fraud_variants__bd57bfd4e6b5907ddbd6b1af26cee656
payment fraud,payment fraud,Person,payment fraud,,dgm_fraud_variants,7de0d3adf0450636974814d6d86d78b9,dgm_fraud_variants__7de0d3adf0450636974814d6d86d78b9
payments fraud,payments fraud,AAEntity,payments fraud,,dgm_fraud_variants,07a45bf5928d70b4a6d06af1b9a09a1c,dgm_fraud_variants__07a45bf5928d70b4a6d06af1b9a09a1c
compensation fraud,compensation fraud,CompanyKeyword,compensation fraud,,dgm_fraud_variants,b400521415d18208c4bcdf3c80df7340,dgm_fraud_variants__b400521415d18208c4bcdf3c80df7340
procurement fraud,procurement fraud,Diplomat,procurement fraud,,dgm_fraud_variants,72ab201714c4a0319571bc64e9c47b3e,dgm_fraud_variants__72ab201714c4a0319571bc64e9c47b3e
health insurance fraud,health insurance fraud,Wells,health insurance fraud,,dgm_fraud_variants,7cd2d6d860ee8dedfefe96bea883ac26,dgm_fraud_variants__7cd2d6d860ee8dedfefe96bea883ac26
commission fraud,commission fraud,Exec,commission fraud,,dgm_fraud_variants,5d058f5c8c2a68d6f978c46d149b8675,dgm_fraud_variants__5d058f5c8c2a68d6f978c46d149b8675
billing schemes,billing schemes,space,billing schemes,,dgm_fraud_variants,e8a00ed4f7f0f95561afa682e582c5e9,dgm_fraud_variants__e8a00ed4f7f0f95561afa682e582c5e9
billing fraud,billing fraud,Exec,billing fraud,,dgm_fraud_variants,3977edacc136ca5b0a6c2c216ebe8847,dgm_fraud_variants__3977edacc136ca5b0a6c2c216ebe8847
medicare fraud,medicare fraud,space,medicare fraud,,dgm_fraud_variants,89b25ff46e70be8f1756517ea8e06943,dgm_fraud_variants__89b25ff46e70be8f1756517ea8e06943
