keyword,caption_name,feeds,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
yt_hello_krizzy,Hello Krizzy,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCbfAdIw8POpagCsNI1ilT-w,DiplomaticFacilities,Hello Krizzy,,dgm_youtube_crisk,2e8c85f184c5ac83781377de071fb434,dgm_youtube_crisk__2e8c85f184c5ac83781377de071fb434
yt_noble_credit,Noble Credit,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC1OZlHkiQSgE2BxgROJi82g,Wells,Noble Credit,,dgm_youtube_crisk,92b6ce6c5f32f7cec58bc3965a6bd042,dgm_youtube_crisk__92b6ce6c5f32f7cec58bc3965a6bd042
yt_99bitcoins,99Bitcoins,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCQQ_fGcMDxlKre3SEqEWrLA,Diplomat,99Bitcoins,,dgm_youtube_crisk,80fe2d1ae1db9804c9164a6186025888,dgm_youtube_crisk__80fe2d1ae1db9804c9164a6186025888
yt_acceler8,ACCELER8,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCTKv0idGUaEg9W-O86fiouQ,IndustryTerm,ACCELER8,,dgm_youtube_crisk,c53554222ce7b5e28aef7a9d47399652,dgm_youtube_crisk__c53554222ce7b5e28aef7a9d47399652
yt_100_rental_cars,100 Rental Cars,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC9FjmhQV5fT_v7nPIO5SAzQ,Person,100 Rental Cars,,dgm_youtube_crisk,fa5538cd1a01fbc9f3b2bb87d6dcac0e,dgm_youtube_crisk__fa5538cd1a01fbc9f3b2bb87d6dcac0e
yt_ryan_shaw,Ryan Shaw,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCfv7-e6_6ZhvDL9-7Yw5OVA,FTO,Ryan Shaw,,dgm_youtube_crisk,67fd230149fc00866123a4fb3d0a29c8,dgm_youtube_crisk__67fd230149fc00866123a4fb3d0a29c8
yt_ed's_auto_reviews,Ed's Auto Reviews,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCNFJQbMjDfxc8pacVPhAtIw,ForeignMinister,Ed's Auto Reviews,,dgm_youtube_crisk,88da11cd720eb0549664a678efdb5325,dgm_youtube_crisk__88da11cd720eb0549664a678efdb5325
yt_dope_or_nope,DOPE or NOPE,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UC9VX0KXNH20x9MCH3xGjisg,Diplomat,DOPE or NOPE,,dgm_youtube_crisk,7e4e9e4fab777e153781a8b03f5255c0,dgm_youtube_crisk__7e4e9e4fab777e153781a8b03f5255c0
yt_ninth_island_connection,Ninth Island Connection,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCzZgbE6e-iSggVVaDswiwyQ,Person,Ninth Island Connection,,dgm_youtube_crisk,c97cb3a6df254d48d043fbe95ee6fec3,dgm_youtube_crisk__c97cb3a6df254d48d043fbe95ee6fec3
yt_yellow_productions,Yellow Productions,feed/https://www.youtube.com/feeds/videos.xml?channel_id=UCw8_bi1G4duPevdfktipGOA,ForeignMinistry,Yellow Productions,,dgm_youtube_crisk,2d8d3db81d3cab48d80f75f0f053bfe8,dgm_youtube_crisk__2d8d3db81d3cab48d80f75f0f053bfe8
