handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
repbarbaralee,US Representative Barbara Lee,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Barbara Lee,,legislator_dgm_usms_mentioner_entities,75c9d16939a6d777eba2c51b7f70b38a,legislator_dgm_usms_mentioner_entities__75c9d16939a6d777eba2c51b7f70b38a
sethmoulton,US Representative Moulton,Massachusetts,agency;agency leadership;courthouse,legislator,42.4072107,-71.3824374,,,Legislator,US Representative Moulton,,legislator_dgm_usms_mentioner_entities,ad6745347db3cfce316e5f91969bc60d,legislator_dgm_usms_mentioner_entities__ad6745347db3cfce316e5f91969bc60d
stevenhorsford,US Representative Horsford,Nevada,agency;agency leadership;courthouse,legislator,38.8026097,-116.419389,,,Legislator,US Representative Horsford,,legislator_dgm_usms_mentioner_entities,5136b23627fa0dce942fc3246012ca5f,legislator_dgm_usms_mentioner_entities__5136b23627fa0dce942fc3246012ca5f
repjimcosta,US Representative Costa,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Costa,,legislator_dgm_usms_mentioner_entities,4f9a5bc68bfaa77937bf90c053ee6a8a,legislator_dgm_usms_mentioner_entities__4f9a5bc68bfaa77937bf90c053ee6a8a
congpalazzo,US Representative Palazzo,Mississippi,agency;agency leadership;courthouse,legislator,32.3546679,-89.3985283,,,Legislator,US Representative Palazzo,,legislator_dgm_usms_mentioner_entities,58cfe512c7630d7e1428f872982d2100,legislator_dgm_usms_mentioner_entities__58cfe512c7630d7e1428f872982d2100
repadriansmith,US Representative Adrian Smith,Nebraska,agency;agency leadership;courthouse,legislator,41.4925374,-99.9018131,,,Legislator,US Representative Adrian Smith,,legislator_dgm_usms_mentioner_entities,05e51f0ea41c25c69e11e8f93d642dbd,legislator_dgm_usms_mentioner_entities__05e51f0ea41c25c69e11e8f93d642dbd
buddy_carter,US Representative Buddy Carter,Georgia,agency;agency leadership;courthouse,legislator,32.1656221,-82.9000751,,,Legislator,US Representative Buddy Carter,,legislator_dgm_usms_mentioner_entities,23ac796ce92a23eb45058eadd524bdc1,legislator_dgm_usms_mentioner_entities__23ac796ce92a23eb45058eadd524bdc1
conawaytx11,US Representative Conaway,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Conaway,,legislator_dgm_usms_mentioner_entities,8ed2bc7611ec15de8da92391c2d5a886,legislator_dgm_usms_mentioner_entities__8ed2bc7611ec15de8da92391c2d5a886
scottpeterssd,US Representative Peters,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Peters,,legislator_dgm_usms_mentioner_entities,fb6f0eb1eb9925303b3d8c80236b36f9,legislator_dgm_usms_mentioner_entities__fb6f0eb1eb9925303b3d8c80236b36f9
deb4congressnm,US Representative Haaland,New Mexico,agency;agency leadership;courthouse,legislator,34.5199402,-105.8700901,,,Legislator,US Representative Haaland,,legislator_dgm_usms_mentioner_entities,c9307cb8aea648010ae8d99cbc3de090,legislator_dgm_usms_mentioner_entities__c9307cb8aea648010ae8d99cbc3de090
repwebster,US Representative Webster,Florida,agency;agency leadership;courthouse,legislator,27.6648274,-81.5157535,,,Legislator,US Representative Webster,,legislator_dgm_usms_mentioner_entities,6592910be109f458092fd6fdc0c3fb97,legislator_dgm_usms_mentioner_entities__6592910be109f458092fd6fdc0c3fb97
schneider4il10,US Representative Schneider,Illinois,agency;agency leadership;courthouse,legislator,40.6331249,-89.3985283,,,Legislator,US Representative Schneider,,legislator_dgm_usms_mentioner_entities,e98799b76dc474e5c66020df4e68c056,legislator_dgm_usms_mentioner_entities__e98799b76dc474e5c66020df4e68c056
ann_kirkpatrick,US Representative Kirkpatrick,Arizona,agency;agency leadership;courthouse,legislator,34.0489281,-111.0937311,,,Legislator,US Representative Kirkpatrick,,legislator_dgm_usms_mentioner_entities,4a32577407ce18154a504811cc65002b,legislator_dgm_usms_mentioner_entities__4a32577407ce18154a504811cc65002b
repzoelofgren,US Representative Lofgren,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Lofgren,,legislator_dgm_usms_mentioner_entities,2a10f4fb6ad12d158df553be032069db,legislator_dgm_usms_mentioner_entities__2a10f4fb6ad12d158df553be032069db
reprichmond,US Representative Richmond,Louisiana,agency;agency leadership;courthouse,legislator,30.9842977,-91.9623327,,,Legislator,US Representative Richmond,,legislator_dgm_usms_mentioner_entities,170ebd3ef9b9b57691b19ef529a874e0,legislator_dgm_usms_mentioner_entities__170ebd3ef9b9b57691b19ef529a874e0
langevinforri,US Representative Langevin,Rhode Island,agency;agency leadership;courthouse,legislator,41.5800945,-71.4774291,,,Legislator,US Representative Langevin,,legislator_dgm_usms_mentioner_entities,b3ee31b207b966859b21cf009575044c,legislator_dgm_usms_mentioner_entities__b3ee31b207b966859b21cf009575044c
stenyhoyer,US Representative Hoyer,Maryland,agency;agency leadership;courthouse,legislator,39.0457549,-76.6412712,,,Legislator,US Representative Hoyer,,legislator_dgm_usms_mentioner_entities,33a21a92e66700ee82db0a21ee26fdf4,legislator_dgm_usms_mentioner_entities__33a21a92e66700ee82db0a21ee26fdf4
johnsarbanes,US Representative Sarbanes,Maryland,agency;agency leadership;courthouse,legislator,39.0457549,-76.6412712,,,Legislator,US Representative Sarbanes,,legislator_dgm_usms_mentioner_entities,13aa8b24947313698d2c3430cbb7f3f5,legislator_dgm_usms_mentioner_entities__13aa8b24947313698d2c3430cbb7f3f5
jaredhuffman,US Representative Huffman,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Huffman,,legislator_dgm_usms_mentioner_entities,cf833d3603f72c0ce8422258b1a16c94,legislator_dgm_usms_mentioner_entities__cf833d3603f72c0ce8422258b1a16c94
georgeholding,US Representative Holding,North Carolina,agency;agency leadership;courthouse,legislator,35.7595731,-79.0192997,,,Legislator,US Representative Holding,,legislator_dgm_usms_mentioner_entities,388b9a9c9cb833d5d1c0ad61fa8e35ad,legislator_dgm_usms_mentioner_entities__388b9a9c9cb833d5d1c0ad61fa8e35ad
repalgreentx,US Representative Al Green,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Al Green,,legislator_dgm_usms_mentioner_entities,ee007699539c68f07feb19a85ad06735,legislator_dgm_usms_mentioner_entities__ee007699539c68f07feb19a85ad06735
bobbyscott4va3,US Representative Bobby Scott,Virginia,agency;agency leadership;courthouse,legislator,37.4315734,-78.6568942,,,Legislator,US Representative Bobby Scott,,legislator_dgm_usms_mentioner_entities,785390f9364066a62c9d8a14e0638836,legislator_dgm_usms_mentioner_entities__785390f9364066a62c9d8a14e0638836
davidkustoff,US Representative Kustoff,Tennessee,agency;agency leadership;courthouse,legislator,35.5174913,-86.5804473,,,Legislator,US Representative Kustoff,,legislator_dgm_usms_mentioner_entities,342fac498aa41206db82bd9112bc425b,legislator_dgm_usms_mentioner_entities__342fac498aa41206db82bd9112bc425b
marktakano,US Representative Takano,California,agency;agency leadership;courthouse,legislator,36.778261,-119.4179324,,,Legislator,US Representative Takano,,legislator_dgm_usms_mentioner_entities,a505983da46cd79ce1efeda28ba89204,legislator_dgm_usms_mentioner_entities__a505983da46cd79ce1efeda28ba89204
mikesimpson4id,US Representative Simpson,Idaho,agency;agency leadership;courthouse,legislator,44.0682019,-114.7420408,,,Legislator,US Representative Simpson,,legislator_dgm_usms_mentioner_entities,0a6da469b17e4f4cbe4b7f928b88fd3a,legislator_dgm_usms_mentioner_entities__0a6da469b17e4f4cbe4b7f928b88fd3a
