company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
b riley financial,5e743f04177e2671fe9b47d30c89291f,B. Riley Financial,Other,"Woodland Hills, CA, USA",34.165357,-118.6089752,Legislator,B. Riley Financial,,us_sec_company,7b25fba96aebab27439e495813eb5fc2,us_sec_company__7b25fba96aebab27439e495813eb5fc2
b&g foods,ba5ef60d29578395fb0b9b42a3f9a280,B&G Foods,Other,"Parsippany, NJ, USA",40.8652865,-74.4173877,Exec,B&G Foods,,us_sec_company,36f68fa1664255d91c039fa17552d812,us_sec_company__36f68fa1664255d91c039fa17552d812
b2gold,cbd2358d6989e536b2cfde3937f87ad4,B2Gold,Other,"Vancouver, British Columbia, Canada",49.2827291,-123.1207375,News,B2Gold,,us_sec_company,22571704d03e82eacdb39a6a2d5f6cd5,us_sec_company__22571704d03e82eacdb39a6a2d5f6cd5
babcock & wilcox enterprises,9faaeb006999026251635b62f4b013d2,Babcock & Wilcox Enterprises,Other,"Barberton, OH, USA",41.012833,-81.6051221,DiplomaticFacilities,Babcock & Wilcox Enterprises,,us_sec_company,50f717db70c8933a92a12d307c039a20,us_sec_company__50f717db70c8933a92a12d307c039a20
badger meter,df2b5954453748ed1e0f5254ff9ba8fd,Badger Meter,Other,"Milwaukee, WI, USA",43.0389025,-87.9064736,News,Badger Meter,,us_sec_company,e2f746b6fd3b71ddb4176baae8bfc482,us_sec_company__e2f746b6fd3b71ddb4176baae8bfc482
bae systems,68de11995b3eaa7243a40b135a58219b,BAE Systems,Tier 2,"London, Greater London, UK",51.5073509,-0.1277583,Exec,BAE Systems,,us_sec_company,2efad81d6d1dc436706a2d285a4ce475,us_sec_company__2efad81d6d1dc436706a2d285a4ce475
baidu,e124818c3e704f0866b798552089cd98,Baidu,Other,"Beijing, China",39.9041999,116.4073963,ForeignMinister,Baidu,,us_sec_company,081b300b1136241b1f49d967022d76cf,us_sec_company__081b300b1136241b1f49d967022d76cf
bain capital,274e3b17022db77ad019c20a36cb8fb3,Bain Capital,Tier 2,"Boston, MA, USA",42.3600825,-71.0588801,CompanyKeyword,Bain Capital,,us_sec_company,6694adbaed224493b852a2101569a2ff,us_sec_company__6694adbaed224493b852a2101569a2ff
balchem corp,e3084aa28fdf092d847b2bea9b291628,Balchem,Other,"New Hampton, NY, USA",41.4109272,-74.4071,ForeignMinister,Balchem,,us_sec_company,800722268b77144a5ed16f3f72961de4,us_sec_company__800722268b77144a5ed16f3f72961de4
ball corp,876a7cfb9c0d79aeb5ea953049aae95a,Ball,Other,"Broomfield, CO, USA",39.9205411,-105.0866504,ForeignMinistry,Ball,,us_sec_company,957f0632560f32240408c7f57b29165f,us_sec_company__957f0632560f32240408c7f57b29165f
