keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Afghanistan,afghanistan,afghanistan,Country,Country,afghanistan,,dgm_traveladvisories_country_fr,a8424b7baae263918301406bdc884e28,dgm_traveladvisories_country_fr__a8424b7baae263918301406bdc884e28
Albanie,albania,albania,Country,Country,albania,,dgm_traveladvisories_country_fr,3303daf806aebcd0cfd114f7d267f109,dgm_traveladvisories_country_fr__3303daf806aebcd0cfd114f7d267f109
Algérie,algeria,algeria,Country,Country,algeria,,dgm_traveladvisories_country_fr,49f4fdc64da08e0cbac132fa06062d2d,dgm_traveladvisories_country_fr__49f4fdc64da08e0cbac132fa06062d2d
Andorre,andorra,andorra,Country,Country,andorra,,dgm_traveladvisories_country_fr,449f508e9fad3b1bd4debc02f0d2194b,dgm_traveladvisories_country_fr__449f508e9fad3b1bd4debc02f0d2194b
Ango,angola,angola,Country,Country,angola,,dgm_traveladvisories_country_fr,e5e0bd43b7f1a35aaf645f597de2ed08,dgm_traveladvisories_country_fr__e5e0bd43b7f1a35aaf645f597de2ed08
Antigua-et-Barbuda,antigua and barbuda,antigua and barbuda,Country,Country,antigua and barbuda,,dgm_traveladvisories_country_fr,b347fe1fd6b405d4944de73b9c5a39ca,dgm_traveladvisories_country_fr__b347fe1fd6b405d4944de73b9c5a39ca
Argentine,argentina,argentina,Country,Country,argentina,,dgm_traveladvisories_country_fr,2a52adc7b1da6a4e0a7a14e4c8db1b11,dgm_traveladvisories_country_fr__2a52adc7b1da6a4e0a7a14e4c8db1b11
Arménie,armenia,armenia,Country,Country,armenia,,dgm_traveladvisories_country_fr,3744c623dc4219b00a900ee527c16387,dgm_traveladvisories_country_fr__3744c623dc4219b00a900ee527c16387
Australie,australia,australia,Country,Country,australia,,dgm_traveladvisories_country_fr,fb2a54d637484c4ca8adb2343237b89f,dgm_traveladvisories_country_fr__fb2a54d637484c4ca8adb2343237b89f
Autriche,austria,austria,Country,Country,austria,,dgm_traveladvisories_country_fr,6cd0c266688a7a579874167d67c74a66,dgm_traveladvisories_country_fr__6cd0c266688a7a579874167d67c74a66
Azerbaïdjan,azerbaijan,azerbaijan,Country,Country,azerbaijan,,dgm_traveladvisories_country_fr,620a71f90d5dbf8c9a80939d2cbc1eba,dgm_traveladvisories_country_fr__620a71f90d5dbf8c9a80939d2cbc1eba
Bahamas,bahamas,bahamas,Country,Country,bahamas,,dgm_traveladvisories_country_fr,19f9730000abcc9fe49e6e9051d109bc,dgm_traveladvisories_country_fr__19f9730000abcc9fe49e6e9051d109bc
Bahreïn,bahrain,bahrain,Country,Country,bahrain,,dgm_traveladvisories_country_fr,97b78c7af698a19f89c414f8ede0ddd9,dgm_traveladvisories_country_fr__97b78c7af698a19f89c414f8ede0ddd9
Bangdesh,bangladesh,bangladesh,Country,Country,bangladesh,,dgm_traveladvisories_country_fr,b47bc9c3971a24ddbbfd211d7b692227,dgm_traveladvisories_country_fr__b47bc9c3971a24ddbbfd211d7b692227
Barbade,barbados,barbados,Country,Country,barbados,,dgm_traveladvisories_country_fr,8c7c9b1149e9de712b9e5abab45d700c,dgm_traveladvisories_country_fr__8c7c9b1149e9de712b9e5abab45d700c
Biélorussie,belarus,belarus,Country,Country,belarus,,dgm_traveladvisories_country_fr,f9bcd904ecd531c125ab9b42b5be3f35,dgm_traveladvisories_country_fr__f9bcd904ecd531c125ab9b42b5be3f35
Beu,belau,belau,Country,Country,belau,,dgm_traveladvisories_country_fr,630e5822f3935228c7b9a20876ef5c5a,dgm_traveladvisories_country_fr__630e5822f3935228c7b9a20876ef5c5a
Belgique,belgium,belgium,Country,Country,belgium,,dgm_traveladvisories_country_fr,73fa01094ea6c89f1f8efbeb57037499,dgm_traveladvisories_country_fr__73fa01094ea6c89f1f8efbeb57037499
