german_text,caption_text,lat,lon,ranking,default location,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
schlossgraben,"Schlossgraben in Bautzen, Germany",51.1829181,14.4207772,1,,,,IndustryTerm,"Schlossgraben in Bautzen, Germany",,german_fires_bautzen_locations,d2fe365983d8cc248c1e16537c33f012,german_fires_bautzen_locations__d2fe365983d8cc248c1e16537c33f012
schlossstr.,"Schlossstrasse in Bautzen, Germany",51.1831477,14.4219635,1,,,,FTO,"Schlossstrasse in Bautzen, Germany",,german_fires_bautzen_locations,dc6a24b4bc39bf3d14d7ef93ae7a9d62,german_fires_bautzen_locations__dc6a24b4bc39bf3d14d7ef93ae7a9d62
schmiedegasse,"Schmiedegasse in Bautzen, Germany",51.2106828,14.3944266,1,,,,space,"Schmiedegasse in Bautzen, Germany",,german_fires_bautzen_locations,838ef914fc8f3210d38f6b03d075e82d,german_fires_bautzen_locations__838ef914fc8f3210d38f6b03d075e82d
schmochtitz,"Schmochtitz in Bautzen, Germany",51.2139956,14.3614746,1,,,,IndustryTerm,"Schmochtitz in Bautzen, Germany",,german_fires_bautzen_locations,c4e31b170e5d9c6f3af6bebebb24051f,german_fires_bautzen_locations__c4e31b170e5d9c6f3af6bebebb24051f
schmoler weg,"Schmoler Weg in Bautzen, Germany",51.1825419,14.4092053,1,,,,Refinery,"Schmoler Weg in Bautzen, Germany",,german_fires_bautzen_locations,227a44ea892d71fd34890c460634bf01,german_fires_bautzen_locations__227a44ea892d71fd34890c460634bf01
schreberweg,"Schreberweg in Bautzen, Germany",51.1706265,14.4529988,1,,,,IndustryTerm,"Schreberweg in Bautzen, Germany",,german_fires_bautzen_locations,c29676054a17928e8543bad452a2a45a,german_fires_bautzen_locations__c29676054a17928e8543bad452a2a45a
schubertstr.,"Schubertstrasse in Bautzen, Germany",51.1764326,14.4508045,1,,,,News,"Schubertstrasse in Bautzen, Germany",,german_fires_bautzen_locations,fad6f816175e05351dd026143e4252b1,german_fires_bautzen_locations__fad6f816175e05351dd026143e4252b1
schulstr.,"Schulstrasse in Bautzen, Germany",51.1801382,14.4251798,1,,,,News,"Schulstrasse in Bautzen, Germany",,german_fires_bautzen_locations,5517d6de9da2554c7ae75e565df4186e,german_fires_bautzen_locations__5517d6de9da2554c7ae75e565df4186e
schwalbenweg,"Schwalbenweg in Bautzen, Germany",51.2001405,14.3680959,1,,,,ForeignMinister,"Schwalbenweg in Bautzen, Germany",,german_fires_bautzen_locations,daabc21730921bc8a1b30096ebc6af3f,german_fires_bautzen_locations__daabc21730921bc8a1b30096ebc6af3f
schafferstr.,"Schafferstrasse in Bautzen, Germany",51.1852829,14.4326064,1,,,,Keyphrase,"Schafferstrasse in Bautzen, Germany",,german_fires_bautzen_locations,553c16458e7beb1a8ce66848178f2e30,german_fires_bautzen_locations__553c16458e7beb1a8ce66848178f2e30
schulerstr.,"Schulerstrasse in Bautzen, Germany",51.1825353,14.4257987,1,,,,ForeignMinister,"Schulerstrasse in Bautzen, Germany",,german_fires_bautzen_locations,ef4c1e539572820c5ab9a847cc5c982b,german_fires_bautzen_locations__ef4c1e539572820c5ab9a847cc5c982b
seidauer str.,"Seidauer Strasse in Bautzen, Germany",51.1860678,14.4185804,1,,,,News,"Seidauer Strasse in Bautzen, Germany",,german_fires_bautzen_locations,3c84a858bf59801590e51c0db23a5816,german_fires_bautzen_locations__3c84a858bf59801590e51c0db23a5816
seminarstr.,"Seminarstrasse in Bautzen, Germany",51.177586,14.4252221,1,,,,ForeignMinister,"Seminarstrasse in Bautzen, Germany",,german_fires_bautzen_locations,25f11b800c070e139380ac18689d41a9,german_fires_bautzen_locations__25f11b800c070e139380ac18689d41a9
siebergasse,"Siebergasse in Bautzen, Germany",51.1819734,14.4229045,1,,,,space,"Siebergasse in Bautzen, Germany",,german_fires_bautzen_locations,189599ce59fb0b91451f520e40143d40,german_fires_bautzen_locations__189599ce59fb0b91451f520e40143d40
siedlerweg,"Siedlerweg in Bautzen, Germany",51.1571609,14.431657,1,,,,Legislator,"Siedlerweg in Bautzen, Germany",,german_fires_bautzen_locations,6b2865628db046246eae64327708bf1e,german_fires_bautzen_locations__6b2865628db046246eae64327708bf1e
siedlungsstr.,"Siedlungsstrasse in Bautzen, Germany",51.1801301,14.3922001,1,,,,Diplomat,"Siedlungsstrasse in Bautzen, Germany",,german_fires_bautzen_locations,b3f0658b65f33ebb8acf37e367919c1f,german_fires_bautzen_locations__b3f0658b65f33ebb8acf37e367919c1f
siemensstr.,"Siemensstrasse in Bautzen, Germany",51.1692035,14.4202786,1,,,,CompanyKeyword,"Siemensstrasse in Bautzen, Germany",,german_fires_bautzen_locations,90eb27333b8295a4841027aa42847231,german_fires_bautzen_locations__90eb27333b8295a4841027aa42847231
sonnenblick,"Sonnenblick in Bautzen, Germany",51.1704911,14.4454014,1,,,,Pipeline,"Sonnenblick in Bautzen, Germany",,german_fires_bautzen_locations,901ac36f689b372a7d2eef404661f61e,german_fires_bautzen_locations__901ac36f689b372a7d2eef404661f61e
sonnenweg,"Sonnenweg in Bautzen, Germany",51.1983864,14.3725187,1,,,,Consulates,"Sonnenweg in Bautzen, Germany",,german_fires_bautzen_locations,aadc0024b5508ebe5306003334e384a9,german_fires_bautzen_locations__aadc0024b5508ebe5306003334e384a9
spittelwiesenweg,"Spittelwiesenweg in Bautzen, Germany",51.1704087,14.4484345,1,,,,CompanyKeyword,"Spittelwiesenweg in Bautzen, Germany",,german_fires_bautzen_locations,a4f1725cbacc26a8465d9d8c41fd6024,german_fires_bautzen_locations__a4f1725cbacc26a8465d9d8c41fd6024
spreegasse,"Spreegasse in Bautzen, Germany",51.1853779,14.4218275,1,,,,Keyphrase,"Spreegasse in Bautzen, Germany",,german_fires_bautzen_locations,123e62055ac731955e8ee867cab173a0,german_fires_bautzen_locations__123e62055ac731955e8ee867cab173a0
