keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#sonangol,Angolan state-owned oil and gas company Sonangol,188162;188132;188121,company keyword,sonangol,5a765bc09fc396a20f3ad2b27b7d7b68,CompanyKeyword,Angolan state-owned oil and gas company Sonangol,,og_mentionee_headsofstate,ec5655cb6612df6393aba9ab35dbb481,og_mentionee_headsofstate__ec5655cb6612df6393aba9ab35dbb481
#sonatrach,Algerian state-owned oil and gas company Sonatrach,188162;188132;188121,company keyword,sonatrach,eb1ab2c6c22ed595b394cf3abdccd022,CompanyKeyword,Algerian state-owned oil and gas company Sonatrach,,og_mentionee_headsofstate,4a14d4cfe823b08ef83bdfae81f5e75b,og_mentionee_headsofstate__4a14d4cfe823b08ef83bdfae81f5e75b
#sotrapil,Tunisian oil and gas company Sotrapil,188162;188132,company keyword,sotrapil,,CompanyKeyword,Tunisian oil and gas company Sotrapil,,og_mentionee_headsofstate,f927a818c23d8db998d8df917cd5310b,og_mentionee_headsofstate__f927a818c23d8db998d8df917cd5310b
#south gas company,Iraqi state-owned company South Gas Company,188162;188132;188121,company keyword,south gas company,,CompanyKeyword,Iraqi state-owned company South Gas Company,,og_mentionee_headsofstate,24a681dee2c255945fd5dc386d80a225,og_mentionee_headsofstate__24a681dee2c255945fd5dc386d80a225
#ssgc,Pakistani natural gas company Sui Southern Gas Company,188162;188132,company keyword,sui southern gas company;ssgc,,CompanyKeyword,Pakistani natural gas company Sui Southern Gas Company,,og_mentionee_headsofstate,e9f8a082b00af6e0ce36966921419dee,og_mentionee_headsofstate__e9f8a082b00af6e0ce36966921419dee
#star africa commodities & minerals limited,Star Africa Commodities and Minerals Limited,188162;188132,company keyword,star africa commodities and minerals limited;star africa commodities & minerals limited,,CompanyKeyword,Star Africa Commodities and Minerals Limited,,og_mentionee_headsofstate,b593f0d65889612e491a7cf015de4a1d,og_mentionee_headsofstate__b593f0d65889612e491a7cf015de4a1d
#state oil company of azerbaijan republic,Azeri state-owned oil and gas company SOCAR,188162;188132;188121,company keyword,socar;state oil company of azerbaijan republic,,CompanyKeyword,Azeri state-owned oil and gas company SOCAR,,og_mentionee_headsofstate,6f613ceb1f73c5152e6a4ae2d6c6c193,og_mentionee_headsofstate__6f613ceb1f73c5152e6a4ae2d6c6c193
#state oil marketing organization,Iraqi state-owned State Oil Marketing Organization,188162;188132;188121,company keyword,iraq's state oil marketing organization;state oil marketing organization,,CompanyKeyword,Iraqi state-owned State Oil Marketing Organization,,og_mentionee_headsofstate,f3711360beddad45490ad28890470bc4,og_mentionee_headsofstate__f3711360beddad45490ad28890470bc4
#state organization for marketing of oil,Iraqi state-owned State Oil Marketing Organization,188162;188132;188121,company keyword,iraq's state oil marketing organization;state organization for marketing of oil,,CompanyKeyword,Iraqi state-owned State Oil Marketing Organization,,og_mentionee_headsofstate,41c44d62e824644e5a113e00842d37af,og_mentionee_headsofstate__41c44d62e824644e5a113e00842d37af
#sudan national petroleum corporation,Sudanese oil and gas company Sudapet,188162;188132,company keyword,sudapet;sudan national petroleum corporation,,CompanyKeyword,Sudanese oil and gas company Sudapet,,og_mentionee_headsofstate,ecb4b50b06eef88024d4596fed721cd0,og_mentionee_headsofstate__ecb4b50b06eef88024d4596fed721cd0
#sudapet,Sudanese oil and gas company Sudapet,188162;188132,company keyword,sudapet,,CompanyKeyword,Sudanese oil and gas company Sudapet,,og_mentionee_headsofstate,c0c1b54fb7fd71a4101552926daddaee,og_mentionee_headsofstate__c0c1b54fb7fd71a4101552926daddaee
#sui southern gas company,Pakistani natural gas company Sui Southern Gas Company,188162;188132,company keyword,sui southern gas company,,CompanyKeyword,Pakistani natural gas company Sui Southern Gas Company,,og_mentionee_headsofstate,b168f0b766279bdb18f6a89391b4e84c,og_mentionee_headsofstate__b168f0b766279bdb18f6a89391b4e84c
#suncor,Canadian oil and gas company Suncor Energy,188162;188132,company keyword,suncor energy;suncor,29dbfea668a460871ec6218d70b0ba3d,CompanyKeyword,Canadian oil and gas company Suncor Energy,,og_mentionee_headsofstate,cf2ac8568749ed0cb9af24edfaf18804,og_mentionee_headsofstate__cf2ac8568749ed0cb9af24edfaf18804
#suncor energy,Canadian oil and gas company Suncor Energy,188162;188132,company keyword,suncor energy,29dbfea668a460871ec6218d70b0ba3d,CompanyKeyword,Canadian oil and gas company Suncor Energy,,og_mentionee_headsofstate,258a2c7977693cb118d50f4131b34eb1,og_mentionee_headsofstate__258a2c7977693cb118d50f4131b34eb1
