permalink,authority_caption,permalink_location,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
6552559068,"Anti Drug Authority in Dongying District, Shandong",dongying,Exec,"Anti Drug Authority in Dongying District, Shandong",,dgm_fentanylsources,fa7757d31fa42abd6d0a466b5c016dd9,dgm_fentanylsources__fa7757d31fa42abd6d0a466b5c016dd9
6258641562,"Anti Drug Authority in Longxi County, Dingxi, Gansu",longxi,Refinery,"Anti Drug Authority in Longxi County, Dingxi, Gansu",,dgm_fentanylsources,18a0abdb52c588a5f761b5391fbb579d,dgm_fentanylsources__18a0abdb52c588a5f761b5391fbb579d
6100361197,"Anti Drug Authority in Linxia, Gansu",linxia,CompanyKeyword,"Anti Drug Authority in Linxia, Gansu",,dgm_fentanylsources,0e9862d72c79fb7373e64fa534897cda,dgm_fentanylsources__0e9862d72c79fb7373e64fa534897cda
224767047,"Anti Drug Authority in Shanggang New City, Shanghai",shanggang,ForeignMinistry,"Anti Drug Authority in Shanggang New City, Shanghai",,dgm_fentanylsources,c73d87e9ebc037fb141181e88060ecb8,dgm_fentanylsources__c73d87e9ebc037fb141181e88060ecb8
2137152387,"Anti Drug Authority in Minhang District, Shanghai",minhang,Keyphrase,"Anti Drug Authority in Minhang District, Shanghai",,dgm_fentanylsources,543722d44cf67ede9e0859a9f9ca763c,dgm_fentanylsources__543722d44cf67ede9e0859a9f9ca763c
2798448552,"Anti Drug Authority in Jinze, Qingpu District, Shanghai",jinze,ForeignMinistry,"Anti Drug Authority in Jinze, Qingpu District, Shanghai",,dgm_fentanylsources,c83834bc23624070593f4834106eace9,dgm_fentanylsources__c83834bc23624070593f4834106eace9
5497475380,Anti Drug Authority in Heilongjiang,harbin,CompanyKeyword,Anti Drug Authority in Heilongjiang,,dgm_fentanylsources,5a680e152d13deb6a7882d6e73bc9876,dgm_fentanylsources__5a680e152d13deb6a7882d6e73bc9876
6539627949,"Anti Drug Authority in Qitaihe, Heilongjiang",qitaihe,Person,"Anti Drug Authority in Qitaihe, Heilongjiang",,dgm_fentanylsources,071e20d7801b96651ab5a38042bd05a9,dgm_fentanylsources__071e20d7801b96651ab5a38042bd05a9
7495147188,"Narcotics Control Commision in Harbin, Heilongjiang",harbin,ForeignMinistry,"Narcotics Control Commision in Harbin, Heilongjiang",,dgm_fentanylsources,ac9fc481e526533cd2dfc5be29ab2e9c,dgm_fentanylsources__ac9fc481e526533cd2dfc5be29ab2e9c
2044446315,"Narcotics Control Office in Baise, Guangxi",baise,News,"Narcotics Control Office in Baise, Guangxi",,dgm_fentanylsources,1e8926717cacaf6ffdc0467089577ff5,dgm_fentanylsources__1e8926717cacaf6ffdc0467089577ff5
3494942274,"Anti Drug Authority in Fuyu, Jilin",fuyu,ForeignMinistry,"Anti Drug Authority in Fuyu, Jilin",,dgm_fentanylsources,48fdf783c1d4a0b5ff04e2149a90c4ac,dgm_fentanylsources__48fdf783c1d4a0b5ff04e2149a90c4ac
7513653517,"Anti Drug Authority in Baoding, Hebei",baoding,Consulates,"Anti Drug Authority in Baoding, Hebei",,dgm_fentanylsources,2f3e8c70637a544033fea5a0e8cc72b7,dgm_fentanylsources__2f3e8c70637a544033fea5a0e8cc72b7
6215427155,Anti Drug Authority in Ningxia,yinchuan,Organization,Anti Drug Authority in Ningxia,,dgm_fentanylsources,2309ca07a0d4dfd9d3d931bb1195f1b2,dgm_fentanylsources__2309ca07a0d4dfd9d3d931bb1195f1b2
2792690562,"Anti Drug Authority in Chifeng, Inner Mongolia",chifeng,CompanyKeyword,"Anti Drug Authority in Chifeng, Inner Mongolia",,dgm_fentanylsources,a879c197a29929357832ea83ce186ab1,dgm_fentanylsources__a879c197a29929357832ea83ce186ab1
5111533141,"Anti Drug Authority in Tongliao, Inner Mongolia",tongliao,ForeignMinister,"Anti Drug Authority in Tongliao, Inner Mongolia",,dgm_fentanylsources,c8f3bda2e6426406d7e17de2d4b49ad9,dgm_fentanylsources__c8f3bda2e6426406d7e17de2d4b49ad9
3070786033,"Anti Drug Authority in Ordos, Inner Mongolia",ordos,FTO,"Anti Drug Authority in Ordos, Inner Mongolia",,dgm_fentanylsources,e71bb2c15e1b56f4409cbb808d8fdd2f,dgm_fentanylsources__e71bb2c15e1b56f4409cbb808d8fdd2f
5061527926,"Anti Drug Authority in Yakeshi, Hulunbuir, Inner Mongolia",yakeshi,ForeignMinistry,"Anti Drug Authority in Yakeshi, Hulunbuir, Inner Mongolia",,dgm_fentanylsources,1a7d7dac08cc312886a73e599f4e0dac,dgm_fentanylsources__1a7d7dac08cc312886a73e599f4e0dac
2667901942,"Anti Drug Authority in Benxi, Liaoning",benxi,Pipeline,"Anti Drug Authority in Benxi, Liaoning",,dgm_fentanylsources,a4dcfb2c9cb4f6931241ff8241134fdd,dgm_fentanylsources__a4dcfb2c9cb4f6931241ff8241134fdd
5804652022,"Anti Drug Authority in Yingkou, Liaoning",yingkou,Diplomat,"Anti Drug Authority in Yingkou, Liaoning",,dgm_fentanylsources,80014dd14dc741825dd0d51042702db4,dgm_fentanylsources__80014dd14dc741825dd0d51042702db4
7460234020,"Anti Drug Authority in Panjin, Liaoning",panjin,ForeignMinister,"Anti Drug Authority in Panjin, Liaoning",,dgm_fentanylsources,328b0a9bf4a15e1dec785be32ff33b36,dgm_fentanylsources__328b0a9bf4a15e1dec785be32ff33b36
6586710099,"Anti Drug Authority in Si County, Anhui",sicounty,Refinery,"Anti Drug Authority in Si County, Anhui",,dgm_fentanylsources,1dbdad2c64f4f9d01ab295d9844355c0,dgm_fentanylsources__1dbdad2c64f4f9d01ab295d9844355c0
7507663449,"Anti Drug Authority in Xianyang, Shaanxi",xianyang,LegislativeCommittee,"Anti Drug Authority in Xianyang, Shaanxi",,dgm_fentanylsources,242c064972d1cda94ceb6ac9df292c90,dgm_fentanylsources__242c064972d1cda94ceb6ac9df292c90
3482546793,"Anti Drug Authority in Hulunbuir, Inner Mongolia",hulunbuir,Organization,"Anti Drug Authority in Hulunbuir, Inner Mongolia",,dgm_fentanylsources,fb0a46f530e7c1b04b45b06b48e0587a,dgm_fentanylsources__fb0a46f530e7c1b04b45b06b48e0587a
5812406493,"Anti Drug Authority in Lu'an, Anhui",luan,News,"Anti Drug Authority in Lu'an, Anhui",,dgm_fentanylsources,1b714bb8fc65f72a95d10b8657f6c612,dgm_fentanylsources__1b714bb8fc65f72a95d10b8657f6c612
5859542228,"Anti Drug Authority in Xilingol League, Inner Mongolia",xilingolleague,Media,"Anti Drug Authority in Xilingol League, Inner Mongolia",,dgm_fentanylsources,518b99ca69fcc8c27974c19f3df4a7f2,dgm_fentanylsources__518b99ca69fcc8c27974c19f3df4a7f2
1275768590,"Anti Drug Authority in Zhuzhou, Hunan",zhuzhou,Refinery,"Anti Drug Authority in Zhuzhou, Hunan",,dgm_fentanylsources,a719e79b73931fb3e9dc5709be2a31a9,dgm_fentanylsources__a719e79b73931fb3e9dc5709be2a31a9
7504474517,"Anti Drug Authority in Qian County, Xianyang, Shaanxi",qiancounty,Organization,"Anti Drug Authority in Qian County, Xianyang, Shaanxi",,dgm_fentanylsources,04cbebedd6a6f6d788c91b5b9b635bf1,dgm_fentanylsources__04cbebedd6a6f6d788c91b5b9b635bf1
7494323188,"Anti Drug Authority in Tongchuan, Shaanxi",tongchuan,space,"Anti Drug Authority in Tongchuan, Shaanxi",,dgm_fentanylsources,99f78c7ba64e288b802d4c89309ebe2b,dgm_fentanylsources__99f78c7ba64e288b802d4c89309ebe2b
1270750184,"Anti Drug Authority in Baise, Guangxi",baise,AAEntity,"Anti Drug Authority in Baise, Guangxi",,dgm_fentanylsources,d5490fc49f8768ccda5a6c5f011c50be,dgm_fentanylsources__d5490fc49f8768ccda5a6c5f011c50be
6628598050,"Anti Drug Authority in Hinggan League, Inner Mongolia",hingganleague,LegislativeCommittee,"Anti Drug Authority in Hinggan League, Inner Mongolia",,dgm_fentanylsources,319f8dca2851b205a7e02958ed281309,dgm_fentanylsources__319f8dca2851b205a7e02958ed281309
3716893953,"Anti Drug Authority in Jixi, Heilongjiang",jixi,Shipping,"Anti Drug Authority in Jixi, Heilongjiang",,dgm_fentanylsources,5c08f01f450c6aeee7cffc59652f02cd,dgm_fentanylsources__5c08f01f450c6aeee7cffc59652f02cd
2690026773,"Anti Drug Authority in Yuetang District, Xiangtang, Hunan",yuetangdistrict,LegislativeCommittee,"Anti Drug Authority in Yuetang District, Xiangtang, Hunan",,dgm_fentanylsources,f29a3c1170abe23aef5c2b1e93a5358d,dgm_fentanylsources__f29a3c1170abe23aef5c2b1e93a5358d
7495300000,"Anti Drug Authority in Yan'an, Shaanxi",yanan,Diplomat,"Anti Drug Authority in Yan'an, Shaanxi",,dgm_fentanylsources,1e8440b644479e035532dfbddaf5455f,dgm_fentanylsources__1e8440b644479e035532dfbddaf5455f
7070329162,"Anti Drug Authority in Dongxiang Autonomous County, Linxia, Gansu",dongxiangautonomouscounty,Shipping,"Anti Drug Authority in Dongxiang Autonomous County, Linxia, Gansu",,dgm_fentanylsources,4dceb3b6f3044b171d4e097c682a651b,dgm_fentanylsources__4dceb3b6f3044b171d4e097c682a651b
7104886870,"Anti Drug Authority in Xuancheng, Anhui",xuancheng,AAEntity,"Anti Drug Authority in Xuancheng, Anhui",,dgm_fentanylsources,d2a3371a733a656a3ae7677b3d5b3c99,dgm_fentanylsources__d2a3371a733a656a3ae7677b3d5b3c99
6585915935,"Anti Drug Authority in Dawukou District, Shizuishan, Ningxia",dawukoudistrict,Diplomat,"Anti Drug Authority in Dawukou District, Shizuishan, Ningxia",,dgm_fentanylsources,e5d61f6003af3f632845d4be0df8bab4,dgm_fentanylsources__e5d61f6003af3f632845d4be0df8bab4
6380590581,Anti Drug Authority in Sichuan,sichuan,IndustryTerm,Anti Drug Authority in Sichuan,,dgm_fentanylsources,f8d53d136f34d864f8f5a30bea8361f3,dgm_fentanylsources__f8d53d136f34d864f8f5a30bea8361f3
1631655117,"Anti Drug Authority in Mentougou District, Beijing",mentougoudistrict,ForeignMinister,"Anti Drug Authority in Mentougou District, Beijing",,dgm_fentanylsources,2420865a2ae8e8037e05370dd6884094,dgm_fentanylsources__2420865a2ae8e8037e05370dd6884094
6066042034,Anti Drug Authority in Liaoning,liaoning,News,Anti Drug Authority in Liaoning,,dgm_fentanylsources,af10e6797ee165039440576a75fa830a,dgm_fentanylsources__af10e6797ee165039440576a75fa830a
