keyword,keyword_upper,caption_name,location_name,location_lower,location (state),type,threshold,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
martinquezada,MartinQuezada,Arizona State Senator Quezada,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Quezada,,EO_Mentioner,7150c0bbf719aea2bd214ca375485a1c,EO_Mentioner__ce0d56b8e898eef72050831e7bac8074
rebeccarios,RebeccaRios,Arizona State Senator Rios,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Rios,,EO_Mentioner,9478927c98d3609c18fa38d7a9a79a6e,EO_Mentioner__d723d5451dfb1c3116e8ea2e4d145fee
bretroberts,BretRoberts,Arizona State Representative Roberts,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Roberts,,EO_Mentioner,ae85d7409972eab300987d950af29c25,EO_Mentioner__6fa525758a0813f3fda5c63f3bb4f130
diegorodriguez,DiegoRodriguez,Arizona State Representative Rodriguez,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Rodriguez,,EO_Mentioner,374363116146c48dc6fc17450572d4d8,EO_Mentioner__8353d0329b5919058c11ceaa41a307c2
wendyrogers,WendyRogers,Arizona State Senator Rogers,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Rogers,,EO_Mentioner,4e56ff43ccf8c8a7a4a745233c9c74d5,EO_Mentioner__c39c9310a8a1342901055a370fe40c9a
athenasalman,AthenaSalman,Arizona State Representative Salman,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Salman,,EO_Mentioner,bdc516436aeaf7208728d3c4eab32e9f,EO_Mentioner__c50501750430939a097efdb6f0351e37
judyschwiebert,JudySchwiebert,Arizona State Representative Schwiebert,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Schwiebert,,EO_Mentioner,1d2f8ee2bcd65dd15e91a1e11fba9c1b,EO_Mentioner__623152f28eedb26a9e355c1a8adfe80e
amishshah,AmishShah,Arizona State Representative Shah,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Shah,,EO_Mentioner,02c47801b469157acdc0330a969b92bc,EO_Mentioner__40a383068d4aafdeb4fdfbcabef31f67
thomasshope,ThomasShope,Arizona State Senator Shope,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Shope,,EO_Mentioner,05cc0c0f5b38a1ab8b1fe0bdec58789a,EO_Mentioner__d4583b6cc2e5311d6bbe20eaf25bb93e
lorenzosierra,LorenzoSierra,Arizona State Representative Sierra,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Sierra,,EO_Mentioner,faff0f77cf637007b3d4c2cd0165fe76,EO_Mentioner__098f5a7c53fe0e09c1b8e7a69befcdb9
stephaniestahl hamilton,StephanieStahl Hamilton,Arizona State Representative Hamilton,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Hamilton,,EO_Mentioner,cefd3a509fc0c9df4b4f611ffa60380f,EO_Mentioner__f231549f0faf4d1dc83c070db9bc38ef
victoriasteele,VictoriaSteele,Arizona State Senator Steele,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Steele,,EO_Mentioner,f618859fad14083d56e78c514bf210c7,EO_Mentioner__2359248eafe024a2b6f7ecc0124509a3
raquelterán,RaquelTerán,Arizona State Representative Teran,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Teran,,EO_Mentioner,35ca4b1a0b9dadc5d5f01340259928ad,EO_Mentioner__2d43bacc7a3f90d37f622717f67e9890
bentoma,BenToma,Arizona State Representative Toma,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Toma,,EO_Mentioner,1a66c7d8aa7cf3740ef6c9a5ff6aaee6,EO_Mentioner__46bdb300a37765680c3ae067413940bd
kellytownsend,KellyTownsend,Arizona State Representative Townsend,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Townsend,,EO_Mentioner,ce3834ff4aae8e11b1b012b6f6805001,EO_Mentioner__102b455b855ed6f8daae4c9379309fd0
myrontsosie,MyronTsosie,Arizona State Representative Tsosie,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Tsosie,,EO_Mentioner,7b7eb946d8d044aa5a7e9607450c91c5,EO_Mentioner__264e3e729ae7662acded3241e2bf7147
michelleudall,MichelleUdall,Arizona State Representative Udall,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Udall,,EO_Mentioner,6002dcb20fdc95993c8405f6fba930c7,EO_Mentioner__4e654502eced0f6943a455ae0b221e32
michelleugenti-rita,MichelleUgenti-Rita,Arizona State Senator Ungenti-Rita,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Senator Ungenti-Rita,,EO_Mentioner,014cb049c6374a4411233d173835d8a5,EO_Mentioner__a90a32ebf63f37d340b9fc4fc7126213
jeffweninger,JeffWeninger,Arizona State Representative Weninger,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Weninger,,EO_Mentioner,88be67064c58bc9663103b9849881526,EO_Mentioner__076fd7198756d83b813a524d4a2fc9ce
justinwilmeth,JustinWilmeth,Arizona State Representative Wilmeth,Arizona,arizona,Arizona,StateLegislator,general.alert4,Statelegislator,Arizona State Representative Wilmeth,,EO_Mentioner,4082acfc95af4b3b7df2e31c3b1d2558,EO_Mentioner__3cc8811079280a1a3093e9e357bb19ce
8thdistrictleg,8thdistrictleg,New Jersey State Senator Addiego,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Addiego,,EO_Mentioner,da43bfd7e387e4c3f97b25900e707879,EO_Mentioner__fdddb005f7e7ef837b15f50830c94b9e
kipbateman,kipbateman,New Jersey State Senator Bateman,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Bateman,,EO_Mentioner,ad93a5f27ce3a75d7506a1799da8610d,EO_Mentioner__a426a7b126e1a61ea243c8c84d37c3e1
chrisbrownnj,chrisbrownnj,New Jersey State Senator Brown,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Brown,,EO_Mentioner,b6a68fcc6b01de9e93912585eba4c3bd,EO_Mentioner__d931e5cad66d2db270aeba33c2f7e220
herbconaway,herbconaway,New Jersey State Assemblymember Herb Conaway,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Assemblymember Herb Conaway,,EO_Mentioner,c61bd1d6f38e583cd445590e84acd0a7,EO_Mentioner__cd7096792ce3a03ca2721e71b37258e8
corrado4senate,Corrado4Senate,New Jersey State Senator Corrado,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Corrado,,EO_Mentioner,49b0ad271b8220e91cc775724a7d5766,EO_Mentioner__33cc989ff0cfab1611661c09d60d15cf
deangelold14,DeAngeloLD14,New Jersey State Assemblymember Wayne DeAngelo,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Assemblymember Wayne DeAngelo,,EO_Mentioner,f70dee0e65cd1a08c295ea1b5b0b07bc,EO_Mentioner__4c0660d350155bcb75c6ba6e490882c5
patrickdiegnan,PatrickDiegnan,New Jersey State Senator Diegnan,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Diegnan,,EO_Mentioner,a4073ade8d89d2ec42714213ddf94d48,EO_Mentioner__e1dbb5c87dfa6186ebd77a65014912bd
mikedohertynj,mikedohertynj,New Jersey State Senator Doherty,New Jersey,new jersey,New Jersey,StateLegislator,general.alert4,Statelegislator,New Jersey State Senator Doherty,,EO_Mentioner,56cdab8e21a843628cf0e82719a2b030,EO_Mentioner__bff7e931371b41072de699360f53becf
