keyword,caption_name,topic_id,groups,location,guid,.1,.2,.3,.4,apple suppliers,.5,.6,.7,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
莱多斯,Leidos,188278,,,35dc6a4ae7eafabfc7f83b96160c3ca4,,n,,0,,,,3,LegislativeCommittee,Leidos,,dgm_weibo_media_mentionee,fa9a6fc557e92b79e61c3414b9191769,dgm_weibo_media_mentionee__a037fdd7c89237d1e8378e4474d2bfa1
英伟达,Nvidia,188278,,,3726d07b4ac6b2c2b4d9812a7b7a31b5,,n,,0,,,,3,LegislativeCommittee,Nvidia,,dgm_weibo_media_mentionee,beee49b49a39ffd12141a6d573f7ef32,dgm_weibo_media_mentionee__2a21e2561359ebf2fb2d634ee7837a8e
台积电,Taiwan Semiconductor Manufacturing Company,188278,,,3ad6bdc84f84f4c8f5a601b8b0e07dcf,,,,,,,,3,Pipeline,Taiwan Semiconductor Manufacturing Company,,dgm_weibo_media_mentionee,5f6873682e04a49b7e3c0cf1351f0704,dgm_weibo_media_mentionee__31b05270ba6e717d72ceed6a45179bf5
cvs,CVS Health,188278,,,480b1d303f9e1e9b2d443e70ac8d14b3,,n,,,,,,3,Diplomat,CVS Health,,dgm_weibo_media_mentionee,695bc0382a2bd30598e8375f1b620b9a,dgm_weibo_media_mentionee__4839614d974c15264cd68ea53ac2f03b
西维斯,CVS Health,188278,,,480b1d303f9e1e9b2d443e70ac8d14b3,,n,,1,,,,3,DiplomaticFacilities,CVS Health,,dgm_weibo_media_mentionee,46d7ced13f57234abf178ed5c794a985,dgm_weibo_media_mentionee__4839614d974c15264cd68ea53ac2f03b
星巴克,Starbucks,188278,,,4d5d540efa68f6e17b9f64d6b7e8ebc7,,n,,1,,,,3,DiplomaticFacilities,Starbucks,,dgm_weibo_media_mentionee,600a52cf3b3f1862e5af7e88f4151e3b,dgm_weibo_media_mentionee__e486aeca0b12918313aba2cc445c5cb4
爱彼迎,Airbnb,188278,,,549f9e87cdd69547c3f20392345a00b5,,n,,0,,,,3,Diplomat,Airbnb,,dgm_weibo_media_mentionee,cb884d9abcb553b6abfe39febf64e83f,dgm_weibo_media_mentionee__09e31a5bddc6d6628252a7bff57d5dce
斯味可,J.M. Smucker,188278,,,5b9ad876ccee7caae7e4e1234e41a4e7,,n,,1,,,,3,Consulates,J.M. Smucker,,dgm_weibo_media_mentionee,c772db6247a571af1336d62d83f75048,dgm_weibo_media_mentionee__d19864bb9626257633fc8da3bf453816
猫途鹰,TripAdvisor,188278,,,61b05c55f5c2708664bda58a68eed318,,n,,1,,,,3,Shipping,TripAdvisor,,dgm_weibo_media_mentionee,5acc1338fd1a4bb8bac7240e84c50f65,dgm_weibo_media_mentionee__d00887917cf4ecf7a02ef188112ff63f
hbo,HBO,188278,,,68820cdabfadbc0407cb902ff6f412d2,,n,,,,,,3,IndustryTerm,HBO,,dgm_weibo_media_mentionee,1928ebe31f2d9289ef3438e262f22563,dgm_weibo_media_mentionee__509e5f41146e278f9eab1ddaceb34515
高乐氏,Clorox,188278,,,6b87567bfa83ee4aa531bc9ea1f6f43c,,n,,0,,,,3,Organization,Clorox,,dgm_weibo_media_mentionee,3498a2f542557159e28162ad5da9ed6d,dgm_weibo_media_mentionee__1d64fa16957c7e8845c1a83bb0240d8b
利信达,Le Saunda Holdings,188278,,,6bf1a0e0d8139a649477c2a576c63c5c,,#N/A,,0,,,,3,Person,Le Saunda Holdings,,dgm_weibo_media_mentionee,fdbc0dfe7ea895c858ecb3cbf85a3c05,dgm_weibo_media_mentionee__89c7239e23386ad1fb072546755fd6d3
爱玛客,Aramark,188278,,,6f7df3ef97b14637087f04a1972e86b3,,n,,1,,,,3,AAEntity,Aramark,,dgm_weibo_media_mentionee,8a86cedb0e10a4eae3db1c5e902cf2f1,dgm_weibo_media_mentionee__4425fd8b0095594d03230e114a273dad
ppl,PPL,188278,,,708a9152b20dc2db2e2156970a4d6a28,,n,,,,,,3,Diplomat,PPL,,dgm_weibo_media_mentionee,3ed564f08f3c3c7fd757efa7f1f1d234,dgm_weibo_media_mentionee__050761d8d3202128b4990287d187f09a
多宝箱,Dropbox,188278,,,75a6131f845974797c5c2823b234ec0f,,n,,1,,,,3,Wells,Dropbox,,dgm_weibo_media_mentionee,2bebeba86d58cb8a6a422d5438d9467b,dgm_weibo_media_mentionee__f92aa92725095d5531f54b4589d99264
奥驰亚,Altria Group,188278,,,7826d229e1d1df2085a3014e49e3127b,,n,,1,,,,3,Exec,Altria Group,,dgm_weibo_media_mentionee,539816f4cf025f3b3f248596d28227bb,dgm_weibo_media_mentionee__5a63927483a432556f80ec1df9e5eaa2
英特尔,Intel,188278,,,79d16ab7312c744ea3cb3560c99820b7,,n,,0,y,,,3,News,Intel,,dgm_weibo_media_mentionee,2ece18079ba8e075af9731b70ab928b8,dgm_weibo_media_mentionee__ff97a9fdede09eaf6e1c8ec9f6a61dd5
mgm,MGM,188278,,,7afe2fa0360fc52fbf602c89787e893d,,n,,,,,,3,Pipeline,MGM,,dgm_weibo_media_mentionee,2faf239ad8f270e1ce578b85e31a123b,dgm_weibo_media_mentionee__7545bfa02e8c3cdfb20bcc3fa52a4794
艾伯维,AbbVie,188278,,,7f7f1f259450586c8366da36a1489ff8,,n,,0,,,,3,FTO,AbbVie,,dgm_weibo_media_mentionee,3f40c8b91f18a0127770105196924f13,dgm_weibo_media_mentionee__665d7d8b26be61d84f23b5abd7000da9
