keyword,caption_name,lat,lon,location_name,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@jannellerleung,Pro-democracy activist Janelle Leung,22.302711,114.177216,Hong Kong,188369,Wells,Pro-democracy activist Janelle Leung,,hk_ei_terms,919a62eb621c94033d4d6023ba4e0a7d,hk_ei_terms__919a62eb621c94033d4d6023ba4e0a7d
@emilylauwh,Former legislative council member Emily Lau,22.302711,114.177216,Hong Kong,188369,Wells,Former legislative council member Emily Lau,,hk_ei_terms,2abf27aab558ca4c5c7d7e895e8ab8b5,hk_ei_terms__2abf27aab558ca4c5c7d7e895e8ab8b5
@edithleung2,Former district councillor Edith Leung,22.302711,114.177216,Hong Kong,188369,Organization,Former district councillor Edith Leung,,hk_ei_terms,823a6b34d85821a4c8ca3038916e125d,hk_ei_terms__823a6b34d85821a4c8ca3038916e125d
@yauwaiching,Former legislative council member Yau Wai-ching,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Former legislative council member Yau Wai-ching,,hk_ei_terms,411f4c270495ef88e6ffcb4423ca4a9c,hk_ei_terms__411f4c270495ef88e6ffcb4423ca4a9c
@drkwanec,Former district councillor Kwan Ka-lun,22.302711,114.177216,Hong Kong,188369,Legislator,Former district councillor Kwan Ka-lun,,hk_ei_terms,7441bfba7b711f8b34c03165b09ecdbe,hk_ei_terms__7441bfba7b711f8b34c03165b09ecdbe
@alankahkitleong,Civic Party chairperson Alan Leung,22.302711,114.177216,Hong Kong,188369,News,Civic Party chairperson Alan Leung,,hk_ei_terms,e7fd8b5e3d9a68fc944ace1753118ef7,hk_ei_terms__e7fd8b5e3d9a68fc944ace1753118ef7
@chowsiulung,Hong Kong activist Herbert Chow,22.302711,114.177216,Hong Kong,188369,IndustryTerm,Hong Kong activist Herbert Chow,,hk_ei_terms,464eaf268f52d860746cff8a36eadbb1,hk_ei_terms__464eaf268f52d860746cff8a36eadbb1
@manyuen_ng,League of Social Democrats chairperson Avery Ng,22.302711,114.177216,Hong Kong,188369,Shipping,League of Social Democrats chairperson Avery Ng,,hk_ei_terms,f440e61f1d596b1928aee2e0f135530a,hk_ei_terms__f440e61f1d596b1928aee2e0f135530a
@michaelmohk,Former district councillor Michael Mo,22.302711,114.177216,Hong Kong,188369,AAEntity,Former district councillor Michael Mo,,hk_ei_terms,21ec6785bfab97a120b6288f691e1289,hk_ei_terms__21ec6785bfab97a120b6288f691e1289
@lokinhei,Democratic Party chairperson Lo Kin-hei,22.302711,114.177216,Hong Kong,188369,Organization,Democratic Party chairperson Lo Kin-hei,,hk_ei_terms,3b65a5fe67f4712939e3d7bf68498124,hk_ei_terms__3b65a5fe67f4712939e3d7bf68498124
@charlesmok,Former legislative council member Charles Mok,22.302711,114.177216,Hong Kong,188369,Media,Former legislative council member Charles Mok,,hk_ei_terms,b6ba261b724b69b6907cd48d91ebec47,hk_ei_terms__b6ba261b724b69b6907cd48d91ebec47
@lestershum,Former district councillor Lester Shum,22.302711,114.177216,Hong Kong,188369,Legislator,Former district councillor Lester Shum,,hk_ei_terms,79dc254640f73ed24455576829a2368a,hk_ei_terms__79dc254640f73ed24455576829a2368a
@nigelkwlee,Former district councillor Lee Ka-wai,22.302711,114.177216,Hong Kong,188369,space,Former district councillor Lee Ka-wai,,hk_ei_terms,0d89165bf431aac55c7c7bf09d471b72,hk_ei_terms__0d89165bf431aac55c7c7bf09d471b72
@samcheunghosum,Former district councillor Sam Cheung,22.302711,114.177216,Hong Kong,188369,Legislator,Former district councillor Sam Cheung,,hk_ei_terms,9e0cef715fa92880b613bc223b94b312,hk_ei_terms__9e0cef715fa92880b613bc223b94b312
@ray_wonghki,Pro-democracy activist Ray Wong,22.302711,114.177216,Hong Kong,188369,Diplomat,Pro-democracy activist Ray Wong,,hk_ei_terms,fe06e0c52f3d18ec110a48230cba3e98,hk_ei_terms__fe06e0c52f3d18ec110a48230cba3e98
@hongfenghuang,China Daily editor Wang Hao,22.302711,114.177216,Hong Kong,188369,Shipping,China Daily editor Wang Hao,,hk_ei_terms,d7497c24ba0f7ca1509b98dc16f86f46,hk_ei_terms__d7497c24ba0f7ca1509b98dc16f86f46
@kongtsunggan,Pro-democracy activist Kong Tsung-gan,22.302711,114.177216,Hong Kong,188369,News,Pro-democracy activist Kong Tsung-gan,,hk_ei_terms,5c4791dfea1dd1ff083884316aeecb05,hk_ei_terms__5c4791dfea1dd1ff083884316aeecb05
@richscotford,Pro-democracy activist Rich Scotford,22.302711,114.177216,Hong Kong,188369,Wells,Pro-democracy activist Rich Scotford,,hk_ei_terms,d4a869fa8fb1e9979d910bb14224293d,hk_ei_terms__d4a869fa8fb1e9979d910bb14224293d
@elmeryuen,Pro-democracy activist Elmer Yuen,22.302711,114.177216,Hong Kong,188369,Consulates,Pro-democracy activist Elmer Yuen,,hk_ei_terms,f05666ef22ff1132b0c9baaf62569d2a,hk_ei_terms__f05666ef22ff1132b0c9baaf62569d2a
@uryuhirano,Pro-democracy activist Uryu Hirano,22.302711,114.177216,Hong Kong,188369,ForeignMinistry,Pro-democracy activist Uryu Hirano,,hk_ei_terms,388449bb42a28036d6cf3da09bebb62d,hk_ei_terms__388449bb42a28036d6cf3da09bebb62d
@kwailamho,Pro-democracy activist Gwyneth Ho,22.302711,114.177216,Hong Kong,188369,Shipping,Pro-democracy activist Gwyneth Ho,,hk_ei_terms,91e2cf7fa1c17ecafcb8385ff33ecc54,hk_ei_terms__91e2cf7fa1c17ecafcb8385ff33ecc54
@yttai,Occupy Central founder Benny Tai,22.302711,114.177216,Hong Kong,188369,CompanyKeyword,Occupy Central founder Benny Tai,,hk_ei_terms,23fb2e244ed2f036acd091058f7674b0,hk_ei_terms__23fb2e244ed2f036acd091058f7674b0
@hksamyip,Former district councillor Sam Yip,22.302711,114.177216,Hong Kong,188369,AAEntity,Former district councillor Sam Yip,,hk_ei_terms,8034935f8be8396bb4d096d53931304b,hk_ei_terms__8034935f8be8396bb4d096d53931304b
@samuelmchu,Pro-democracy activist Samuel Chu,22.302711,114.177216,Hong Kong,188369,Person,Pro-democracy activist Samuel Chu,,hk_ei_terms,8465ca0b10488168e7c98fd4151b921a,hk_ei_terms__8465ca0b10488168e7c98fd4151b921a
