keyword,caption_name,location_lower,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Country,Country,Equatorial Guinea,,dgm_traveladvisories_countries_aus,a38c2761908be5cef4a98ef5b3402ac9,dgm_traveladvisories_countries_aus__a38c2761908be5cef4a98ef5b3402ac9
Eritrea,Eritrea,Eritrea,Country,Country,Eritrea,,dgm_traveladvisories_countries_aus,c9c9f116f74ac9d7e60dc415523dfeff,dgm_traveladvisories_countries_aus__c9c9f116f74ac9d7e60dc415523dfeff
Estonia,Estonia,Estonia,Country,Country,Estonia,,dgm_traveladvisories_countries_aus,7755415a9fe7022060b98a689236ccd2,dgm_traveladvisories_countries_aus__7755415a9fe7022060b98a689236ccd2
Ethiopia,Ethiopia,Ethiopia,Country,Country,Ethiopia,,dgm_traveladvisories_countries_aus,e299d7cb0f7866cce7d90da2af14047c,dgm_traveladvisories_countries_aus__e299d7cb0f7866cce7d90da2af14047c
Fiji,Fiji,Fiji,Country,Country,Fiji,,dgm_traveladvisories_countries_aus,55b0c4d4efa00b59643b2e6a6e7c18c0,dgm_traveladvisories_countries_aus__55b0c4d4efa00b59643b2e6a6e7c18c0
Finland,Finland,Finland,Country,Country,Finland,,dgm_traveladvisories_countries_aus,6f781c6559a0c605da918096bdb69edf,dgm_traveladvisories_countries_aus__6f781c6559a0c605da918096bdb69edf
France (learn the regions),France (learn the regions),France (learn the regions),Country,Country,France (learn the regions),,dgm_traveladvisories_countries_aus,2036087e6d8a43067ab1360719606dc0,dgm_traveladvisories_countries_aus__2036087e6d8a43067ab1360719606dc0
French Polynesia,French Polynesia,French Polynesia,Country,Country,French Polynesia,,dgm_traveladvisories_countries_aus,8e49db69269b7f99afa25722e87fa67e,dgm_traveladvisories_countries_aus__8e49db69269b7f99afa25722e87fa67e
Gabon,Gabon,Gabon,Country,Country,Gabon,,dgm_traveladvisories_countries_aus,fceb5af40df295d85851f390f4f8d78d,dgm_traveladvisories_countries_aus__fceb5af40df295d85851f390f4f8d78d
Gambia,Gambia,Gambia,Country,Country,Gambia,,dgm_traveladvisories_countries_aus,e2a96e074e1d8a6f6de56abbd4a4d8dc,dgm_traveladvisories_countries_aus__e2a96e074e1d8a6f6de56abbd4a4d8dc
Georgia,Georgia,Georgia,Country,Country,Georgia,,dgm_traveladvisories_countries_aus,eada819634d0164c6a7547bdcc405033,dgm_traveladvisories_countries_aus__eada819634d0164c6a7547bdcc405033
Germany,Germany,Germany,Country,Country,Germany,,dgm_traveladvisories_countries_aus,d8b00929dec65d422303256336ada04f,dgm_traveladvisories_countries_aus__d8b00929dec65d422303256336ada04f
Ghana,Ghana,Ghana,Country,Country,Ghana,,dgm_traveladvisories_countries_aus,e7400496f1ce70cb62c2c44ca2ddc469,dgm_traveladvisories_countries_aus__e7400496f1ce70cb62c2c44ca2ddc469
Greece,Greece,Greece,Country,Country,Greece,,dgm_traveladvisories_countries_aus,6b718641741f992e68ec3712718561b8,dgm_traveladvisories_countries_aus__6b718641741f992e68ec3712718561b8
Grenada,Grenada,Grenada,Country,Country,Grenada,,dgm_traveladvisories_countries_aus,45b1cb9a558807139085c645d2f47f07,dgm_traveladvisories_countries_aus__45b1cb9a558807139085c645d2f47f07
Guatemala,Guatemala,Guatemala,Country,Country,Guatemala,,dgm_traveladvisories_countries_aus,948b13d5a3e11e21baadc349e199020e,dgm_traveladvisories_countries_aus__948b13d5a3e11e21baadc349e199020e
Guinea,Guinea,Guinea,Country,Country,Guinea,,dgm_traveladvisories_countries_aus,8e4d9eeed250a9d065ac2bb8bdc67b30,dgm_traveladvisories_countries_aus__8e4d9eeed250a9d065ac2bb8bdc67b30
Guinea Bissau,Guinea Bissau,Guinea Bissau,Country,Country,Guinea Bissau,,dgm_traveladvisories_countries_aus,f0635c6687aa547cee20a225215466ec,dgm_traveladvisories_countries_aus__f0635c6687aa547cee20a225215466ec
Guyana,Guyana,Guyana,Country,Country,Guyana,,dgm_traveladvisories_countries_aus,cf4c7e1169281886577940e361854a84,dgm_traveladvisories_countries_aus__cf4c7e1169281886577940e361854a84
Haiti,Haiti,Haiti,Country,Country,Haiti,,dgm_traveladvisories_countries_aus,b88959cb7d907d91065ac7ec19eb0b44,dgm_traveladvisories_countries_aus__b88959cb7d907d91065ac7ec19eb0b44
Honduras,Honduras,Honduras,Country,Country,Honduras,,dgm_traveladvisories_countries_aus,f4270ce39e7e926052e097a0e4e63bde,dgm_traveladvisories_countries_aus__f4270ce39e7e926052e097a0e4e63bde
Hungary,Hungary,Hungary,Country,Country,Hungary,,dgm_traveladvisories_countries_aus,fa79c3005daec47ecff84a116a0927a1,dgm_traveladvisories_countries_aus__fa79c3005daec47ecff84a116a0927a1
Iceland,Iceland,Iceland,Country,Country,Iceland,,dgm_traveladvisories_countries_aus,b78edab0f52e0d6c195fd0d8c5709d26,dgm_traveladvisories_countries_aus__b78edab0f52e0d6c195fd0d8c5709d26
India,India,India,Country,Country,India,,dgm_traveladvisories_countries_aus,7d31e0da1ab99fe8b08a22118e2f402b,dgm_traveladvisories_countries_aus__7d31e0da1ab99fe8b08a22118e2f402b
Indonesia,Indonesia,Indonesia,Country,Country,Indonesia,,dgm_traveladvisories_countries_aus,4647d00cf81f8fb0ab80f753320d0fc9,dgm_traveladvisories_countries_aus__4647d00cf81f8fb0ab80f753320d0fc9
Iran,Iran,Iran,Country,Country,Iran,,dgm_traveladvisories_countries_aus,21fc68909a9eb8692e84cf64e495213e,dgm_traveladvisories_countries_aus__21fc68909a9eb8692e84cf64e495213e
Iraq,Iraq,Iraq,Country,Country,Iraq,,dgm_traveladvisories_countries_aus,5ae2ff99743a8487c917e98bbf3db2d3,dgm_traveladvisories_countries_aus__5ae2ff99743a8487c917e98bbf3db2d3
Ireland,Ireland,Ireland,Country,Country,Ireland,,dgm_traveladvisories_countries_aus,06e415f918c577f07328a52e24f75d43,dgm_traveladvisories_countries_aus__06e415f918c577f07328a52e24f75d43
Israel,Israel,Israel,Country,Country,Israel,,dgm_traveladvisories_countries_aus,5a548c2f5875f10bf5614b7c258876cf,dgm_traveladvisories_countries_aus__5a548c2f5875f10bf5614b7c258876cf
Italy,Italy,Italy,Country,Country,Italy,,dgm_traveladvisories_countries_aus,1007e1b7f894dfbf72a0eaa80f3bc57e,dgm_traveladvisories_countries_aus__1007e1b7f894dfbf72a0eaa80f3bc57e
Jamaica,Jamaica,Jamaica,Country,Country,Jamaica,,dgm_traveladvisories_countries_aus,1add2eb41fcae9b2a15b4a7d68571409,dgm_traveladvisories_countries_aus__1add2eb41fcae9b2a15b4a7d68571409
Japan,Japan,Japan,Country,Country,Japan,,dgm_traveladvisories_countries_aus,53a577bb3bc587b0c28ab808390f1c9b,dgm_traveladvisories_countries_aus__53a577bb3bc587b0c28ab808390f1c9b
Jordan,Jordan,Jordan,Country,Country,Jordan,,dgm_traveladvisories_countries_aus,6ea1e24d60afddf388b06f8243c45b70,dgm_traveladvisories_countries_aus__6ea1e24d60afddf388b06f8243c45b70
Kazakhstan,Kazakhstan,Kazakhstan,Country,Country,Kazakhstan,,dgm_traveladvisories_countries_aus,7c1a943bf29d2c753fb935e99428482c,dgm_traveladvisories_countries_aus__7c1a943bf29d2c753fb935e99428482c
Kenya,Kenya,Kenya,Country,Country,Kenya,,dgm_traveladvisories_countries_aus,94984a8c4896946d9bafd24959cb6181,dgm_traveladvisories_countries_aus__94984a8c4896946d9bafd24959cb6181
Kiribati,Kiribati,Kiribati,Country,Country,Kiribati,,dgm_traveladvisories_countries_aus,5445aab1db1bff113667140ec2e95742,dgm_traveladvisories_countries_aus__5445aab1db1bff113667140ec2e95742
Kuwait,Kuwait,Kuwait,Country,Country,Kuwait,,dgm_traveladvisories_countries_aus,05387f3ca38d7bd84ae35f31f2899ecf,dgm_traveladvisories_countries_aus__05387f3ca38d7bd84ae35f31f2899ecf
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Country,Country,Kyrgyzstan,,dgm_traveladvisories_countries_aus,5e4a24f76c22f03700b283dfbdf6eec1,dgm_traveladvisories_countries_aus__5e4a24f76c22f03700b283dfbdf6eec1
Laos,Laos,Laos,Country,Country,Laos,,dgm_traveladvisories_countries_aus,601aebf4afb1db3fdb5c88f3cdda23ef,dgm_traveladvisories_countries_aus__601aebf4afb1db3fdb5c88f3cdda23ef
Latvia,Latvia,Latvia,Country,Country,Latvia,,dgm_traveladvisories_countries_aus,a09f4b2ae67f0a63ab8912047a1a1b55,dgm_traveladvisories_countries_aus__a09f4b2ae67f0a63ab8912047a1a1b55
