keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
beaurivage.com,Beau Rivage,,,,DiplomaticFacilities,Beau Rivage,,shodan_keyword_to_guid,c11377b4d2354a18855fbc62b0cedadb,shodan_keyword_to_guid__c11377b4d2354a18855fbc62b0cedadb
beau rivage palace,Beau Rivage,,,,Consulates,Beau Rivage,,shodan_keyword_to_guid,c11377b4d2354a18855fbc62b0cedadb,shodan_keyword_to_guid__c11377b4d2354a18855fbc62b0cedadb
bechtel.com,Bechtel,,,,Consulates,Bechtel,,shodan_keyword_to_guid,45a4fbefd7f49d18cb931b3c581dce68,shodan_keyword_to_guid__45a4fbefd7f49d18cb931b3c581dce68
bechtel corporation,Bechtel,,,,News,Bechtel,,shodan_keyword_to_guid,45a4fbefd7f49d18cb931b3c581dce68,shodan_keyword_to_guid__45a4fbefd7f49d18cb931b3c581dce68
bechtel global corporation,Bechtel,,,,ForeignMinister,Bechtel,,shodan_keyword_to_guid,45a4fbefd7f49d18cb931b3c581dce68,shodan_keyword_to_guid__45a4fbefd7f49d18cb931b3c581dce68
kochfoods.com,Koch Foods,6722268f4bab041abf4e50b0cbbdd3ca,,,Organization,Koch Foods,,shodan_keyword_to_guid,378adc3348ca5c633b8ec5a8a06f516d,shodan_keyword_to_guid__378adc3348ca5c633b8ec5a8a06f516d
koch foods incorporated,Koch Foods,6722268f4bab041abf4e50b0cbbdd3ca,,,LegislativeCommittee,Koch Foods,,shodan_keyword_to_guid,378adc3348ca5c633b8ec5a8a06f516d,shodan_keyword_to_guid__378adc3348ca5c633b8ec5a8a06f516d
bench.com,Benchmark Electronics,29365b033e7d0e5bb0e3034314f76eb3,,,Media,Benchmark Electronics,,shodan_keyword_to_guid,f92433c3c4ebf30af5410807ceeb7975,shodan_keyword_to_guid__f92433c3c4ebf30af5410807ceeb7975
benchmark electronics,Benchmark Electronics,29365b033e7d0e5bb0e3034314f76eb3,,,ForeignMinister,Benchmark Electronics,,shodan_keyword_to_guid,f92433c3c4ebf30af5410807ceeb7975,shodan_keyword_to_guid__f92433c3c4ebf30af5410807ceeb7975
u-haul.com,U-Haul,3a991b47125921dba181b242dd96b5a3,,,Refinery,U-Haul,,shodan_keyword_to_guid,1b71ced68ecb91a8bc1fcc6fd3db7b7d,shodan_keyword_to_guid__1b71ced68ecb91a8bc1fcc6fd3db7b7d
uhaul international,U-Haul,3a991b47125921dba181b242dd96b5a3,,,IndustryTerm,U-Haul,,shodan_keyword_to_guid,1b71ced68ecb91a8bc1fcc6fd3db7b7d,shodan_keyword_to_guid__1b71ced68ecb91a8bc1fcc6fd3db7b7d
u-haul international inc,U-Haul,3a991b47125921dba181b242dd96b5a3,,,Organization,U-Haul,,shodan_keyword_to_guid,1b71ced68ecb91a8bc1fcc6fd3db7b7d,shodan_keyword_to_guid__1b71ced68ecb91a8bc1fcc6fd3db7b7d
benjaminmoore.com,Benjamin Moore,a5d91bcc184582038da424d86dbfb176,,,Wells,Benjamin Moore,,shodan_keyword_to_guid,d18b585d715615c0e57bd2f18c3dde79,shodan_keyword_to_guid__d18b585d715615c0e57bd2f18c3dde79
