german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
johanniskamp,"Johanniskamp in Hanover, Germany",52.3222583,9.6917451,1,,,,,,,,,Pipeline,"Johanniskamp in Hanover, Germany",,german_fires_hannover_locations,492f2b80580ae4a51d243bd97bd72809,german_fires_hannover_locations__633f0246a5548254678f8d088fb76d55
johannssenstrasse,"Johannssenstrasse in Hanover, Germany",52.3731046,9.7476702,1,,,,,,,,,DiplomaticFacilities,"Johannssenstrasse in Hanover, Germany",,german_fires_hannover_locations,73d627e9542c481f391d20461222a699,german_fires_hannover_locations__7f29baf82e4a8ccac9a11f1040094e83
john-mott-hof,"John-Mott-Hof in Hanover, Germany",52.3896749,9.8147141,1,,,,,,,,,ForeignMinister,"John-Mott-Hof in Hanover, Germany",,german_fires_hannover_locations,e1ad1cfcfff68cc0effd5638b95e1f8b,german_fires_hannover_locations__74537917665522a283478c4ef086bf56
jonathanweg,"Jonathanweg in Hanover, Germany",52.3493085,9.8124803,1,,,,,,,,,Diplomat,"Jonathanweg in Hanover, Germany",,german_fires_hannover_locations,5a12c9af435e8beb484620d88c05844f,german_fires_hannover_locations__8a2d5f274e08616c19bb3d857a5338cf
jordanstrasse,"Jordanstrasse in Hanover, Germany",52.3604275,9.7634638,1,,,,,,,,,ForeignMinistry,"Jordanstrasse in Hanover, Germany",,german_fires_hannover_locations,ee1b7fc8abf2f977e7b8295ec3188361,german_fires_hannover_locations__dbee56404f1175c89de656bec506581c
jorindeweg,"Jorindeweg in Hanover, Germany",52.4170141,9.7701197,1,,,,,,,,,News,"Jorindeweg in Hanover, Germany",,german_fires_hannover_locations,04f32ec5432b63e3d430fec93bbe566d,german_fires_hannover_locations__a757af6df90119eedb101cbf07332df3
juglerstrasse,"Juglerstrasse in Hanover, Germany",52.3755505,9.7996177,1,,,,,,,,,CompanyKeyword,"Juglerstrasse in Hanover, Germany",,german_fires_hannover_locations,df85e0138f99850eaa90f52d882eeb58,german_fires_hannover_locations__8d1676cb6de58536c5560e3a065605b6
juister weg,"Juister Weg in Hanover, Germany",52.3975025,9.7437188,1,,,,,,,,,News,"Juister Weg in Hanover, Germany",,german_fires_hannover_locations,a0bacf8019afea53c314658b2aca1047,german_fires_hannover_locations__10755d9495e1924e5db5f67a71727cd4
julius-brecht-strasse,"Julius-Brecht-strasse in Hanover, Germany",52.3841393,9.8284379,1,,,,,,,,,News,"Julius-Brecht-strasse in Hanover, Germany",,german_fires_hannover_locations,8f719b21d8cce882e58446b180367298,german_fires_hannover_locations__c833b479d890df0ecc8a2f84718dd2fc
julius-leber-weg,"Julius-Leber-Weg in Hanover, Germany",52.3456533,9.6851249,1,,,,,,,,,Organization,"Julius-Leber-Weg in Hanover, Germany",,german_fires_hannover_locations,0cef1628afe9afa8f30c88ad3c534070,german_fires_hannover_locations__fd5dab6175979ef49b2a4bbc7582049e
junkersstrasse,"Junkersstrasse in Hanover, Germany",52.4180599,9.7409765,1,,,,,,,,,DiplomaticFacilities,"Junkersstrasse in Hanover, Germany",,german_fires_hannover_locations,e4b684ed95bffe3c8d2615062773b5b1,german_fires_hannover_locations__c6b994126e87bc0444b4bc3575a61749
juraweg,"Juraweg in Hanover, Germany",52.3657895,9.6621929,1,,,,,,,,,Diplomat,"Juraweg in Hanover, Germany",,german_fires_hannover_locations,93e1b8932bf19d58201e198ce110ae04,german_fires_hannover_locations__640e9328da13d77ae8647611d7700d35
jadekamp,"Jadekamp in Hanover, Germany",52.4160147,9.6420264,1,,,,,,,,,AAEntity,"Jadekamp in Hanover, Germany",,german_fires_hannover_locations,f96c3f0a902b0c22049cddb270c48be1,german_fires_hannover_locations__e6d6888b526ab1a9970612f31b4d39bf
