keyword,caption_name,topic_id,.1,.2,.3,.4,.5,.6,.7,.8,.9,.10,.11,.12,.13,.14,.15,.16,.17,Source link,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
vidor animal control,Vidor Animal Control,188153,,,,,,,,,,,,,,,,,,http://cityofvidor.com,Keyphrase,Vidor Animal Control,,burbio_groups,0a0770474440b1f03ca0e2ec668c8294,burbio_groups__0a0770474440b1f03ca0e2ec668c8294
city of warren animal control,City of Warren Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.cityofwarren.org/departments/city-clerk/pets-lost-found,Organization,City of Warren Animal Control,,burbio_groups,1d5649c69e06c9e7b018d64876777e5f,burbio_groups__1d5649c69e06c9e7b018d64876777e5f
city of wylie animal control,City of Wylie Animal Control,188153,,,,,,,,,,,,,,,,,,http://www.wylietexas.gov/departments/animal_services,IndustryTerm,City of Wylie Animal Control,,burbio_groups,fb549f4b517986efa8a40d7f4064d872,burbio_groups__fb549f4b517986efa8a40d7f4064d872
coachella valley animal campus,Coachella Valley Animal Campus,188153,,,,,,,,,,,,,,,,,,http://co.riverside.ca.us,Person,Coachella Valley Animal Campus,,burbio_groups,02edbc7df3ec15e2d015f623558c4a47,burbio_groups__02edbc7df3ec15e2d015f623558c4a47
collier county animal services,Collier County Animal Services,188153,,,,,,,,,,,,,,,,,,https://www.colliercountyfl.gov/,AAEntity,Collier County Animal Services,,burbio_groups,408a2a01405ca79e1cf82731b9fbbf9f,burbio_groups__408a2a01405ca79e1cf82731b9fbbf9f
collin county animal services,Collin County Animal Services,188153,,,,,,,,,,,,,,,,,,https://www.collincountytx.gov/Pages/default.aspx,LegislativeCommittee,Collin County Animal Services,,burbio_groups,3940a22247b06d8626a60a25992f6dea,burbio_groups__3940a22247b06d8626a60a25992f6dea
davidson county animal shelter,Davidson County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://co.davidson.nc.us,Person,Davidson County Animal Shelter,,burbio_groups,ff8bc5802a2cdb53a9dcbf4a6e485769,burbio_groups__ff8bc5802a2cdb53a9dcbf4a6e485769
davis county animal shelter,Davis County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://www.co.davis.ut.us/,IndustryTerm,Davis County Animal Shelter,,burbio_groups,ebd70e6d79b2ecbed1a07fa6bf88f26f,burbio_groups__ebd70e6d79b2ecbed1a07fa6bf88f26f
friends of desoto county animal shelter,Friends of Desoto County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://desotocountyms.gov,Pipeline,Friends of Desoto County Animal Shelter,,burbio_groups,62b384895a75dbfcd5a64b5bb2f20f34,burbio_groups__62b384895a75dbfcd5a64b5bb2f20f34
fairfax county animal shelter,Fairfax County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://fairfaxcounty.gov,LegislativeCommittee,Fairfax County Animal Shelter,,burbio_groups,ce767cccb50ea8d0fe3527c47e02ccdf,burbio_groups__ce767cccb50ea8d0fe3527c47e02ccdf
germantown animal shelter,Germantown Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://germantown-tn.gov,Keyphrase,Germantown Animal Shelter,,burbio_groups,6b6a5a72240fd130ce7dd438deb2c83b,burbio_groups__6b6a5a72240fd130ce7dd438deb2c83b
grayson county animal control,Grayson County Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.co.grayson.tx.us/,LegislativeCommittee,Grayson County Animal Control,,burbio_groups,e3b5ae938e5bf141607197dd576dbf40,burbio_groups__e3b5ae938e5bf141607197dd576dbf40
greene county animal control,Greene County Animal Control,188153,,,,,,,,,,,,,,,,,,https://www.co.greene.oh.us/112/Animal-Control,ForeignMinistry,Greene County Animal Control,,burbio_groups,6a9ba450a5814eddac513b01725d6230,burbio_groups__6a9ba450a5814eddac513b01725d6230
hanover county animal control and shelter,Hanover County Animal Control and Shelter,188153,,,,,,,,,,,,,,,,,,https://www.hanovercounty.gov/,LegislativeCommittee,Hanover County Animal Control and Shelter,,burbio_groups,1560e3d297e65016b31de1f634063411,burbio_groups__1560e3d297e65016b31de1f634063411
hernando county animal services,Hernando County Animal Services,188153,,,,,,,,,,,,,,,,,,http://hernandocounty.us,Organization,Hernando County Animal Services,,burbio_groups,fb021ab9ddad2e35139c04cc3068a8d9,burbio_groups__fb021ab9ddad2e35139c04cc3068a8d9
iredell county animal services and control department,Iredell County Animal Services and Control Department,188153,,,,,,,,,,,,,,,,,,http://co.iredell.nc.us/,CompanyKeyword,Iredell County Animal Services and Control Department,,burbio_groups,bac8667f638b90af0446f00d2d381b8e,burbio_groups__bac8667f638b90af0446f00d2d381b8e
king william regional animal shelter,King William Regional Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://kingwilliamcounty.us,IndustryTerm,King William Regional Animal Shelter,,burbio_groups,554ce4b23587835adcce3fb1225437fc,burbio_groups__554ce4b23587835adcce3fb1225437fc
lake county animal shelter,Lake County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://lakecountyfl.gov,Diplomat,Lake County Animal Shelter,,burbio_groups,3f54fb01f87622c60843509d3fa1a5d7,burbio_groups__3f54fb01f87622c60843509d3fa1a5d7
licking county animal shelter,Licking County Animal Shelter,188153,,,,,,,,,,,,,,,,,,https://lickingcounty.gov/,Exec,Licking County Animal Shelter,,burbio_groups,9fdda7811fb4ba18bcd8d64e6ac7b2d7,burbio_groups__9fdda7811fb4ba18bcd8d64e6ac7b2d7
los angeles county animal shelter,Los Angeles County Animal Shelter,188153,,,,,,,,,,,,,,,,,,http://animalcare.lacounty.gov,Person,Los Angeles County Animal Shelter,,burbio_groups,266ec16fcd14d40adb4ed45da405eb20,burbio_groups__266ec16fcd14d40adb4ed45da405eb20
loudoun county animal services,Loudoun County Animal Services,188153,,,,,,,,,,,,,,,,,,https://www.loudoun.gov/,Media,Loudoun County Animal Services,,burbio_groups,95a6f0e8d4098dc0a8b9ce5076bce684,burbio_groups__95a6f0e8d4098dc0a8b9ce5076bce684
madison animal control office,Madison Animal Control Office,188153,,,,,,,,,,,,,,,,,,http://co.madison.il.us,FTO,Madison Animal Control Office,,burbio_groups,023fd168083c8d88d64d7d5693d12bae,burbio_groups__023fd168083c8d88d64d7d5693d12bae
maricopa county animal care & control events,Maricopa County Animal Care and Control,188153,,,,,,,,,,,,,,,,,,https://www.maricopa.gov/,Wells,Maricopa County Animal Care and Control,,burbio_groups,e5242d85402b34717066a4645648cadd,burbio_groups__e5242d85402b34717066a4645648cadd
