handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
naveed360,Defense reporter,ForeignMinister,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
asirifernandolk,Defense reporter,Organization,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
kianpourworld,Defense reporter,FTO,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
rupaharia,Defense reporter,Refinery,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
los_fisher,Defense reporter,ForeignMinister,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
chrisg_nsf,Defense reporter,Wells,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
sandra_i_erwin,Defense reporter,IndustryTerm,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
topol_mss27,Defense reporter,ForeignMinister,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
acapaccio,Defense reporter,Legislator,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
adegrandpre,Defense reporter,Shipping,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
alexwardvox,Defense reporter,Media,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
amyfiscus,Defense reporter,DiplomaticFacilities,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
andclev,Defense reporter,DiplomaticFacilities,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
andrewtilghman,Defense reporter,IndustryTerm,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
ashleytressel,Defense reporter,ForeignMinistry,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
avweekguy,Defense reporter,Person,Defense reporter,,basementions_mentioner,aaacac6e3e713fe9a68334b9c381dfbd,basementions_mentioner__aaacac6e3e713fe9a68334b9c381dfbd
