native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ubijena,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinistry,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ubijeni,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ubijene,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,Exec,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ubito,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ubiti,kill,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
pucnjava,shooting,Shooting incident reported,4,Crime - Non-Active,188297,FTO,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjave,shooting,Shooting incident reported,4,Crime - Non-Active,188297,FTO,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjavu,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Wells,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjavom,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Media,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjavi,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Wells,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucanje,shooting,Shooting incident reported,4,Crime - Non-Active,188297,Organization,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjavama,shooting,Shooting incident reported,4,Crime - Non-Active,188297,CompanyKeyword,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucanj,shot,Shooting incident reported,4,Crime - Non-Active,188297,Pipeline,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucnjevi,shot,Shooting incident reported,4,Crime - Non-Active,188297,Diplomat,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
pucao,shot,Shooting incident reported,4,Crime - Non-Active,188297,Organization,Shooting incident reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,4303bfba06f1f90b9c99416270908924,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__4303bfba06f1f90b9c99416270908924
