handle,caption_name,location,Type,location_lower,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
officialtulisa,Singer Tulisa,United States,Entertainment,united states,Entertainment,Singer Tulisa,,entertainment_mentioner,3e2df4ddc70481cf7a822f25cb617c15,entertainment_mentioner__3e2df4ddc70481cf7a822f25cb617c15
pattiemallette,Author or Justin Bieber's mother Pattie Mallette,United States,Entertainment,united states,Entertainment,Author or Justin Bieber's mother Pattie Mallette,,entertainment_mentioner,aa833e3f6a264042fe733539e1ddfde6,entertainment_mentioner__aa833e3f6a264042fe733539e1ddfde6
jenniwoww,JWoww,United States,Entertainment,united states,Entertainment,JWoww,,entertainment_mentioner,82d0a48c8b7cb912f50142852482f8c6,entertainment_mentioner__82d0a48c8b7cb912f50142852482f8c6
345__chan,Singer Rino Sashihara,United States,Entertainment,united states,Entertainment,Singer Rino Sashihara,,entertainment_mentioner,776bae275f78e99cef1fac93fcb5fa90,entertainment_mentioner__776bae275f78e99cef1fac93fcb5fa90
atsushilonboo,Comedian Atsushi Tamura,United States,Entertainment,united states,Entertainment,Comedian Atsushi Tamura,,entertainment_mentioner,984b178dd77a2c7e9f852450220a67cd,entertainment_mentioner__984b178dd77a2c7e9f852450220a67cd
ninagarcia,Journalist Nina Garcia,United States,Entertainment,united states,Entertainment,Journalist Nina Garcia,,entertainment_mentioner,eb50f5af921f5a90bdcb2065911734b3,entertainment_mentioner__eb50f5af921f5a90bdcb2065911734b3
emreaydin,Singer Emre Aydin,United States,Entertainment,united states,Entertainment,Singer Emre Aydin,,entertainment_mentioner,46b05f48a47bf6af239e44909f6cc9b5,entertainment_mentioner__46b05f48a47bf6af239e44909f6cc9b5
stampapiwat,Singer Stamp,United States,Entertainment,united states,Entertainment,Singer Stamp,,entertainment_mentioner,aafb82668a972b79812d69160f721a4d,entertainment_mentioner__aafb82668a972b79812d69160f721a4d
cuppymusic,DJ Cuppy,United States,Entertainment,united states,Entertainment,DJ Cuppy,,entertainment_mentioner,2a7098910533141147d3e446939d2b3b,entertainment_mentioner__2a7098910533141147d3e446939d2b3b
roymouni,Actor Mouni Roy,United States,Entertainment,united states,Entertainment,Actor Mouni Roy,,entertainment_mentioner,81ef6255924d00befd861c0c3eef1721,entertainment_mentioner__81ef6255924d00befd861c0c3eef1721
thatkevinsmith,Filmmaker Kevin Smith,United States,Entertainment,united states,Entertainment,Filmmaker Kevin Smith,,entertainment_mentioner,00d369aa088da5fa94cc5f1952c64c9b,entertainment_mentioner__00d369aa088da5fa94cc5f1952c64c9b
madisonbeer,Singer Madison Beer,United States,Entertainment,united states,Entertainment,Singer Madison Beer,,entertainment_mentioner,7d3fb627aaae02763ac4229d5cf1baae,entertainment_mentioner__7d3fb627aaae02763ac4229d5cf1baae
mrjamesmay,Television personality James May,United States,Entertainment,united states,Entertainment,Television personality James May,,entertainment_mentioner,9056fe2f091c95d638c59c68620054a4,entertainment_mentioner__9056fe2f091c95d638c59c68620054a4
andrescepeda,Singer Andres Cepeda,United States,Entertainment,united states,Entertainment,Singer Andres Cepeda,,entertainment_mentioner,d9e7239fc68a051801cfa2e221ce6340,entertainment_mentioner__d9e7239fc68a051801cfa2e221ce6340
tomfelton,Tom Felton,United States,Entertainment,united states,Entertainment,Tom Felton,,entertainment_mentioner,3575418b323a35fbb1b57dcf2dd9e839,entertainment_mentioner__3575418b323a35fbb1b57dcf2dd9e839
iambeckyg,Singer Becky G,United States,Entertainment,united states,Entertainment,Singer Becky G,,entertainment_mentioner,3849a887342ec21ee6685ccde0b59a57,entertainment_mentioner__3849a887342ec21ee6685ccde0b59a57
