org,caption_name,guid,hq_address,hq_lat,hq_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
glassdoor,Glassdoor,,"100 Shoreline Highway Building A Mill Valley, CA, USA",37.880471,-122.5151744,Media,Glassdoor,,bug_bounty_hackerone_mapping,a31869eb7928df122ceb2f81e27d7e85,bug_bounty_hackerone_mapping__a31869eb7928df122ceb2f81e27d7e85
dropbox,Dropbox,75a6131f845974797c5c2823b234ec0f,"Dropbox HQ, San Francisco, CA, USA",37.7660393,-122.3930894,DiplomaticFacilities,Dropbox,,bug_bounty_hackerone_mapping,f92aa92725095d5531f54b4589d99264,bug_bounty_hackerone_mapping__f92aa92725095d5531f54b4589d99264
vimeo,Vimeo,,"555 West 18th Street New York, NY 10011 United States",40.7455869,-74.0076567,Refinery,Vimeo,,bug_bounty_hackerone_mapping,15db599e0119be476d71bfc1fda72217,bug_bounty_hackerone_mapping__15db599e0119be476d71bfc1fda72217
priceline,Priceline,,"800 Connecticut Avenue, Norwalk, CT, 06854",41.0930242,-73.4539645,Diplomat,Priceline,,bug_bounty_hackerone_mapping,4286b99d33178fb89d5459ce33e1bab9,bug_bounty_hackerone_mapping__4286b99d33178fb89d5459ce33e1bab9
zendesk,Zendesk,7cbf7c8ad281d866db04a3c14f88bb1a,"989 Market St San Francisco, CA, USA",37.7823023,-122.4096056,CompanyKeyword,Zendesk,,bug_bounty_hackerone_mapping,a151608a9113acccb09c9ebf7b0b2b6a,bug_bounty_hackerone_mapping__a151608a9113acccb09c9ebf7b0b2b6a
coinbase,Coinbase,bf375122f49fbec2e49ed133eb6d2119,"Coinbase Inc HQ, San Francisco, CA, USA",37.7918198,-122.3989854,ForeignMinister,Coinbase,,bug_bounty_hackerone_mapping,28d13ddddf18afba2c3727253ba0d42f,bug_bounty_hackerone_mapping__28d13ddddf18afba2c3727253ba0d42f
semrush,Semrush,,"800 Boylston Street Suite 2475 Boston, MA, USA",42.3483326,-71.082475,Consulates,Semrush,,bug_bounty_hackerone_mapping,c835ab611a8e5f3da3afc600bf0374b6,bug_bounty_hackerone_mapping__c835ab611a8e5f3da3afc600bf0374b6
grab,Grab,,"One-North, Queenstown, Singapore",1.2998113,103.7875947,ForeignMinistry,Grab,,bug_bounty_hackerone_mapping,b635ceb01a10e96cdbefa95d72b25750,bug_bounty_hackerone_mapping__b635ceb01a10e96cdbefa95d72b25750
hackerone,HackerOne,,"Hackerone Inc San Francisco, CA ,USA",51.5015912,-0.1049429,DiplomaticFacilities,HackerOne,,bug_bounty_hackerone_mapping,cb869738ad7fd931d3bd5f3be5820164,bug_bounty_hackerone_mapping__cb869738ad7fd931d3bd5f3be5820164
informatica,Informatica,24497412b79cb0e1c8b8bf88d270403e,"2100 Seaport Blvd Redwood City, CA, USA",37.5113017,-122.2048009,Shipping,Informatica,,bug_bounty_hackerone_mapping,54e7077835580c59b40e6aa12a82c488,bug_bounty_hackerone_mapping__54e7077835580c59b40e6aa12a82c488
new relic,New Relic,b8b746a685948cf4c212b34bf0ab4aa4,"188 Spear Street Suite 1200 San Francisco, CA, USA",37.7913249,-122.3929712,Shipping,New Relic,,bug_bounty_hackerone_mapping,d97e272448930c8544770faae630a75a,bug_bounty_hackerone_mapping__d97e272448930c8544770faae630a75a
logitech,Logitech,4061668f52ccbd8098ab829f04b0bd29,"7700 Gateway Blvd. Newark, CA, USA",37.5386096,-122.0614856,IndustryTerm,Logitech,,bug_bounty_hackerone_mapping,ff70d460a420205ceeea16f1c13e51b1,bug_bounty_hackerone_mapping__ff70d460a420205ceeea16f1c13e51b1
open-xchange,Open-Xchange,,"303 South Broadway Tarrytown, NY, USA",41.0665117,-73.8638675,Organization,Open-Xchange,,bug_bounty_hackerone_mapping,fc8175d60eaf252dd11c42ab548c367c,bug_bounty_hackerone_mapping__fc8175d60eaf252dd11c42ab548c367c
govtech vdp,GovTech VDP,,"10 Pasir Panjang Road, Mapletree Business City, Singapore",1.2746972,103.7992612,LegislativeCommittee,GovTech VDP,,bug_bounty_hackerone_mapping,8af9c22b8ac891bd431b2244008abead,bug_bounty_hackerone_mapping__8af9c22b8ac891bd431b2244008abead
hyatt hotels,Hyatt Hotels,97330640744feddc52f9fecbf39e3cd9,"Hyatt Hotels Corporation HQ, Chicago, IL, USA",41.8853694,-87.6385344,Wells,Hyatt Hotels,,bug_bounty_hackerone_mapping,43707f04d8d273a288a91a5c75745369,bug_bounty_hackerone_mapping__43707f04d8d273a288a91a5c75745369
xiaomi,Xiaomi,f4899e878b8993c2a33de0095f72c78c,"Xaiomi HQ, Haidian District, Beijing, China",37.7756852,-122.4179707,ForeignMinister,Xiaomi,,bug_bounty_hackerone_mapping,516581a2ce920b9bc16a9c5004a023b8,bug_bounty_hackerone_mapping__516581a2ce920b9bc16a9c5004a023b8
stripo inc,Stripo Inc,,"San Francisco, US",37.7756852,-122.4179707,ForeignMinistry,Stripo Inc,,bug_bounty_hackerone_mapping,caa8ea2e2c97e679e23528ad2f7cd699,bug_bounty_hackerone_mapping__caa8ea2e2c97e679e23528ad2f7cd699
snapchat,Snapchat,ab47aac81fe274e9f76b1a0e47e011e9,"Snap, Inc. HQ, Venice, CA, USA",34.0162966,-118.4534959,Consulates,Snapchat,,bug_bounty_hackerone_mapping,228140c155f5524f8a17323331505414,bug_bounty_hackerone_mapping__228140c155f5524f8a17323331505414
pornhub,Pornhub,,"San Francisco, US",37.7756852,-122.4179707,ForeignMinistry,Pornhub,,bug_bounty_hackerone_mapping,df9840ca81b1e79cf3a0c78960ec1e5c,bug_bounty_hackerone_mapping__df9840ca81b1e79cf3a0c78960ec1e5c
roblox,Roblox,,"San Francisco, US",37.7756852,-122.4179707,Keyphrase,Roblox,,bug_bounty_hackerone_mapping,0eadcb5543bc5b9bb1db091e963b56de,bug_bounty_hackerone_mapping__0eadcb5543bc5b9bb1db091e963b56de
ok.ru,ok.ru,,"Ok.ru, Moscow, Russia",55.755826,37.6172999,Organization,ok.ru,,bug_bounty_hackerone_mapping,d7c190408bf6b9a4921796a3aa767c54,bug_bounty_hackerone_mapping__d7c190408bf6b9a4921796a3aa767c54
udemy,Udemy,,"Udemy Hq, San Francisco, USA",37.7842574,-122.3959203,Media,Udemy,,bug_bounty_hackerone_mapping,12812ea78dbc80e6065f794c752272e9,bug_bounty_hackerone_mapping__12812ea78dbc80e6065f794c752272e9
acronis,Acronis,,"Acronis, Schaffhausen, Switzerland",47.6915809,8.6230921,space,Acronis,,bug_bounty_hackerone_mapping,6eee2366ad6ff950848799c387bebfd5,bug_bounty_hackerone_mapping__6eee2366ad6ff950848799c387bebfd5
yelp,Yelp,,"Yelp HQ, San Francisco, USA",37.7867018,-122.4001359,DiplomaticFacilities,Yelp,,bug_bounty_hackerone_mapping,f65fd2606e81c3b34afac2958980c017,bug_bounty_hackerone_mapping__f65fd2606e81c3b34afac2958980c017
mapbox,Mapbox,,"Mapbox, San Francisco, USA",37.7912557,-122.3963987,FTO,Mapbox,,bug_bounty_hackerone_mapping,8f4bbbe1c517b7913476f8a2ed96453e,bug_bounty_hackerone_mapping__8f4bbbe1c517b7913476f8a2ed96453e
localtapiola,LocalTapiola,,"LocalTapiola, Helsinki, Finland",60.1698557,24.9383791,CompanyKeyword,LocalTapiola,,bug_bounty_hackerone_mapping,07d344f97c14f678bb42dfc1aa7a2530,bug_bounty_hackerone_mapping__07d344f97c14f678bb42dfc1aa7a2530
infogram,Infogram,,"Infogram, Riga, Latvia",56.9487201,24.1090062,AAEntity,Infogram,,bug_bounty_hackerone_mapping,65cad414593fbc9c1fcd63a5e4cf509f,bug_bounty_hackerone_mapping__65cad414593fbc9c1fcd63a5e4cf509f
8x8,8x8,7418cabd86e3fdc1dca440d3beba81e7,"8x8, Campbell, California, United States",37.2924754,-121.9367003,Legislator,8x8,,bug_bounty_hackerone_mapping,681459b72327ba212b88ad1e8a9d5db9,bug_bounty_hackerone_mapping__681459b72327ba212b88ad1e8a9d5db9
vanilla,Vanilla,,"San Francisco, US",37.7756852,-122.4179707,Organization,Vanilla,,bug_bounty_hackerone_mapping,7d3cf600bf044a1aaf9324807bd8d13e,bug_bounty_hackerone_mapping__7d3cf600bf044a1aaf9324807bd8d13e
paddy power betfair,Paddy Power Betfair,0b6e2a5e0d17511d0acb9973755d1211,"Paddy Power, Dublin, Ireland",53.3120018,-6.2340207,Legislator,Paddy Power Betfair,,bug_bounty_hackerone_mapping,31e06a5ade76919785060a792e028d1b,bug_bounty_hackerone_mapping__31e06a5ade76919785060a792e028d1b
maximum,Maximum,,"San Francisco, US",37.7756852,-122.4179707,CompanyKeyword,Maximum,,bug_bounty_hackerone_mapping,8321e79c278ec510f63675c040594892,bug_bounty_hackerone_mapping__8321e79c278ec510f63675c040594892
nextcloud,Nextcloud,,"Nextcloud, Stuttgart, Germany",48.78711,9.15467,Person,Nextcloud,,bug_bounty_hackerone_mapping,d666a3dbc79e42eb871913a5c586fcf3,bug_bounty_hackerone_mapping__d666a3dbc79e42eb871913a5c586fcf3
concrete5,concrete5,,"San Francisco, US",37.7756852,-122.4179707,Media,concrete5,,bug_bounty_hackerone_mapping,e86e1b0ddfb37d9edf17bb81f958da30,bug_bounty_hackerone_mapping__e86e1b0ddfb37d9edf17bb81f958da30
owncloud,ownCloud,,"ownCloud, Lexington, MA, USA",42.453829,-71.2323857,LegislativeCommittee,ownCloud,,bug_bounty_hackerone_mapping,34a2bb3666242f3a95946770a4dfaaa2,bug_bounty_hackerone_mapping__34a2bb3666242f3a95946770a4dfaaa2
