keyword,guid,caption_name,topic_guid,topic_name,concatenated,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
deutscheboerse,4c1cc52d48963075b04cb3ae577b4ea7,Deutsche Boerse,214218,Reputation,hashtagContains:DeutscheBoerse,LegislativeCommittee,Deutsche Boerse,,lte_hashtag_contains_mapping,dfc288dba81aa4d1b6836c2aff68d28f,lte_hashtag_contains_mapping__dfc288dba81aa4d1b6836c2aff68d28f
theodorweimer,6126506d0c8e7cb895ed4acce9127b14,Dow Inc. CEO Theodor Weimer,214218,Reputation,hashtagContains:TheodorWeimer,Person,Dow Inc. CEO Theodor Weimer,,lte_hashtag_contains_mapping,a99d1f1a1bc49253651d7124c1532b36,lte_hashtag_contains_mapping__a99d1f1a1bc49253651d7124c1532b36
dowchemical,6126506d0c8e7cb895ed4acce9127b14,Dow Inc.,214218,Reputation,hashtagContains:DowChemical,Shipping,Dow Inc.,,lte_hashtag_contains_mapping,ba2d83217f6ca01e358a8cb601896ef5,lte_hashtag_contains_mapping__ba2d83217f6ca01e358a8cb601896ef5
jimfitterling,eecb6c43a82fbbcb5050b5ebcfcf5e40,Enbridge CEO Jim Fitterling,214218,Reputation,hashtagContains:JimFitterling,News,Enbridge CEO Jim Fitterling,,lte_hashtag_contains_mapping,3db841df0e82c10904590b6b38e71b57,lte_hashtag_contains_mapping__3db841df0e82c10904590b6b38e71b57
enbridge,eecb6c43a82fbbcb5050b5ebcfcf5e40,Enbridge,214218,Reputation,hashtagContains:Enbridge,IndustryTerm,Enbridge,,lte_hashtag_contains_mapping,3a650ac10e424ba68ab3b7dc8e5391c8,lte_hashtag_contains_mapping__3a650ac10e424ba68ab3b7dc8e5391c8
almonaco,527ca1ca6a722a33494a9a9bfc58e307,Eversource Energy CEO Al Monaco,214218,Reputation,hashtagContains:AlMonaco,Wells,Eversource Energy CEO Al Monaco,,lte_hashtag_contains_mapping,a7024e710a61098a0e7de0bc56abe517,lte_hashtag_contains_mapping__a7024e710a61098a0e7de0bc56abe517
evesourceenergy,527ca1ca6a722a33494a9a9bfc58e307,Eversource Energy,214218,Reputation,hashtagContains:EvesourceEnergy,Diplomat,Eversource Energy,,lte_hashtag_contains_mapping,6105b9ed3e42803b6c2c3e59e1a7b55b,lte_hashtag_contains_mapping__6105b9ed3e42803b6c2c3e59e1a7b55b
josephnolan,527ca1ca6a722a33494a9a9bfc58e307,Eversource Energy CEO Joseph Nolan,214218,Reputation,hashtagContains:JosephNolan,IndustryTerm,Eversource Energy CEO Joseph Nolan,,lte_hashtag_contains_mapping,19e4c370dc6aca49972f497a888cba97,lte_hashtag_contains_mapping__19e4c370dc6aca49972f497a888cba97
fidelityinvestments,e9afa108b7b5298d3e935f63fb4a0d98,Fidelity Investments,214218,Reputation,hashtagContains:FidelityInvestments,DiplomaticFacilities,Fidelity Investments,,lte_hashtag_contains_mapping,e36bc831df603e45c3d3893841088867,lte_hashtag_contains_mapping__e36bc831df603e45c3d3893841088867
abigailjohnson,e9afa108b7b5298d3e935f63fb4a0d98,Fidelity Investments CEO Abigail Johnson,214218,Reputation,hashtagContains:AbigailJohnson,Legislator,Fidelity Investments CEO Abigail Johnson,,lte_hashtag_contains_mapping,50b82278d797b2e80d999ea2bc3eaaa0,lte_hashtag_contains_mapping__50b82278d797b2e80d999ea2bc3eaaa0
generalatomics,22107f1bd5d5959e733e3a0bbd906417,General Atomics,214218,Reputation,hashtagContains:GeneralAtomics,News,General Atomics,,lte_hashtag_contains_mapping,caf3e95ea7aade47b132e0a59cd2269c,lte_hashtag_contains_mapping__caf3e95ea7aade47b132e0a59cd2269c
nealblue,22107f1bd5d5959e733e3a0bbd906417,General Atomics CEO Neal Blue,214218,Reputation,hashtagContains:NealBlue,space,General Atomics CEO Neal Blue,,lte_hashtag_contains_mapping,e3924baa35c5dcf280e031f31c874bd8,lte_hashtag_contains_mapping__e3924baa35c5dcf280e031f31c874bd8
intel,79d16ab7312c744ea3cb3560c99820b7,Intel,214218,Reputation,hashtagContains:Intel,Legislator,Intel,,lte_hashtag_contains_mapping,ff97a9fdede09eaf6e1c8ec9f6a61dd5,lte_hashtag_contains_mapping__ff97a9fdede09eaf6e1c8ec9f6a61dd5
patrickgelsinger,79d16ab7312c744ea3cb3560c99820b7,Intel CEO Patrick Gelsinger,214218,Reputation,hashtagContains:PatrickGelsinger,Person,Intel CEO Patrick Gelsinger,,lte_hashtag_contains_mapping,1a55dad9baa6635b265591ffbb4c1648,lte_hashtag_contains_mapping__1a55dad9baa6635b265591ffbb4c1648
invesco,5963722ccd6e454af56c5528515ab354,Invesco,214218,Reputation,hashtagContains:Invesco,space,Invesco,,lte_hashtag_contains_mapping,b2be47006f4a073096c2d6745f8cc73d,lte_hashtag_contains_mapping__b2be47006f4a073096c2d6745f8cc73d
martinflanagan,5963722ccd6e454af56c5528515ab354,Invesco CEO Martin Flanagan,214218,Reputation,hashtagContains:MartinFlanagan,FTO,Invesco CEO Martin Flanagan,,lte_hashtag_contains_mapping,617103995aaea969d589b4cdbb734496,lte_hashtag_contains_mapping__617103995aaea969d589b4cdbb734496
livenation,7f8dc2fc9426e0d0ead8e972defd5df1,Live Nation,214218,Reputation,hashtagContains:LiveNation,space,Live Nation,,lte_hashtag_contains_mapping,3229839204ab882a04cf697aca34f9be,lte_hashtag_contains_mapping__3229839204ab882a04cf697aca34f9be
michaelrapino,7f8dc2fc9426e0d0ead8e972defd5df1,Live Nation CEO Michael Rapino,214218,Reputation,hashtagContains:MichaelRapino,Media,Live Nation CEO Michael Rapino,,lte_hashtag_contains_mapping,6db96eca5c1748d44798b28b4979ce26,lte_hashtag_contains_mapping__6db96eca5c1748d44798b28b4979ce26
matadorsecurity,0da8d49bf82a588b71353aa723b69290,Matador Security,214218,Reputation,hashtagContains:MatadorSecurity,CompanyKeyword,Matador Security,,lte_hashtag_contains_mapping,e819ee3cacca307cda75c5c3475e37ca,lte_hashtag_contains_mapping__e819ee3cacca307cda75c5c3475e37ca
fredkoch,0da8d49bf82a588b71353aa723b69290,Matador Security CEO Fred Koch,214218,Reputation,hashtagContains:FredKoch,News,Matador Security CEO Fred Koch,,lte_hashtag_contains_mapping,906771910ef2988cbbf489ff74fe1246,lte_hashtag_contains_mapping__906771910ef2988cbbf489ff74fe1246
pepsi,6cc774f389cfb7ea5b8a9c706a03f400,Pepsi,214218,Reputation,hashtagContains:Pepsi,FTO,Pepsi,,lte_hashtag_contains_mapping,4d2ea3c941dbcd34af1c69485fd5dda3,lte_hashtag_contains_mapping__4d2ea3c941dbcd34af1c69485fd5dda3
ramonlaguarta,6cc774f389cfb7ea5b8a9c706a03f400,Pepsi CEO Ramon Laguarta,214218,Reputation,hashtagContains:RamonLaguarta,Wells,Pepsi CEO Ramon Laguarta,,lte_hashtag_contains_mapping,db15419a6bda2ee87726285cd539caa0,lte_hashtag_contains_mapping__db15419a6bda2ee87726285cd539caa0
og&e,e7064aeccfd6439e412eedc66d1e1891,,214218,Reputation,hashtagContains:OG&E,FTO,,,lte_hashtag_contains_mapping,d41d8cd98f00b204e9800998ecf8427e,lte_hashtag_contains_mapping__d41d8cd98f00b204e9800998ecf8427e
seantrauschke,e7064aeccfd6439e412eedc66d1e1891,CEO Sean Trauschke,214218,Reputation,hashtagContains:SeanTrauschke,CompanyKeyword,CEO Sean Trauschke,,lte_hashtag_contains_mapping,c594bdc748295848acf3e2d898932413,lte_hashtag_contains_mapping__c594bdc748295848acf3e2d898932413
airbnb,549f9e87cdd69547c3f20392345a00b5,Airbnb,214218,Reputation,hashtagContains:Airbnb,CompanyKeyword,Airbnb,,lte_hashtag_contains_mapping,09e31a5bddc6d6628252a7bff57d5dce,lte_hashtag_contains_mapping__09e31a5bddc6d6628252a7bff57d5dce
brianchesky,549f9e87cdd69547c3f20392345a00b5,Airbnb CEO Brian Chesky,214218,Reputation,hashtagContains:BrianChesky,ForeignMinister,Airbnb CEO Brian Chesky,,lte_hashtag_contains_mapping,b257401960286c1263cd987d795d5a61,lte_hashtag_contains_mapping__b257401960286c1263cd987d795d5a61
oxyinc,947451a3db558bc8061d25e7e9a2c442,OXY Inc.,214218,Reputation,hashtagContains:OxyInc,ForeignMinister,OXY Inc.,,lte_hashtag_contains_mapping,4b8b156948ce6f3f02f5d9252421ee65,lte_hashtag_contains_mapping__4b8b156948ce6f3f02f5d9252421ee65
