german_text,caption_text,lat,lon,default location,default_lat,default_lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#albertstadt,"Albertstadt in Dresden, Germany",51.0847044,13.779149,,,,Legislator,"Albertstadt in Dresden, Germany",,german_fires_dresden_locations,30f79220699e24e01b84e895d60bb94c,german_fires_dresden_locations__30f79220699e24e01b84e895d60bb94c
#pieschensud,"Pieschen-Sud in Dresden, Germany",51.0775918,13.7170699,,,,CompanyKeyword,"Pieschen-Sud in Dresden, Germany",,german_fires_dresden_locations,0b8aa86cdb7fea7ab310ae7a09720f56,german_fires_dresden_locations__0b8aa86cdb7fea7ab310ae7a09720f56
#mickten,"Mickten in Dresden, Germany",51.074444,13.700833,,,,FTO,"Mickten in Dresden, Germany",,german_fires_dresden_locations,c91ccd831986236d1b973de46911d242,german_fires_dresden_locations__c91ccd831986236d1b973de46911d242
#kaditz,"Kaditz in Dresden, Germany",51.0826635,13.6848657,,,,IndustryTerm,"Kaditz in Dresden, Germany",,german_fires_dresden_locations,ed217f15ebb632e9357912f8e532f4b2,german_fires_dresden_locations__ed217f15ebb632e9357912f8e532f4b2
#trachau,"Trachau in Dresden, Germany",51.0901922,13.7109919,,,,Shipping,"Trachau in Dresden, Germany",,german_fires_dresden_locations,3a16bbcf823607887023761ae2d1f7e3,german_fires_dresden_locations__3a16bbcf823607887023761ae2d1f7e3
#pieschennord,"Pieschen-Nord in Dresden, Germany",51.086837,13.728619,,,,Refinery,"Pieschen-Nord in Dresden, Germany",,german_fires_dresden_locations,62a5f14000fd80ad93c417461ea6425c,german_fires_dresden_locations__62a5f14000fd80ad93c417461ea6425c
#trachenberge,"Trachenberge in Dresden, Germany",51.0975105,13.7277053,,,,Keyphrase,"Trachenberge in Dresden, Germany",,german_fires_dresden_locations,dd76e2f8d9df531b5fa0d9ed20a31387,german_fires_dresden_locations__dd76e2f8d9df531b5fa0d9ed20a31387
#sudvorstadtwest,"Sudvorstadt-West in Dresden, Germany",51.0349577,13.728136,,,,ForeignMinister,"Sudvorstadt-West in Dresden, Germany",,german_fires_dresden_locations,4b882883dbe8865af3709428cda9b28e,german_fires_dresden_locations__4b882883dbe8865af3709428cda9b28e
#sudvorstadtost,"Sudvorstadt-Ost in Dresden, Germany",51.0366112,13.7587714,,,,ForeignMinister,"Sudvorstadt-Ost in Dresden, Germany",,german_fires_dresden_locations,0d641c0816c943b2271b1f856488c9b7,german_fires_dresden_locations__0d641c0816c943b2271b1f856488c9b7
#racknitz,"Racknitz in Dresden, Germany",51.0255485,13.7290216,,,,AAEntity,"Racknitz in Dresden, Germany",,german_fires_dresden_locations,eef8614880834d73102517d5b3c5f2e5,german_fires_dresden_locations__eef8614880834d73102517d5b3c5f2e5
#zschertnitz,"Zschertnitz in Dresden, Germany",51.0213603,13.7418248,,,,IndustryTerm,"Zschertnitz in Dresden, Germany",,german_fires_dresden_locations,62b3f4167afb3e36321b717835244219,german_fires_dresden_locations__62b3f4167afb3e36321b717835244219
#strehlensudwest,"Strehlen-Sudwest in Dresden, Germany",51.0306807,13.7619435,,,,LegislativeCommittee,"Strehlen-Sudwest in Dresden, Germany",,german_fires_dresden_locations,77865f0ee1cdd3ad3a95a4c9aba15b81,german_fires_dresden_locations__77865f0ee1cdd3ad3a95a4c9aba15b81
#kleinpestitz,"Kleinpestitz in Dresden, Germany",51.0185462,13.7264542,,,,Keyphrase,"Kleinpestitz in Dresden, Germany",,german_fires_dresden_locations,70c76cb8f31ae08bbe2a11dc18f96ff7,german_fires_dresden_locations__70c76cb8f31ae08bbe2a11dc18f96ff7
#mockritz,"Mockritz in Dresden, Germany",51.0165478,13.7487283,,,,Refinery,"Mockritz in Dresden, Germany",,german_fires_dresden_locations,f9a1debad14ebdc7d66454cd9423532a,german_fires_dresden_locations__f9a1debad14ebdc7d66454cd9423532a
#kaitz,"Kaitz in Dresden, Germany",51.0140524,13.7251405,,,,LegislativeCommittee,"Kaitz in Dresden, Germany",,german_fires_dresden_locations,ac0d955d115a5735514296b4601ed63c,german_fires_dresden_locations__ac0d955d115a5735514296b4601ed63c
#gostritz,"Gostritz in Dresden, Germany",51.0071413,13.7496075,,,,ForeignMinister,"Gostritz in Dresden, Germany",,german_fires_dresden_locations,ac12c0ff7ecc8a5ce04737c6016f92ad,german_fires_dresden_locations__ac12c0ff7ecc8a5ce04737c6016f92ad
#gittersee,"Gittersee in Dresden, Germany",51.0084172,13.6944202,,,,Exec,"Gittersee in Dresden, Germany",,german_fires_dresden_locations,1119cd5911c1cfc59307beff2692469f,german_fires_dresden_locations__1119cd5911c1cfc59307beff2692469f
#coschutz,"Coschutz in Dresden, Germany",51.0165678,13.704064,,,,Legislator,"Coschutz in Dresden, Germany",,german_fires_dresden_locations,90b4522b2ceff866638adcc25aa41fda,german_fires_dresden_locations__90b4522b2ceff866638adcc25aa41fda
#plauen,"Plauen in Dresden, Germany",51.0178187,13.7158537,,,,IndustryTerm,"Plauen in Dresden, Germany",,german_fires_dresden_locations,94512ba0e67b8b7823e78580567e1888,german_fires_dresden_locations__94512ba0e67b8b7823e78580567e1888
#prohlisnord,"Prohlis-Nord in Dresden, Germany",51.0038788,13.7957552,,,,Diplomat,"Prohlis-Nord in Dresden, Germany",,german_fires_dresden_locations,d93c67dbdf0981a7df2a2df1e69274e9,german_fires_dresden_locations__d93c67dbdf0981a7df2a2df1e69274e9
#prohlissud,"Prohlis-Sud in Dresden, Germany",51.0038788,13.7957552,,,,Pipeline,"Prohlis-Sud in Dresden, Germany",,german_fires_dresden_locations,f923a07a3de3752bece50a66a43e0adc,german_fires_dresden_locations__f923a07a3de3752bece50a66a43e0adc
#niedersedlitz,"Niedersedlitz in Dresden, Germany",51.0031025,13.8164992,,,,ForeignMinister,"Niedersedlitz in Dresden, Germany",,german_fires_dresden_locations,f4cd304c697a8afa146f4c04a4f607e9,german_fires_dresden_locations__f4cd304c697a8afa146f4c04a4f607e9
#lockwitz,"Lockwitz in Dresden, Germany",50.9880675,13.8089412,,,,Legislator,"Lockwitz in Dresden, Germany",,german_fires_dresden_locations,998d1e25617f7ee7f9ed2482a48fc210,german_fires_dresden_locations__998d1e25617f7ee7f9ed2482a48fc210
#leubnitz,"Leubnitz in Dresden, Germany",51.014023,13.7698131,,,,News,"Leubnitz in Dresden, Germany",,german_fires_dresden_locations,328a84b68689e18bb16155039b4f7add,german_fires_dresden_locations__328a84b68689e18bb16155039b4f7add
#leubnitzneuostra,"Leubnitz-Neuostra in Dresden, Germany",51.014023,13.7698131,,,,space,"Leubnitz-Neuostra in Dresden, Germany",,german_fires_dresden_locations,a75b35a1a05f92dba2d24a0a84ea6c0c,german_fires_dresden_locations__a75b35a1a05f92dba2d24a0a84ea6c0c
#strehlen,"Strehlen in Dresden, Germany",51.024895,13.7678094,,,,FTO,"Strehlen in Dresden, Germany",,german_fires_dresden_locations,44967a044566d527821f91256468e50b,german_fires_dresden_locations__44967a044566d527821f91256468e50b
#reick,"Reick in Dresden, Germany",51.014621,13.7980606,,,,Person,"Reick in Dresden, Germany",,german_fires_dresden_locations,4ea0b280470b80fda0ffdfc157b749f1,german_fires_dresden_locations__4ea0b280470b80fda0ffdfc157b749f1
#altfranken,"Altfranken in Dresden, Germany",51.034126,13.6458319,,,,FTO,"Altfranken in Dresden, Germany",,german_fires_dresden_locations,f73a4c6e5a74d87795fdbf2dd23d7971,german_fires_dresden_locations__f73a4c6e5a74d87795fdbf2dd23d7971
