handle,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
sophiemak1,Pro-democracy activist Sophie Mak,CompanyKeyword,Pro-democracy activist Sophie Mak,,dgm_hong_kong_ei_key_authors,16e04bc5830d54a07f752de92b12666b,dgm_hong_kong_ei_key_authors__16e04bc5830d54a07f752de92b12666b
aaronmcn,Reporter Aaron McNicholas,Shipping,Reporter Aaron McNicholas,,dgm_hong_kong_ei_key_authors,43fb2a75dc7054e268598aac440f5b74,dgm_hong_kong_ei_key_authors__43fb2a75dc7054e268598aac440f5b74
rachel_cheung1,Reporter Rachel Cheung,LegislativeCommittee,Reporter Rachel Cheung,,dgm_hong_kong_ei_key_authors,e4810d1c746a36a77dc31fdb18ef7344,dgm_hong_kong_ei_key_authors__e4810d1c746a36a77dc31fdb18ef7344
xinwenxiaojie,Reporter Yuen Chan,Wells,Reporter Yuen Chan,,dgm_hong_kong_ei_key_authors,bc69e3ab0779106a3dbeb30220d38819,dgm_hong_kong_ei_key_authors__bc69e3ab0779106a3dbeb30220d38819
rhokilpatrick,Reporter Ryan Ho Kilpatrick,Legislator,Reporter Ryan Ho Kilpatrick,,dgm_hong_kong_ei_key_authors,b1e90ad85ec58be9da75e89aa7da4959,dgm_hong_kong_ei_key_authors__b1e90ad85ec58be9da75e89aa7da4959
hkdemocrats,Hong Kong Democratic Party Hong Kong Democratic Party,Wells,Hong Kong Democratic Party Hong Kong Democratic Party,,dgm_hong_kong_ei_key_authors,d1fba99f9c28c1943f00e831739113aa,dgm_hong_kong_ei_key_authors__d1fba99f9c28c1943f00e831739113aa
tomgrundy,Reporter Tom Grundy,space,Reporter Tom Grundy,,dgm_hong_kong_ei_key_authors,c1fce4f449ff3f40f6e76f56deae4e64,dgm_hong_kong_ei_key_authors__c1fce4f449ff3f40f6e76f56deae4e64
timmysung,Reporter Timmy Sung,Organization,Reporter Timmy Sung,,dgm_hong_kong_ei_key_authors,b41147067a652b3cc8841b74fbd0e844,dgm_hong_kong_ei_key_authors__b41147067a652b3cc8841b74fbd0e844
ssataline,Reporter Suzanne Sataline,Shipping,Reporter Suzanne Sataline,,dgm_hong_kong_ei_key_authors,2370d0aa5fe6f7cb30868647785bdcb4,dgm_hong_kong_ei_key_authors__2370d0aa5fe6f7cb30868647785bdcb4
alvinllum,Reporter Alvin Lum,LegislativeCommittee,Reporter Alvin Lum,,dgm_hong_kong_ei_key_authors,803445090416d5d117543d286414d588,dgm_hong_kong_ei_key_authors__803445090416d5d117543d286414d588
jerometaylor,Reporter Jerome Taylor,Person,Reporter Jerome Taylor,,dgm_hong_kong_ei_key_authors,b7d46c791115a0f550d64dc39bc1e9b2,dgm_hong_kong_ei_key_authors__b7d46c791115a0f550d64dc39bc1e9b2
stegersaurus,Reporter Isabella Steger,Exec,Reporter Isabella Steger,,dgm_hong_kong_ei_key_authors,8a36ff09db2c6d81c6795ad3349cd64a,dgm_hong_kong_ei_key_authors__8a36ff09db2c6d81c6795ad3349cd64a
laurelchor,Reporter Laurel Chor,LegislativeCommittee,Reporter Laurel Chor,,dgm_hong_kong_ei_key_authors,d993b844fab2396d692d178da85ad8f2,dgm_hong_kong_ei_key_authors__d993b844fab2396d692d178da85ad8f2
krislc,Reporter Kris Cheng,Organization,Reporter Kris Cheng,,dgm_hong_kong_ei_key_authors,fe14c2b8f9055bbe148d3c1818bd9c11,dgm_hong_kong_ei_key_authors__fe14c2b8f9055bbe148d3c1818bd9c11
antd,Reporter Antony Dapiran,CompanyKeyword,Reporter Antony Dapiran,,dgm_hong_kong_ei_key_authors,da8083a1fb7ceb80ddf0172f87ea1256,dgm_hong_kong_ei_key_authors__da8083a1fb7ceb80ddf0172f87ea1256
