keyword,caption_name,groups,topic_id,entity_type,guid,Lat,Lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nippon cargo,Nippon Cargo Airlines,airline operators,,airline operators,,,,AirlineOperators,Nippon Cargo Airlines,,dgm_tsa_mentioned_entities,ae614b1a14108ebf307307414af61cda,dgm_tsa_mentioned_entities__ae614b1a14108ebf307307414af61cda
netjetsaviation,NetJets,airline operators,,airline operators,25e75f7a5d261aa30ed1d444ef09b978,,,AirlineOperators,NetJets,,dgm_tsa_mentioned_entities,3587b383f471ffe475507ea683f02141,dgm_tsa_mentioned_entities__3587b383f471ffe475507ea683f02141
netjets,NetJets,airline operators,,airline operators,25e75f7a5d261aa30ed1d444ef09b978,,,AirlineOperators,NetJets,,dgm_tsa_mentioned_entities,ad665ad9e1bc2f27bf0637933e514c03,dgm_tsa_mentioned_entities__ad665ad9e1bc2f27bf0637933e514c03
net jets,NetJets,airline operators,,airline operators,25e75f7a5d261aa30ed1d444ef09b978,,,AirlineOperators,NetJets,,dgm_tsa_mentioned_entities,5d0f9990ce2ae6cf0133a8c7f8eaba6c,dgm_tsa_mentioned_entities__5d0f9990ce2ae6cf0133a8c7f8eaba6c
neos,NEOS SPA,airline operators,,airline operators,,,,AirlineOperators,NEOS SPA,,dgm_tsa_mentioned_entities,e0eaa492172a3e4e621dfc06e0794bcd,dgm_tsa_mentioned_entities__e0eaa492172a3e4e621dfc06e0794bcd
nationaljets,National Jets,airline operators,,airline operators,,,,AirlineOperators,National Jets,,dgm_tsa_mentioned_entities,d9894434b335a82acc1a5e7473414236,dgm_tsa_mentioned_entities__d9894434b335a82acc1a5e7473414236
nationalaircargo,National Air Cargo,airline operators,,airline operators,,,,AirlineOperators,National Air Cargo,,dgm_tsa_mentioned_entities,4729b72e9baa9d75ff6334f0a0d43e74,dgm_tsa_mentioned_entities__4729b72e9baa9d75ff6334f0a0d43e74
national jets,National Jets,airline operators,,airline operators,,,,AirlineOperators,National Jets,,dgm_tsa_mentioned_entities,1618ae1e57669c17ff17b2b4dfedaf14,dgm_tsa_mentioned_entities__1618ae1e57669c17ff17b2b4dfedaf14
national air cargo,National Air Cargo,airline operators,,airline operators,,,,AirlineOperators,National Air Cargo,,dgm_tsa_mentioned_entities,769e7f08e96c96e24ccacd53218c43a6,dgm_tsa_mentioned_entities__769e7f08e96c96e24ccacd53218c43a6
n8,National Air Cargo,airline operators,,airline operators,,,,AirlineOperators,National Air Cargo,,dgm_tsa_mentioned_entities,2ccdc14890057e309db1857ac7ababa8,dgm_tsa_mentioned_entities__2ccdc14890057e309db1857ac7ababa8
multiaero,Air Choice One,airline operators,,airline operators,,,,AirlineOperators,Air Choice One,,dgm_tsa_mentioned_entities,f55a9f02d0b90ed2833517f208c090a5,dgm_tsa_mentioned_entities__f55a9f02d0b90ed2833517f208c090a5
mountainaircargo,Mountain Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Mountain Air Cargo,,dgm_tsa_mentioned_entities,538e66a8388a9476456cace6ed6d7779,dgm_tsa_mentioned_entities__538e66a8388a9476456cace6ed6d7779
mountainair,Mountain Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Mountain Air Cargo,,dgm_tsa_mentioned_entities,31333cb7950beb79d3faa5e63808f5d8,dgm_tsa_mentioned_entities__31333cb7950beb79d3faa5e63808f5d8
mountain air,Mountain Air Cargo,airline operators,,airline operators,,,,AirlineOperators,Mountain Air Cargo,,dgm_tsa_mentioned_entities,fed21a5266edd15a52363560a632933e,dgm_tsa_mentioned_entities__fed21a5266edd15a52363560a632933e
moroccan airlines,Royal Air Maroc,airline operators,,airline operators,,,,AirlineOperators,Royal Air Maroc,,dgm_tsa_mentioned_entities,4e62f46327ed45449691b4a9ce7da7bb,dgm_tsa_mentioned_entities__4e62f46327ed45449691b4a9ce7da7bb
mng,MNG AIRLINES,airline operators,,airline operators,,,,AirlineOperators,MNG AIRLINES,,dgm_tsa_mentioned_entities,4d49bda86185a22724861d6081d20856,dgm_tsa_mentioned_entities__4d49bda86185a22724861d6081d20856
millionairdallas,Million Air Dallas,airline operators,,airline operators,,,,AirlineOperators,Million Air Dallas,,dgm_tsa_mentioned_entities,3d051f21b0e7e21ac786c29c98f81e5a,dgm_tsa_mentioned_entities__3d051f21b0e7e21ac786c29c98f81e5a
millionairdal,Million Air Dallas,airline operators,,airline operators,,,,AirlineOperators,Million Air Dallas,,dgm_tsa_mentioned_entities,2c5a9ee01249188a305dfb2876fa232b,dgm_tsa_mentioned_entities__2c5a9ee01249188a305dfb2876fa232b
million air dallas,Million Air Dallas,airline operators,,airline operators,,,,AirlineOperators,Million Air Dallas,,dgm_tsa_mentioned_entities,f2b65b565dff8a30d0422a2e94a168d8,dgm_tsa_mentioned_entities__f2b65b565dff8a30d0422a2e94a168d8
