keyword,caption_name,location_id,groups,country,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
socota,"Socota, Colombia",socotacolombia,colombia,Colombia,Organization,"Socota, Colombia",,dgm_latamnarcoticslocations,342988a040a974f1d698f8b265293d61,dgm_latamnarcoticslocations__342988a040a974f1d698f8b265293d61
sogamoso,"Sogamoso, Colombia",sogamosocolombia,colombia,Colombia,Legislator,"Sogamoso, Colombia",,dgm_latamnarcoticslocations,0d7a604d7575229fa1c8a3646f0aa7d4,dgm_latamnarcoticslocations__0d7a604d7575229fa1c8a3646f0aa7d4
somondoco,"Somondoco, Colombia",somondococolombia,colombia,Colombia,Pipeline,"Somondoco, Colombia",,dgm_latamnarcoticslocations,f62145377441cb02f62c705ebffaeb64,dgm_latamnarcoticslocations__f62145377441cb02f62c705ebffaeb64
sora,"Sora, Colombia",soracolombia,colombia,Colombia,Diplomat,"Sora, Colombia",,dgm_latamnarcoticslocations,27d12b59146cf7095b9d459f4e4b0899,dgm_latamnarcoticslocations__27d12b59146cf7095b9d459f4e4b0899
soraca,"Soraca, Colombia",soracacolombia,colombia,Colombia,ForeignMinistry,"Soraca, Colombia",,dgm_latamnarcoticslocations,31c9cf2f4814f0899d7da171e1b943a5,dgm_latamnarcoticslocations__31c9cf2f4814f0899d7da171e1b943a5
sotaquira,"Sotaquira, Colombia",sotaquiracolombia,colombia,Colombia,Pipeline,"Sotaquira, Colombia",,dgm_latamnarcoticslocations,aee300dbd0a7333bad77ef89ae0999ea,dgm_latamnarcoticslocations__aee300dbd0a7333bad77ef89ae0999ea
susacon,"Susacon, Colombia",susaconcolombia,colombia,Colombia,LegislativeCommittee,"Susacon, Colombia",,dgm_latamnarcoticslocations,507e48664bf67380f9620d98bd40cd7e,dgm_latamnarcoticslocations__507e48664bf67380f9620d98bd40cd7e
sutamarchan,"Sutamarchan, Colombia",sutamarchancolombia,colombia,Colombia,LegislativeCommittee,"Sutamarchan, Colombia",,dgm_latamnarcoticslocations,8de6130aeeb75452aa93a9d3ee8bd54f,dgm_latamnarcoticslocations__8de6130aeeb75452aa93a9d3ee8bd54f
sutatenza,"Sutatenza, Colombia",sutatenzacolombia,colombia,Colombia,Keyphrase,"Sutatenza, Colombia",,dgm_latamnarcoticslocations,7a1eac97a3e4c36225b2e5494a7780e6,dgm_latamnarcoticslocations__7a1eac97a3e4c36225b2e5494a7780e6
tasco,"Tasco, Colombia",tascocolombia,colombia,Colombia,Person,"Tasco, Colombia",,dgm_latamnarcoticslocations,b02b7f73596a7c0c03d13507ea7dd7e3,dgm_latamnarcoticslocations__b02b7f73596a7c0c03d13507ea7dd7e3
tenza,"Tenza, Colombia",tenzacolombia,colombia,Colombia,News,"Tenza, Colombia",,dgm_latamnarcoticslocations,aa907ed6c2e34c700706ad24545cfa3d,dgm_latamnarcoticslocations__aa907ed6c2e34c700706ad24545cfa3d
tibana,"Tibana, Colombia",tibanacolombia,colombia,Colombia,Keyphrase,"Tibana, Colombia",,dgm_latamnarcoticslocations,17d161348561d0539e587f8ee9b13dd3,dgm_latamnarcoticslocations__17d161348561d0539e587f8ee9b13dd3
tibasosa,"Tibasosa, Colombia",tibasosacolombia,colombia,Colombia,AAEntity,"Tibasosa, Colombia",,dgm_latamnarcoticslocations,b55c5e56bc8bc9898f0a36dfa8d53e07,dgm_latamnarcoticslocations__b55c5e56bc8bc9898f0a36dfa8d53e07
tinjaca,"Tinjaca, Colombia",tinjacacolombia,colombia,Colombia,Diplomat,"Tinjaca, Colombia",,dgm_latamnarcoticslocations,135d34f4ce049621a953509638f7b9eb,dgm_latamnarcoticslocations__135d34f4ce049621a953509638f7b9eb
tipacoque,"Tipacoque, Colombia",tipacoquecolombia,colombia,Colombia,LegislativeCommittee,"Tipacoque, Colombia",,dgm_latamnarcoticslocations,718618715a4c0a3a5758bf7d14906c87,dgm_latamnarcoticslocations__718618715a4c0a3a5758bf7d14906c87
toca,"Toca, Colombia",tocacolombia,colombia,Colombia,Keyphrase,"Toca, Colombia",,dgm_latamnarcoticslocations,97e7db7d8175904a6dfe481d88dac9f1,dgm_latamnarcoticslocations__97e7db7d8175904a6dfe481d88dac9f1
togui,"Togui, Colombia",toguicolombia,colombia,Colombia,Shipping,"Togui, Colombia",,dgm_latamnarcoticslocations,d60b4372a3cbc173155e9816f12b56ef,dgm_latamnarcoticslocations__d60b4372a3cbc173155e9816f12b56ef
topaga,"Topaga, Colombia",topagacolombia,colombia,Colombia,News,"Topaga, Colombia",,dgm_latamnarcoticslocations,a222982bce704abe1fce89c0fdba46d6,dgm_latamnarcoticslocations__a222982bce704abe1fce89c0fdba46d6
tota,"Tota, Colombia",totacolombia,colombia,Colombia,Legislator,"Tota, Colombia",,dgm_latamnarcoticslocations,5977e6c222792f8213f148e3e6ec065c,dgm_latamnarcoticslocations__5977e6c222792f8213f148e3e6ec065c
tunungua,"Tunungua, Colombia",tununguacolombia,colombia,Colombia,Exec,"Tunungua, Colombia",,dgm_latamnarcoticslocations,a173b32ad07a2f84c76723a8bbe5b34f,dgm_latamnarcoticslocations__a173b32ad07a2f84c76723a8bbe5b34f
