german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
goldene perle,"Goldene Perle in Hildesheim, Germany",52.1333904,9.9271102,1,,,,,space,"Goldene Perle in Hildesheim, Germany",,german_fires_hildesheim_locations,98fc64d9f1227924290e584d92f41db6,german_fires_hildesheim_locations__98fc64d9f1227924290e584d92f41db6
goschenstrasse,"Goschenstrasse in Hildesheim, Germany",52.1470206,9.9558976,1,,,,,Exec,"Goschenstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,1c9d449ce8ee4842d68ba204ec20be07,german_fires_hildesheim_locations__1c9d449ce8ee4842d68ba204ec20be07
goschentor,"Goschentor in Hildesheim, Germany",52.1446848,9.9598474,1,,,,,ForeignMinister,"Goschentor in Hildesheim, Germany",,german_fires_hildesheim_locations,67833e44d330cd0731a2bfd7743dc2cc,german_fires_hildesheim_locations__67833e44d330cd0731a2bfd7743dc2cc
goslarsche landstrasse,"Goslarsche Landstrasse in Hildesheim, Germany",52.149566,9.9775783,1,,,,,ForeignMinister,"Goslarsche Landstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,ecfc9321d6482599ba0296a51ec9a40c,german_fires_hildesheim_locations__ecfc9321d6482599ba0296a51ec9a40c
goslarsche strasse,"Goslarsche Strasse in Hildesheim, Germany",52.1497709,9.9605636,1,,,,,space,"Goslarsche Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,65626c1fead8d9c167eea3b13af93d4b,german_fires_hildesheim_locations__65626c1fead8d9c167eea3b13af93d4b
gottingstrasse,"Gottingstrasse in Hildesheim, Germany",52.1428087,9.9378186,1,,,,,FTO,"Gottingstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,f0ecf13f6d12e1e4093af59a7f8a04c2,german_fires_hildesheim_locations__f0ecf13f6d12e1e4093af59a7f8a04c2
grabeinstrasse,"Grabeinstrasse in Hildesheim, Germany",52.1680571,9.9411467,1,,,,,Diplomat,"Grabeinstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,f9e22999af5f8f9cc61eb24a114ff2ea,german_fires_hildesheim_locations__f9e22999af5f8f9cc61eb24a114ff2ea
gravelottestrasse,"Gravelottestrasse in Hildesheim, Germany",52.1485018,9.9640877,1,,,,,IndustryTerm,"Gravelottestrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,b4a1cbbf283ce06b78806a0c353a20ad,german_fires_hildesheim_locations__b4a1cbbf283ce06b78806a0c353a20ad
gregor-winck-weg,"Gregor-Winck-Weg in Hildesheim, Germany",52.1506882,9.914098,1,,,,,ForeignMinistry,"Gregor-Winck-Weg in Hildesheim, Germany",,german_fires_hildesheim_locations,259a1f4489998a90a9f2694153700318,german_fires_hildesheim_locations__259a1f4489998a90a9f2694153700318
greifswalder strasse,"Greifswalder Strasse in Hildesheim, Germany",52.1369715,9.9724516,1,,,,,Pipeline,"Greifswalder Strasse in Hildesheim, Germany",,german_fires_hildesheim_locations,d15b25535de3bb90781742d7dd1f3c26,german_fires_hildesheim_locations__d15b25535de3bb90781742d7dd1f3c26
grie,"Grie in Hildesheim, Germany",52.1129822,9.9959212,1,,,,,Exec,"Grie in Hildesheim, Germany",,german_fires_hildesheim_locations,d0798c68c87fe351402d60a48cdbbbc2,german_fires_hildesheim_locations__d0798c68c87fe351402d60a48cdbbbc2
gropiusstrasse,"Gropiusstrasse in Hildesheim, Germany",52.1742626,9.9387871,1,,,,,Shipping,"Gropiusstrasse in Hildesheim, Germany",,german_fires_hildesheim_locations,5b9e23e3bd14217fc798c884322e4990,german_fires_hildesheim_locations__5b9e23e3bd14217fc798c884322e4990
grosse barnte,"Grosse Barnte in Hildesheim, Germany",52.1598475,10.0186664,1,,,,,CompanyKeyword,"Grosse Barnte in Hildesheim, Germany",,german_fires_hildesheim_locations,2d72e3f548e0ec8d876eb83ccca10810,german_fires_hildesheim_locations__2d72e3f548e0ec8d876eb83ccca10810
grosse kiausburg,"Grosse KIausburg in Hildesheim, Germany",52.1406188,9.9269098,1,,,,,Legislator,"Grosse KIausburg in Hildesheim, Germany",,german_fires_hildesheim_locations,a5d2492a2f6b837d0be10ce1209623cc,german_fires_hildesheim_locations__a5d2492a2f6b837d0be10ce1209623cc
grosse steuer,"Grosse Steuer in Hildesheim, Germany",52.1476334,9.9271209,1,,,,,ForeignMinistry,"Grosse Steuer in Hildesheim, Germany",,german_fires_hildesheim_locations,8e0162670db7f62750f9a0f36f7d1b1f,german_fires_hildesheim_locations__8e0162670db7f62750f9a0f36f7d1b1f
grosse venedig,"Grosse Venedig in Hildesheim, Germany",52.1440255,9.9437404,1,,,,,DiplomaticFacilities,"Grosse Venedig in Hildesheim, Germany",,german_fires_hildesheim_locations,1df13fc57ed10fdf63e3d02b7ac5b0b1,german_fires_hildesheim_locations__1df13fc57ed10fdf63e3d02b7ac5b0b1
grosser saatner,"Grosser Saatner in Hildesheim, Germany",52.131039,9.9706652,1,,,,,CompanyKeyword,"Grosser Saatner in Hildesheim, Germany",,german_fires_hildesheim_locations,c48b3786e22470c744b55743282c162f,german_fires_hildesheim_locations__c48b3786e22470c744b55743282c162f
grotefendweg,"Grotefendweg in Hildesheim, Germany",52.1542863,9.9173372,1,,,,,Exec,"Grotefendweg in Hildesheim, Germany",,german_fires_hildesheim_locations,2a67f674238b8ef76ea00c3fbd9347d1,german_fires_hildesheim_locations__2a67f674238b8ef76ea00c3fbd9347d1
