company,GUID,caption name,exactcheck,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
ross stores,9b9542770644c545d08e62bc83873c8c,Ross Stores,,Refinery,Ross Stores,,CrunchbaseFunding_CompanyMapping,728b27218cc87e8d1c7a7a93f53080a9,CrunchbaseFunding_CompanyMapping__728b27218cc87e8d1c7a7a93f53080a9
alibaba,9bd32051d5285fda29726490330c9852,Alibaba,,News,Alibaba,,CrunchbaseFunding_CompanyMapping,02c758bf69c8e228d37ca626297e21fd,CrunchbaseFunding_CompanyMapping__02c758bf69c8e228d37ca626297e21fd
ups,9cbf31388531bdcb5e616f7a42f99574,UPS,,Media,UPS,,CrunchbaseFunding_CompanyMapping,0e60ac85bc39f1e221d66a048ff164da,CrunchbaseFunding_CompanyMapping__0e60ac85bc39f1e221d66a048ff164da
ralph lauren,9cf3f3c0cbd7891c9e26553626249795,Ralph Lauren,,ForeignMinister,Ralph Lauren,,CrunchbaseFunding_CompanyMapping,790c6eabf25d3b854cd9c3ec7ead2fe5,CrunchbaseFunding_CompanyMapping__790c6eabf25d3b854cd9c3ec7ead2fe5
new york life,9d4ff3389cca711c339b9e7f35b229fc,New York Life,,ForeignMinistry,New York Life,,CrunchbaseFunding_CompanyMapping,230769bfd761d59fe9a4b1b8f439acab,CrunchbaseFunding_CompanyMapping__230769bfd761d59fe9a4b1b8f439acab
conocophillips,9d7179affdf55c1e30d54a18bd822372,ConocoPhillips,,IndustryTerm,ConocoPhillips,,CrunchbaseFunding_CompanyMapping,207c808098253c64810ddcce8b4344c3,CrunchbaseFunding_CompanyMapping__207c808098253c64810ddcce8b4344c3
ingram micro,9d771d80b8f55ad50c5ebc2b05f5ac39,Ingram Micro,,Organization,Ingram Micro,,CrunchbaseFunding_CompanyMapping,1dca356ffd85c7970d18ead146296ded,CrunchbaseFunding_CompanyMapping__1dca356ffd85c7970d18ead146296ded
rogers communications,9e558813ab4528908d4807595813f1b7,Rogers Communications,,Person,Rogers Communications,,CrunchbaseFunding_CompanyMapping,3c9ee8fc4d08e79dda5f4a41b8209ab9,CrunchbaseFunding_CompanyMapping__3c9ee8fc4d08e79dda5f4a41b8209ab9
hertz,9f2f35fb4820d32eb80c8152961ce5ae,Hertz,,Person,Hertz,,CrunchbaseFunding_CompanyMapping,f373520f32c8e017a3a42344b5706960,CrunchbaseFunding_CompanyMapping__f373520f32c8e017a3a42344b5706960
papa john's,9fdc1f9c5d94c5f0e69e2d9a59996cfe,Papa John's,,Media,Papa John's,,CrunchbaseFunding_CompanyMapping,4de6f9c07f9f7a192b3e6fca959a588b,CrunchbaseFunding_CompanyMapping__4de6f9c07f9f7a192b3e6fca959a588b
adtalem global education,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education,,News,Adtalem Global Education,,CrunchbaseFunding_CompanyMapping,f0aa9ad0650e70b44c61877da70b6e7f,CrunchbaseFunding_CompanyMapping__f0aa9ad0650e70b44c61877da70b6e7f
atmos energy,a0b5ebc872504caa80c88d7d3be35bc6,Atmos Energy,,AAEntity,Atmos Energy,,CrunchbaseFunding_CompanyMapping,ab0df6ae155ad9b498780d8c90fae447,CrunchbaseFunding_CompanyMapping__ab0df6ae155ad9b498780d8c90fae447
