keyword,caption_name,location_lower,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hohenleuben,"Hohenleuben, Germany",hohenleuben,50.7109303,12.0532103,AAEntity,"Hohenleuben, Germany",,dgm_german_location,a9390884afddf5e00c9640391c9e5c56,dgm_german_location__a9390884afddf5e00c9640391c9e5c56
hohenmölsen,"Hohenmölsen, Germany",hohenmölsen,51.1563786,12.0998513,Media,"Hohenmölsen, Germany",,dgm_german_location,5496f46ae5434ce295a838d0dabfc0be,dgm_german_location__5496f46ae5434ce295a838d0dabfc0be
hohenstein-ernstthal,"Hohenstein-Ernstthal, Germany",hohenstein-ernstthal,50.8009829,12.7132681,Person,"Hohenstein-Ernstthal, Germany",,dgm_german_location,45ac26b4d36b6cf83c7ef9f918361908,dgm_german_location__45ac26b4d36b6cf83c7ef9f918361908
hohnstein,"Hohnstein, Germany",hohnstein,50.9788244,14.1124691,Exec,"Hohnstein, Germany",,dgm_german_location,4be1396c5d5b9acbc8e7f75e170088f0,dgm_german_location__4be1396c5d5b9acbc8e7f75e170088f0
höhr-grenzhausen,"Höhr-Grenzhausen, Germany",höhr-grenzhausen,50.4347311,7.6693082,DiplomaticFacilities,"Höhr-Grenzhausen, Germany",,dgm_german_location,a94bda7cf4b19c7ab8fde304aa06344a,dgm_german_location__a94bda7cf4b19c7ab8fde304aa06344a
hollfeld,"Hollfeld, Germany",hollfeld,49.9371464,11.2909483,ForeignMinister,"Hollfeld, Germany",,dgm_german_location,7a49c0018a9894fe5f9d71bac04a6ff4,dgm_german_location__7a49c0018a9894fe5f9d71bac04a6ff4
holzgerlingen,"Holzgerlingen, Germany",holzgerlingen,48.6394255,9.0181128,Refinery,"Holzgerlingen, Germany",,dgm_german_location,103d34f1f68d7eae39125120af6d3b56,dgm_german_location__103d34f1f68d7eae39125120af6d3b56
holzminden,"Holzminden, Germany",holzminden,51.8238111,9.4558926,DiplomaticFacilities,"Holzminden, Germany",,dgm_german_location,f0e54caf4f1a1c489d8916e6962c7b72,dgm_german_location__f0e54caf4f1a1c489d8916e6962c7b72
homberg efze,"Homberg (Efze), Germany",homberg efze,51.0314351,9.4127239,Exec,"Homberg (Efze), Germany",,dgm_german_location,cb500b6a554a20de38a85322ff21c9cd,dgm_german_location__cb500b6a554a20de38a85322ff21c9cd
homberg ohm,"Homberg (Ohm), Germany",homberg ohm,50.7308975,9.000708,Media,"Homberg (Ohm), Germany",,dgm_german_location,1c699e83f37163bf7b0166e0ecd0dc06,dgm_german_location__1c699e83f37163bf7b0166e0ecd0dc06
homburg,"Homburg (Saar), Germany",homburg,49.3295827,7.3398428,FTO,"Homburg (Saar), Germany",,dgm_german_location,6592d963a71420edce1c8220f9e5c9cc,dgm_german_location__6592d963a71420edce1c8220f9e5c9cc
horb am neckar,"Horb am Neckar, Germany",horb am neckar,48.442078,8.6848512,Shipping,"Horb am Neckar, Germany",,dgm_german_location,e2a9988fb0033b7b600a29db27324e23,dgm_german_location__e2a9988fb0033b7b600a29db27324e23
horn-bad meinberg,"Horn-Bad Meinberg, Germany",horn-bad meinberg,51.8751511,8.9481431,space,"Horn-Bad Meinberg, Germany",,dgm_german_location,24baf452affa260409e2fbbd77cd2aee,dgm_german_location__24baf452affa260409e2fbbd77cd2aee
hornberg,"Hornberg, Germany",hornberg,48.2099003,8.2319724,FTO,"Hornberg, Germany",,dgm_german_location,c093bba50228d85b733fb704f52bbe79,dgm_german_location__c093bba50228d85b733fb704f52bbe79
hörstel,"Hörstel, Germany",hörstel,52.2958863,7.5838639,Person,"Hörstel, Germany",,dgm_german_location,b89a897b07b4ec6ba3466069adb38310,dgm_german_location__b89a897b07b4ec6ba3466069adb38310
horstmar,"Horstmar, Germany",horstmar,52.080888,7.3078966,Pipeline,"Horstmar, Germany",,dgm_german_location,0659b1ca802d18926799849765133057,dgm_german_location__0659b1ca802d18926799849765133057
höxter,"Höxter, Germany",höxter,51.7774678,9.3771214,Media,"Höxter, Germany",,dgm_german_location,4560f929e4c8169b215048bd0b85b2a7,dgm_german_location__4560f929e4c8169b215048bd0b85b2a7
hoyerswerda,"Hoyerswerda, Germany",hoyerswerda,51.4388605,14.2536419,Consulates,"Hoyerswerda, Germany",,dgm_german_location,672ef202de3a9a8ee54d32550438f3ea,dgm_german_location__672ef202de3a9a8ee54d32550438f3ea
hückelhoven,"Hückelhoven, Germany",hückelhoven,51.0532772,6.2226357,ForeignMinistry,"Hückelhoven, Germany",,dgm_german_location,6ee299b3fb92f59c2e804717d2767237,dgm_german_location__6ee299b3fb92f59c2e804717d2767237
hückeswagen,"Hückeswagen, Germany",hückeswagen,51.1490386,7.3293896,Wells,"Hückeswagen, Germany",,dgm_german_location,ba5484946d1d2b923e7c06d495d6de00,dgm_german_location__ba5484946d1d2b923e7c06d495d6de00
hüfingen,"Hüfingen, Germany",hüfingen,47.9234006,8.4885532,News,"Hüfingen, Germany",,dgm_german_location,c84ef07b8b4e2adde457902d6d7aa5a4,dgm_german_location__c84ef07b8b4e2adde457902d6d7aa5a4
hünfeld,"Hünfeld, Germany",hünfeld,50.6726672,9.7690455,Media,"Hünfeld, Germany",,dgm_german_location,3958f46c877c69d40863c6dd33d3daad,dgm_german_location__3958f46c877c69d40863c6dd33d3daad
hungen,"Hungen, Germany",hungen,50.4754531,8.8990998,ForeignMinistry,"Hungen, Germany",,dgm_german_location,c0b0525ee4ce30ad43a2d7923735455d,dgm_german_location__c0b0525ee4ce30ad43a2d7923735455d
