german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,.3,.4,.5,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
hauptstrasse,"Hauptstrasse in Solingen, Germany",51.1715894,7.0855481,1,,,,,,,,,News,"Hauptstrasse in Solingen, Germany",,german_fires_solingen_locations,f101c11c4e497a9dd68af9819e6bfe55,german_fires_solingen_locations__f101c11c4e497a9dd68af9819e6bfe55
hauschen,"Hauschen in Solingen, Germany",51.1782596,7.0263135,1,,,,,,,,,Exec,"Hauschen in Solingen, Germany",,german_fires_solingen_locations,bdab68921485bdf66b9d71a554435e08,german_fires_solingen_locations__bdab68921485bdf66b9d71a554435e08
haynauer weg,"Haynauer Weg in Solingen, Germany",51.1441826,7.0088967,1,,,,,,,,,DiplomaticFacilities,"Haynauer Weg in Solingen, Germany",,german_fires_solingen_locations,a6b49cc556b0cb8e5529a0e37a9768f5,german_fires_solingen_locations__a6b49cc556b0cb8e5529a0e37a9768f5
hebbelstrasse,"Hebbelstrasse in Solingen, Germany",51.1601455,7.0619627,1,,,,,,,,,Wells,"Hebbelstrasse in Solingen, Germany",,german_fires_solingen_locations,c8ac12f74417e62502a6d639bfe75f0c,german_fires_solingen_locations__c8ac12f74417e62502a6d639bfe75f0c
heckener strasse,"Heckener Strasse in Solingen, Germany",51.1823717,7.0716188,1,,,,,,,,,Wells,"Heckener Strasse in Solingen, Germany",,german_fires_solingen_locations,ecd71f20903460bdf16d6eb0ef875252,german_fires_solingen_locations__ecd71f20903460bdf16d6eb0ef875252
hegelring,"Hegelring in Solingen, Germany",51.1923189,7.0655341,1,,,,,,,,,FTO,"Hegelring in Solingen, Germany",,german_fires_solingen_locations,bbcadbe40a31432e62eb8bbebe7d7e41,german_fires_solingen_locations__bbcadbe40a31432e62eb8bbebe7d7e41
heidberg,"Heidberg in Solingen, Germany",51.1678219,7.0667403,1,,,,,,,,,Legislator,"Heidberg in Solingen, Germany",,german_fires_solingen_locations,decbb997ffe136e6b222fdd7154bc6e4,german_fires_solingen_locations__decbb997ffe136e6b222fdd7154bc6e4
heide,"Heide in Solingen, Germany",51.1903594,7.0664714,1,,,,,,,,,space,"Heide in Solingen, Germany",,german_fires_solingen_locations,ad997aec4ff88c418a05651591dd0d19,german_fires_solingen_locations__ad997aec4ff88c418a05651591dd0d19
heider hof,"Heider Hof in Solingen, Germany",51.2076911,7.0835192,1,,,,,,,,,Refinery,"Heider Hof in Solingen, Germany",,german_fires_solingen_locations,400149f39993e06b3e1ef15058f2c1ac,german_fires_solingen_locations__400149f39993e06b3e1ef15058f2c1ac
heidstrasse,"Heidstrasse in Solingen, Germany",51.1775,7.040753,1,,,,,,,,,IndustryTerm,"Heidstrasse in Solingen, Germany",,german_fires_solingen_locations,30c2f363ee4fb4367b497805bf5c9d93,german_fires_solingen_locations__30c2f363ee4fb4367b497805bf5c9d93
heiler strasse,"Heiler Strasse in Solingen, Germany",51.1395879,7.0699189,1,,,,,,,,,Keyphrase,"Heiler Strasse in Solingen, Germany",,german_fires_solingen_locations,85c6cf9c37afbc603fd928df6d15d2ed,german_fires_solingen_locations__85c6cf9c37afbc603fd928df6d15d2ed
heiligenstock,"Heiligenstock in Solingen, Germany",51.1644712,6.9976165,1,,,,,,,,,Diplomat,"Heiligenstock in Solingen, Germany",,german_fires_solingen_locations,02b61a60b463af171b94161baad28193,german_fires_solingen_locations__02b61a60b463af171b94161baad28193
heiliger born,"Heiliger Born in Solingen, Germany",51.2119513,7.0737146,1,,,,,,,,,Pipeline,"Heiliger Born in Solingen, Germany",,german_fires_solingen_locations,51156ebbaef032bafc5abb736d924a82,german_fires_solingen_locations__51156ebbaef032bafc5abb736d924a82
heinestrasse,"Heinestrasse in Solingen, Germany",51.1699,7.0786676,1,,,,,,,,,ForeignMinistry,"Heinestrasse in Solingen, Germany",,german_fires_solingen_locations,442b64b62eeede432b48eee4093bb295,german_fires_solingen_locations__442b64b62eeede432b48eee4093bb295
heisterbusch,"Heisterbusch in Solingen, Germany",51.190787,7.0474292,1,,,,,,,,,CompanyKeyword,"Heisterbusch in Solingen, Germany",,german_fires_solingen_locations,34bc674aec8e6a787e0d30338d234a4d,german_fires_solingen_locations__34bc674aec8e6a787e0d30338d234a4d
